startTime,nowTime,nanoTime,lx
1469519257173,1469519257473,11619118130288,596.0
1469519257173,1469519257653,11619298154205,599.0
1469519257173,1469519257832,11619476992497,598.0
1469519257173,1469519258013,11619657704413,599.0
1469519257173,1469519258195,11619840539497,599.0
1469519257173,1469519258375,11620019745580,596.0
1469519257173,1469519258555,11620199981289,596.0
1469519257173,1469519258732,11620376620872,598.0
1469519257173,1469519258913,11620557695914,601.0
1469519257173,1469519259093,11620738146039,600.0
1469519257173,1469519259271,11620915664331,598.0
1469519257173,1469519259451,11621096093622,595.0
1469519257173,1469519259635,11621279812039,595.0
1469519257173,1469519259811,11621455798498,593.0
1469519257173,1469519259991,11621636516289,589.0
1469519257173,1469519260172,11621817031873,592.0
1469519257173,1469519260350,11621995335748,597.0
1469519257173,1469519260527,11622171648248,600.0
1469519257173,1469519260705,11622350475373,599.0
1469519257173,1469519260891,11622535807748,598.0
1469519257173,1469519261069,11622714407248,598.0
1469519257173,1469519261249,11622893781457,598.0
1469519257173,1469519261430,11623075382207,596.0
1469519257173,1469519261604,11623249047832,26.0
1469519257173,1469519261785,11623429750499,598.0
1469519257173,1469519261963,11623607712707,601.0
1469519257173,1469519262145,11623789904582,599.0
1469519257173,1469519262324,11623968564374,594.0
1469519257173,1469519262505,11624149974166,593.0
1469519257173,1469519262683,11624328044749,585.0
1469519257173,1469519262864,11624509143332,595.0
1469519257173,1469519263044,11624688601999,598.0
1469519257173,1469519263220,11624864857791,598.0
1469519257173,1469519263399,11625044180999,599.0
1469519257173,1469519263579,11625223754749,602.0
1469519257173,1469519263759,11625404214041,34.0
1469519257173,1469519263938,11625582695541,598.0
1469519257173,1469519264118,11625763059416,596.0
1469519257173,1469519264297,11625942035750,599.0
1469519257173,1469519264476,11626121135958,596.0
1469519257173,1469519264656,11626301037500,596.0
1469519257173,1469519264835,11626480341708,598.0
1469519257173,1469519265015,11626659890750,598.0
1469519257173,1469519265196,11626840659042,599.0
1469519257173,1469519265378,11627022643875,589.0
1469519257173,1469519265557,11627201877959,589.0
1469519257173,1469519265735,11627379835959,594.0
1469519257173,1469519265917,11627561798001,599.0
1469519257173,1469519266094,11627739540584,598.0
1469519257173,1469519266277,11627921775542,596.0
1469519257173,1469519266454,11628099253167,599.0
1469519257173,1469519266636,11628281280084,601.0
1469519257173,1469519266811,11628455734876,596.0
slash,slash,slash,slash
1469519257173,1469519266991,11628636472501,597.0
1469519257173,1469519267170,11628815180334,597.0
1469519257173,1469519267351,11628995882210,598.0
1469519257173,1469519267532,11629176807668,600.0
1469519257173,1469519267712,11629357496418,31.0
1469519257173,1469519267891,11629535917460,601.0
1469519257173,1469519268070,11629714815752,594.0
1469519257173,1469519268248,11629892766043,593.0
1469519257173,1469519268432,11630076889293,593.0
1469519257173,1469519268610,11630254893293,594.0
1469519257173,1469519268789,11630434200169,599.0
1469519257173,1469519268969,11630613657169,599.0
1469519257173,1469519269145,11630790342794,597.0
slash,slash,slash,slash
1469519257173,1469519269325,11630969751085,598.0
1469519257173,1469519269504,11631149254586,599.0
1469519257173,1469519269684,11631329124377,601.0
1469519257173,1469519269864,11631509146586,599.0
1469519257173,1469519270047,11631692088752,23.0
1469519257173,1469519270226,11631871386878,598.0
1469519257173,1469519270406,11632051056253,599.0
1469519257173,1469519270584,11632229485711,595.0
1469519257173,1469519270765,11632410472045,594.0
slash,slash,slash,slash
1469519257173,1469519270941,11632586038211,591.0
1469519257173,1469519271121,11632766369086,593.0
1469519257173,1469519271300,11632945168836,593.0
1469519257173,1469519271481,11633126321212,596.0
1469519257173,1469519271664,11633308836587,601.0
1469519257173,1469519271840,11633485360295,29.0
1469519257173,1469519272021,11633665989170,606.0
1469519257173,1469519272200,11633845140045,599.0
1469519257173,1469519272378,11634023235670,598.0
1469519257173,1469519272561,11634206400170,599.0
1469519257173,1469519272740,11634385331545,599.0
1469519257173,1469519272917,11634562071879,597.0
1469519257173,1469519273096,11634741355962,596.0
1469519257173,1469519273279,11634923801837,595.0
slash,slash,slash,slash
1469519257173,1469519273457,11635102177879,599.0
1469519257173,1469519273634,11635279478421,593.0
1469519257173,1469519273814,11635459053504,592.0
1469519257173,1469519273994,11635639206504,599.0
1469519257173,1469519274179,11635824009796,51.0
1469519257173,1469519274353,11635998292296,598.0
1469519257173,1469519274534,11636179144255,596.0
1469519257173,1469519274715,11636359570880,598.0
1469519257173,1469519274893,11636538015838,599.0
1469519257173,1469519275071,11636716262505,602.0
slash,slash,slash,slash
1469519257173,1469519275252,11636896562172,599.0
1469519257173,1469519275430,11637075183963,599.0
1469519257173,1469519275610,11637255541505,599.0
1469519257173,1469519275792,11637437065630,552.0
1469519257173,1469519275973,11637618509339,316.0
1469519257173,1469519276150,11637795290422,596.0
1469519257173,1469519276332,11637976786922,592.0
1469519257173,1469519276511,11638156150672,593.0
1469519257173,1469519276692,11638336575047,599.0
