startTime,nowTime,nanoTime,lx
1469517472225,1469518118290,106738234041177,510.0
1469517472225,1469518119751,106739694917114,503.0
1469517472225,1469518120994,106740938236488,510.0
1469517472225,1469518121862,106741805984873,516.0
1469517472225,1469518121970,106741914798363,165.0
1469517472225,1469518122028,106741972408623,33.0
1469517472225,1469518122138,106742082052738,39.0
1469517472225,1469518122190,106742134548571,72.0
1469517472225,1469518122246,106742190668050,470.0
1469517472225,1469518122301,106742245540238,516.0
1469517472225,1469518122412,106742356731071,510.0
1469517472225,1469518122575,106742519719717,503.0
1469517472225,1469518123712,106743656230862,510.0
1469517472225,1469518125336,106745280847008,503.0
slash
1469517472225,1469518125984,106745928541747,497.0
1469517472225,1469518126094,106746038703570,503.0
1469517472225,1469518126420,106746364664559,510.0
1469517472225,1469518126637,106746581260184,503.0
1469517472225,1469518126691,106746635799507,53.0
1469517472225,1469518126748,106746692374351,33.0
1469517472225,1469518126803,106746747356694,26.0
1469517472225,1469518126859,106746803159247,132.0
1469517472225,1469518126914,106746858004142,516.0
1469517472225,1469518126969,106746913129872,510.0
1469517472225,1469518128106,106748050300652,503.0
slash
1469517472225,1469518129297,106749240995756,510.0
1469517472225,1469518130109,106750053269922,516.0
1469517472225,1469518130163,106750107780599,384.0
1469517472225,1469518130219,106750163342735,39.0
1469517472225,1469518130275,106750219087631,26.0
1469517472225,1469518130330,106750274148620,19.0
1469517472225,1469518130385,106750329565547,251.0
1469517472225,1469518130441,106750385238308,516.0
1469517472225,1469518130496,106750440721589,510.0
1469517472225,1469518130986,106750929874922,503.0
1469517472225,1469518131473,106751417630599,497.0
1469517472225,1469518131581,106751525622109,503.0
1469517472225,1469518131637,106751581191432,510.0
slash
1469517472225,1469518133532,106753475998671,516.0
1469517472225,1469518133586,106753530507577,497.0
1469517472225,1469518133642,106753585900546,53.0
1469517472225,1469518133697,106753641367734,39.0
1469517472225,1469518133753,106753697418984,33.0
1469517472225,1469518133808,106753752223827,364.0
1469517472225,1469518133863,106753807598150,510.0
1469517472225,1469518133974,106753918355494,503.0
1469517472225,1469518134246,106754190661223,497.0
1469517472225,1469518134354,106754298613254,503.0
1469517472225,1469518134735,106754679453306,510.0
slash
1469517472225,1469518136411,106756355793618,503.0
1469517472225,1469518137008,106756952176274,497.0
1469517472225,1469518137171,106757115201586,503.0
1469517472225,1469518137334,106757278282003,510.0
1469517472225,1469518137443,106757387586534,112.0
1469517472225,1469518137499,106757442961795,33.0
1469517472225,1469518137607,106757551137003,351.0
1469517472225,1469518137664,106757607898930,523.0
1469517472225,1469518137721,106757665684711,510.0
1469517472225,1469518139290,106759234123252,503.0
slash
1469517472225,1469518140264,106760207996898,510.0
1469517472225,1469518140482,106760425920543,523.0
1469517472225,1469518140538,106760482418929,106.0
1469517472225,1469518140595,106760538980960,39.0
1469517472225,1469518140649,106760593803408,99.0
1469517472225,1469518140704,106760648714345,516.0
1469517472225,1469518140761,106760705668772,510.0
1469517472225,1469518142006,106761950573095,503.0
1469517472225,1469518142495,106762439385751,497.0
1469517472225,1469518142602,106762546140126,503.0
slash
1469517472225,1469518143037,106762981582678,510.0
1469517472225,1469518143905,106763849065959,516.0
1469517472225,1469518144012,106763955894136,338.0
1469517472225,1469518144067,106764011543980,33.0
1469517472225,1469518144234,106764178622365,357.0
1469517472225,1469518144288,106764232069240,523.0
1469517472225,1469518144344,106764288182729,510.0
1469517472225,1469518144779,106764723855281,503.0
1469517472225,1469518145267,106765211486375,497.0
1469517472225,1469518145321,106765265210906,503.0
1469517472225,1469518145758,106765701896114,510.0
slash
1469517472225,1469518147540,106767484659395,516.0
1469517472225,1469518147596,106767540520957,198.0
1469517472225,1469518147651,106767595448041,39.0
1469517472225,1469518147707,106767651050280,66.0
1469517472225,1469518147763,106767707078822,510.0
1469517472225,1469518147872,106767816809186,503.0
1469517472225,1469518148037,106767980910801,497.0
1469517472225,1469518148091,106768034935124,503.0
1469517472225,1469518148578,106768522310072,510.0
1469517472225,1469518150311,106770254871321,503.0
1469517472225,1469518150853,106770797482362,497.0
1469517472225,1469518150909,106770853033977,503.0
slash
1469517472225,1469518151288,106771232331737,510.0
1469517472225,1469518151720,106771664465331,516.0
1469517472225,1469518151780,106771723954810,331.0
1469517472225,1469518151833,106771777667414,39.0
1469517472225,1469518151887,106771831375122,344.0
1469517472225,1469518151943,106771887242674,516.0
1469517472225,1469518151997,106771941864602,510.0
1469517472225,1469518153028,106772972044445,503.0
1469517472225,1469518153515,106773459657518,497.0
slash
1469517472225,1469518153734,106773678374445,503.0
1469517472225,1469518153950,106773894155538,510.0
1469517472225,1469518154870,106774814535590,516.0
1469517472225,1469518154925,106774869803246,430.0
1469517472225,1469518154981,106774925064288,33.0
1469517472225,1469518155037,106774981163975,19.0
1469517472225,1469518155092,106775036313402,26.0
1469517472225,1469518155147,106775091231684,318.0
1469517472225,1469518155203,106775147502882,516.0
1469517472225,1469518155258,106775202443350,510.0
1469517472225,1469518155801,106775745278558,503.0
1469517472225,1469518156180,106776124306319,497.0
1469517472225,1469518156398,106776341962204,503.0
slash
1469517472225,1469518156779,106776723603350,510.0
1469517472225,1469518157644,106777588673506,516.0
1469517472225,1469518157699,106777643671422,344.0
1469517472225,1469518157754,106777698149756,26.0
1469517472225,1469518157809,106777753326891,33.0
1469517472225,1469518157865,106777809703870,39.0
1469517472225,1469518157921,106777865251526,33.0
1469517472225,1469518157977,106777921480693,265.0
1469517472225,1469518158032,106777975977620,516.0
1469517472225,1469518158087,106778031426162,510.0
1469517472225,1469518158576,106778520650641,503.0
1469517472225,1469518159010,106778954093193,497.0
1469517472225,1469518159119,106779063170745,503.0
1469517472225,1469518159446,106779390635536,510.0
up
1469517472225,1469518160853,106780796913817,516.0
1469517472225,1469518160907,106780850891786,450.0
1469517472225,1469518160962,106780906324494,66.0
1469517472225,1469518161018,106780961917827,53.0
1469517472225,1469518161073,106781017653140,46.0
1469517472225,1469518161292,106781236056577,39.0
1469517472225,1469518161347,106781291596473,33.0
1469517472225,1469518161459,106781403082254,19.0
1469517472225,1469518161512,106781456427358,26.0
1469517472225,1469518161623,106781567109077,66.0
1469517472225,1469518161677,106781621205952,132.0
1469517472225,1469518161733,106781677614129,192.0
1469517472225,1469518161789,106781733206837,258.0
1469517472225,1469518161844,106781788689650,338.0
1469517472225,1469518161900,106781844199389,404.0
1469517472225,1469518161955,106781899398452,450.0
1469517472225,1469518162011,106781955431108,503.0
1469517472225,1469518162232,106782176827254,510.0
1469517472225,1469518164126,106784069927930,503.0
up
1469517472225,1469518164667,106784611273815,497.0
1469517472225,1469518164777,106784720997357,503.0
1469517472225,1469518165048,106784991950951,510.0
1469517472225,1469518165212,106785156119753,516.0
1469517472225,1469518165267,106785211189753,265.0
1469517472225,1469518165322,106785266735742,53.0
1469517472225,1469518165378,106785322239336,46.0
1469517472225,1469518165434,106785378486003,33.0
1469517472225,1469518165760,106785704623138,39.0
1469517472225,1469518165815,106785759133294,33.0
1469517472225,1469518165870,106785814465586,39.0
1469517472225,1469518165926,106785870422461,33.0
1469517472225,1469518165981,106785925010586,26.0
1469517472225,1469518166037,106785981011992,19.0
1469517472225,1469518166093,106786037027513,59.0
1469517472225,1469518166148,106786092314284,132.0
1469517472225,1469518166204,106786147914544,225.0
1469517472225,1469518166259,106786203331054,324.0
1469517472225,1469518166314,106786258831836,404.0
1469517472225,1469518166370,106786314456002,463.0
1469517472225,1469518166427,106786371046679,503.0
1469517472225,1469518166482,106786425890534,510.0
1469517472225,1469518166917,106786861111210,503.0
1469517472225,1469518167295,106787239774700,497.0
1469517472225,1469518167351,106787295394387,503.0
1469517472225,1469518167408,106787352467825,497.0
1469517472225,1469518167462,106787406414127,503.0
1469517472225,1469518167789,106787733404804,510.0
up
1469517472225,1469518169411,106789355336782,516.0
1469517472225,1469518169467,106789411467824,463.0
1469517472225,1469518169522,106789466355584,53.0
1469517472225,1469518169577,106789521615012,39.0
1469517472225,1469518169634,106789578268501,33.0
1469517472225,1469518169688,106789632636886,53.0
1469517472225,1469518169744,106789688173241,33.0
1469517472225,1469518169855,106789799457251,39.0
1469517472225,1469518169909,106789853851886,33.0
1469517472225,1469518170238,106790182419490,39.0
1469517472225,1469518170345,106790289791417,33.0
1469517472225,1469518170457,106790401547407,19.0
1469517472225,1469518170512,106790456200376,46.0
1469517472225,1469518170567,106790511736574,112.0
1469517472225,1469518170625,106790569008344,205.0
1469517472225,1469518170680,106790623931001,331.0
1469517472225,1469518170735,106790678886730,430.0
1469517472225,1469518170797,106790740870532,483.0
1469517472225,1469518170844,106790788825792,510.0
1469517472225,1469518172360,106792304328969,503.0
up
1469517472225,1469518172849,106792793595948,497.0
1469517472225,1469518172958,106792902281989,503.0
1469517472225,1469518173338,106793282126989,510.0
1469517472225,1469518173935,106793879555947,516.0
1469517472225,1469518173989,106793932989749,318.0
1469517472225,1469518174044,106793988597770,53.0
1469517472225,1469518174100,106794044370166,46.0
1469517472225,1469518174155,106794099365062,39.0
1469517472225,1469518174267,106794210904958,33.0
1469517472225,1469518174320,106794264588708,39.0
1469517472225,1469518174593,106794537551468,33.0
1469517472225,1469518174648,106794592749280,39.0
1469517472225,1469518174703,106794647613812,33.0
1469517472225,1469518174759,106794703627041,26.0
1469517472225,1469518174815,106794759324072,19.0
1469517472225,1469518174926,106794869950634,46.0
1469517472225,1469518174981,106794924918187,112.0
1469517472225,1469518175035,106794979316676,225.0
1469517472225,1469518175090,106795034316936,357.0
1469517472225,1469518175147,106795091384280,444.0
1469517472225,1469518175202,106795146169749,490.0
1469517472225,1469518175257,106795201381832,503.0
1469517472225,1469518175639,106795583231415,497.0
1469517472225,1469518175692,106795636354436,503.0
1469517472225,1469518176020,106795964283290,510.0
up
1469517472225,1469518177967,106797911338133,503.0
1469517472225,1469518178293,106798236924800,497.0
1469517472225,1469518178351,106798295649748,132.0
1469517472225,1469518178402,106798346002456,53.0
1469517472225,1469518178458,106798402040946,39.0
