startTime,nowTime,nanoTime,lx
1469536118997,1469536119297,21443222191085,426.35791015625
1469536118997,1469536119499,21443423912276,446.3999938964844
1469536118997,1469536119601,21443525993574,428.6315612792969
1469536118997,1469536119803,21443727531660,437.3052673339844
1469536118997,1469536119902,21443827293622,433.43157958984375
1469536118997,1469536120103,21444028465498,436.0420837402344
1469536118997,1469536120206,21444130516280,435.45263671875
1469536118997,1469536120407,21444332084884,432.6736755371094
1469536118997,1469536120506,21444431358566,434.0210266113281
1469536118997,1469536120708,21444632957688,438.0631408691406
1469536118997,1469536120809,21444734428634,427.70526123046875
1469536118997,1469536121011,21444935814132,448.16839599609375
1469536118997,1469536121213,21445137504805,427.5368347167969
1469536118997,1469536121312,21445236595381,434.10528564453125
slash,slash,slash
1469536118997,1469536121513,21445438316574,428.37896728515625
1469536118997,1469536121615,21445540336836,435.5368347167969
1469536118997,1469536121817,21445742027512,435.9578857421875
1469536118997,1469536121916,21445841301193,438.8210754394531
1469536118997,1469536122118,21446042747726,433.2631530761719
1469536118997,1469536122220,21446144523849,437.5578918457031
1469536118997,1469536122421,21446346061934,423.15789794921875
1469536118997,1469536122521,21446445549239,445.726318359375
1469536118997,1469536122722,21446647331466,432.4210510253906
1469536118997,1469536122824,21446748863447,437.810546875
1469536118997,1469536123026,21446950828782,440.5052795410156
1469536118997,1469536123125,21447049736251,429.5578918457031
1469536118997,1469536123326,21447251182785,213.22105407714844
1469536118997,1469536123428,21447353142014,433.178955078125
1469536118997,1469536123630,21447554588546,432.5052490234375
1469536118997,1469536123729,21447654167404,442.7789306640625
1469536118997,1469536123930,21447855430831,428.21051025390625
1469536118997,1469536124033,21447957573164,436.4631652832031
1469536118997,1469536124234,21448158806076,432.4210510253906
1469536118997,1469536124333,21448258262861,426.6105041503906
1469536118997,1469536124536,21448461357346,433.5999755859375
1469536118997,1469536124636,21448561271895,430.4000244140625
1469536118997,1469536124839,21448764427413,441.4315490722656
1469536118997,1469536124939,21448863792648,435.20001220703125
1469536118997,1469536125143,21449068168867,429.0526428222656
1469536118997,1469536125242,21449166557540,437.64208984375
1469536118997,1469536125443,21449367485275,428.6315612792969
slash,slash,slash
1469536118997,1469536125544,21449469108811,436.54736328125
1469536118997,1469536125743,21449668205489,437.3052673339844
1469536118997,1469536125845,21449769920575,431.15789794921875
1469536118997,1469536126047,21449971580734,440.3368225097656
1469536118997,1469536126146,21450071190108,432.1684265136719
1469536118997,1469536126347,21450272453536,444.0420837402344
1469536118997,1469536126449,21450374412765,431.8315734863281
1469536118997,1469536126651,21450576011885,436.4631652832031
1469536118997,1469536126852,21450777244796,431.915771484375
1469536118997,1469536126952,21450876854170,428.21051025390625
1469536118997,1469536127153,21451078087081,433.0947570800781
1469536118997,1469536127255,21451180107345,201.17893981933594
1469536118997,1469536127457,21451381675948,457.5157775878906
1469536118997,1469536127556,21451481010665,438.56842041015625
1469536118997,1469536127757,21451682396162,425.8526306152344
1469536118997,1469536127859,21451784294356,442.61053466796875
1469536118997,1469536128061,21451985740890,428.0421142578125
1469536118997,1469536128160,21452085197675,440.0841979980469
1469536118997,1469536128362,21452286796798,429.30523681640625
1469536118997,1469536128464,21452388511886,436.1263122558594
