startTime,nowTime,nanoTime,lx
1469514456861,1469515550830,104496588384167,510.0
1469514456861,1469515551373,104497131017969,516.0
1469514456861,1469515553703,104499461556041,510.0
1469514456861,1469515553921,104499678929375,516.0
1469514456861,1469515556413,104502171342290,510.0
1469514456861,1469515556848,104502605651978,516.0
1469514456861,1469515557283,104503040882967,523.0
1469514456861,1469515558040,104503798068592,483.0
1469514456861,1469515558096,104503854149008,430.0
1469514456861,1469515558152,104503910415988,397.0
1469514456861,1469515558207,104503964910206,384.0
1469514456861,1469515558263,104504021429894,391.0
1469514456861,1469515558319,104504077081196,404.0
1469514456861,1469515558374,104504131941092,424.0
1469514456861,1469515558430,104504187651352,463.0
1469514456861,1469515558493,104504250903592,510.0
1469514456861,1469515558540,104504298139790,523.0
1469514456861,1469515558977,104504734707341,516.0
1469514456861,1469515559194,104504952071664,510.0
1469514456861,1469515559412,104505170292133,516.0
1469514456861,1469515560061,104505819536351,523.0
1469514456861,1469515561527,104507284810830,516.0
1469514456861,1469515561581,104507339298799,490.0
1469514456861,1469515561638,104507396047080,470.0
1469514456861,1469515561693,104507451228330,457.0
1469514456861,1469515561748,104507506529476,483.0
1469514456861,1469515561804,104507562349945,503.0
1469514456861,1469515561860,104507617670101,516.0
1469514456861,1469515562024,104507782256663,510.0
1469514456861,1469515562241,104507999526663,503.0
1469514456861,1469515562297,104508055026142,497.0
1469514456861,1469515562353,104508110935153,510.0
1469514456861,1469515562408,104508166367757,516.0
1469514456861,1469515562736,104508493700100,503.0
1469514456861,1469515562790,104508547796038,490.0
1469514456861,1469515562901,104508658696194,510.0
1469514456861,1469515562955,104508713058538,523.0
1469514456861,1469515563284,104509041819475,516.0
1469514456861,1469515563506,104509264032861,523.0
1469514456861,1469515563555,104509313104788,516.0
1469514456861,1469515563666,104509424113694,523.0
1469514456861,1469515563720,104509478515308,516.0
1469514456861,1469515564374,104510132029319,523.0
1469514456861,1469515564430,104510188066402,516.0
1469514456861,1469515564701,104510459492131,510.0
1469514456861,1469515565026,104510783800829,516.0
1469514456861,1469515565625,104511383014891,523.0
1469514456861,1469515565679,104511436613433,516.0
1469514456861,1469515565790,104511548072599,523.0
1469514456861,1469515565844,104511602003745,516.0
slash
1469514456861,1469515565955,104511713353433,523.0
1469514456861,1469515566064,104511822031766,516.0
1469514456861,1469515566281,104512039388120,523.0
1469514456861,1469515566339,104512096742703,516.0
