startTime,nowTime,nanoTime,lx
1469533850818,1469533851118,19829835398036,565.0
1469533850818,1469533851298,19830015509203,564.0
1469533850818,1469533851475,19830192909328,562.0
1469533850818,1469533851655,19830372989037,564.0
1469533850818,1469533851839,19830556437453,567.0
1469533850818,1469533852017,19830734161245,566.0
1469533850818,1469533852197,19830914634495,566.0
1469533850818,1469533852377,19831094930287,560.0
1469533850818,1469533852553,19831270946370,561.0
1469533850818,1469533852733,19831450527579,562.0
1469533850818,1469533852915,19831632630079,561.0
1469533850818,1469533853094,19831812012704,556.0
1469533850818,1469533853277,19831994217037,557.0
1469533850818,1469533853454,19832171648288,562.0
1469533850818,1469533853633,19832350900496,564.0
1469533850818,1469533853810,19832527957246,563.0
slash,slash,slash
1469533850818,1469533853989,19832706911204,562.0
1469533850818,1469533854169,19832886242788,564.0
1469533850818,1469533854348,19833065608205,563.0
1469533850818,1469533854529,19833246190580,564.0
1469533850818,1469533854712,19833429613955,562.0
1469533850818,1469533854892,19833609282038,564.0
1469533850818,1469533855068,19833785600413,565.0
1469533850818,1469533855250,19833967190913,564.0
1469533850818,1469533855430,19834147189955,559.0
1469533850818,1469533855610,19834327329039,24.0
1469533850818,1469533855785,19834502704039,560.0
1469533850818,1469533855965,19834682365330,557.0
1469533850818,1469533856147,19834864359664,556.0
1469533850818,1469533856324,19835041779247,558.0
1469533850818,1469533856503,19835220772872,565.0
1469533850818,1469533856683,19835400241956,565.0
1469533850818,1469533856862,19835579527998,564.0
1469533850818,1469533857041,19835758973873,561.0
1469533850818,1469533857222,19835939189248,561.0
slash,slash,slash
1469533850818,1469533857401,19836118065248,561.0
1469533850818,1469533857580,19836297975873,565.0
1469533850818,1469533857761,19836478247998,561.0
1469533850818,1469533857940,19836657696498,563.0
1469533850818,1469533858121,19836839012373,565.0
1469533850818,1469533858300,19837017452123,565.0
1469533850818,1469533858482,19837199438790,558.0
1469533850818,1469533858662,19837379882290,554.0
1469533850818,1469533858839,19837556445623,554.0
1469533850818,1469533859025,19837742854207,23.0
1469533850818,1469533859200,19837917433165,564.0
1469533850818,1469533859380,19838097487165,562.0
1469533850818,1469533859556,19838273712082,564.0
1469533850818,1469533859738,19838455039666,564.0
1469533850818,1469533859917,19838634488166,564.0
1469533850818,1469533860095,19838812737999,560.0
1469533850818,1469533860275,19838992209999,562.0
1469533850818,1469533860454,19839171379833,561.0
1469533850818,1469533860633,19839350663874,563.0
slash,slash,slash
1469533850818,1469533860812,19839529829416,564.0
1469533850818,1469533860992,19839709562666,563.0
1469533850818,1469533861172,19839889639625,561.0
1469533850818,1469533861353,19840070436625,559.0
1469533850818,1469533861535,19840252215458,555.0
1469533850818,1469533861714,19840431025791,555.0
1469533850818,1469533861893,19840610599000,559.0
1469533850818,1469533862071,19840788464875,563.0
1469533850818,1469533862252,19840969926917,566.0
1469533850818,1469533862433,19841150361708,527.0
1469533850818,1469533862611,19841328064292,28.0
1469533850818,1469533862790,19841507746000,564.0
1469533850818,1469533862972,19841689539709,561.0
1469533850818,1469533863148,19841865671417,562.0
1469533850818,1469533863330,19842047045876,560.0
1469533850818,1469533863511,19842228385167,560.0
1469533850818,1469533863689,19842406162709,563.0
1469533850818,1469533863869,19842586511251,563.0
1469533850818,1469533864049,19842766321376,558.0
1469533850818,1469533864229,19842946077709,556.0
1469533850818,1469533864405,19843122135501,556.0
slash,slash,slash
1469533850818,1469533864584,19843301515918,562.0
1469533850818,1469533864764,19843481493210,560.0
1469533850818,1469533864943,19843660423376,560.0
1469533850818,1469533865124,19843841304418,562.0
1469533850818,1469533865304,19844021432668,564.0
1469533850818,1469533865487,19844204321085,566.0
1469533850818,1469533865662,19844379506168,565.0
1469533850818,1469533865844,19844561623710,563.0
1469533850818,1469533866021,19844738915127,561.0
1469533850818,1469533866202,19844919386752,21.0
1469533850818,1469533866386,19845103745085,371.0
1469533850818,1469533866563,19845280310919,560.0
1469533850818,1469533866742,19845459086836,559.0
1469533850818,1469533866919,19845636721294,557.0
1469533850818,1469533867098,19845815792502,559.0
1469533850818,1469533867282,19845999828961,559.0
1469533850818,1469533867460,19846177430669,563.0
1469533850818,1469533867639,19846356288461,561.0
1469533850818,1469533867816,19846533814169,562.0
slash,slash,slash
1469533850818,1469533867996,19846713577836,563.0
1469533850818,1469533868176,19846893841253,560.0
1469533850818,1469533868355,19847072861295,562.0
1469533850818,1469533868537,19847254023503,566.0
