startTime,nowTime,nanoTime,lx
1469531698345,1469531698345,17071741056610,427.9578857421875
1469531698345,1469531698446,17071841825652,437.8947448730469
1469531698345,1469531698647,17072042600800,433.01055908203125
1469531698345,1469531698749,17072144529510,431.6631774902344
1469531698345,1469531698950,17072345945525,437.5578918457031
1469531698345,1469531699050,17072445432831,427.7894592285156
slash,slash,slash
1469531698345,1469531699251,17072646482634,441.7684326171875
1469531698345,1469531699452,17072848081757,432.5052490234375
1469531698345,1469531699554,17072950193573,430.821044921875
1469531698345,1469531699756,17073151579071,429.2210388183594
1469531698345,1469531699856,17073251493622,424.2526550292969
1469531698345,1469531700057,17073452696014,434.6947021484375
1469531698345,1469531700158,17073554105926,429.3894958496094
1469531698345,1469531700360,17073755491423,429.9789123535156
1469531698345,1469531700459,17073854978728,431.4947509765625
1469531698345,1469531700661,17074056699920,426.2737121582031
1469531698345,1469531700763,17074158659147,441.0947570800781
1469531698345,1469531700964,17074360166718,429.3894958496094
1469531698345,1469531701064,17074459531951,118.82106018066406
1469531698345,1469531701265,17074661009002,432.5894775390625
1469531698345,1469531701367,17074763090302,433.7684326171875
1469531698345,1469531701569,17074964353728,435.5368347167969
1469531698345,1469531701668,17075063810514,430.56842041015625
1469531698345,1469531701869,17075265257049,431.0736999511719
1469531698345,1469531701971,17075367155242,436.54736328125
1469531698345,1469531702173,17075568571259,424.92633056640625
1469531698345,1469531702273,17075668821503,438.4842224121094
1469531698345,1469531702476,17075872068573,424.5052490234375
1469531698345,1469531702577,17075972746063,431.5789489746094
1469531698345,1469531702778,17076173704315,427.70526123046875
1469531698345,1469531702876,17076271665741,428.7157897949219
slash,slash,slash
1469531698345,1469531703078,17076473600554,432.084228515625
1469531698345,1469531703180,17076575376678,432.6736755371094
1469531698345,1469531703381,17076776762175,428.79998779296875
1469531698345,1469531703481,17076876585173,443.2842102050781
1469531698345,1469531703682,17077077573944,424.5894470214844
1469531698345,1469531703784,17077179533171,443.78948974609375
1469531698345,1469531703985,17077380918671,425.3473815917969
1469531698345,1469531704085,17077480528045,438.8210754394531
1469531698345,1469531704286,17077682249236,429.1368408203125
1469531698345,1469531704388,17077784147430,431.915771484375
1469531698345,1469531704590,17077985563444,434.4421081542969
1469531698345,1469531704689,17078085020232,204.3789520263672
1469531698345,1469531704993,17078388425993,435.62103271484375
1469531698345,1469531705194,17078589842010,417.9368591308594
1469531698345,1469531705294,17078689329314,437.38946533203125
1469531698345,1469531705495,17078890745331,418.4421081542969
1469531698345,1469531705696,17079092130828,435.78948974609375
1469531698345,1469531705798,17079194059539,428.6315612792969
1469531698345,1469531706001,17079397123505,433.34735107421875
1469531698345,1469531706100,17079495634246,431.0736999511719
1469531698345,1469531706300,17079696104217,429.47369384765625
1469531698345,1469531706403,17079799192596,429.3894958496094
slash,slash,slash
1469531698345,1469531706604,17079999601530,437.1368408203125
1469531698345,1469531706703,17080099088836,429.2210388183594
1469531698345,1469531706905,17080300626921,441.6842041015625
1469531698345,1469531707007,17080402708221,422.3999938964844
1469531698345,1469531707208,17080604002166,441.2631530761719
1469531698345,1469531707308,17080703458952,430.3157958984375
1469531698345,1469531707509,17080904997040,437.38946533203125
1469531698345,1469531707611,17081006803680,431.2420959472656
1469531698345,1469531707812,17081207853484,428.1263122558594
1469531698345,1469531707912,17081307676483,429.30523681640625
1469531698345,1469531708113,17081509092497,431.74737548828125
1469531698345,1469531708215,17081611112762,428.54736328125
1469531698345,1469531708417,17081812498260,245.726318359375
