startTime,nowTime,nanoTime,lx
1469527539921,1469527539921,18459777619244,477.0
1469527539921,1469527539988,18459845128202,475.0
1469527539921,1469527540325,18460181375286,477.0
1469527539921,1469527540394,18460250703880,474.0
1469527539921,1469527540464,18460320205859,477.0
1469527539921,1469527540795,18460651252421,474.0
1469527539921,1469527540862,18460718708827,477.0
1469527539921,1469527540996,18460852342525,474.0
1469527539921,1469527541131,18460987466535,477.0
1469527539921,1469527541197,18461053513723,474.0
1469527539921,1469527541335,18461192001015,477.0
1469527539921,1469527541398,18461254906275,474.0
1469527539921,1469527541533,18461389382212,477.0
1469527539921,1469527541667,18461523862994,475.0
1469527539921,1469527542944,18462800566170,477.0
1469527539921,1469527543077,18462934062160,474.0
slash,slash,slash
1469527539921,1469527543547,18463403496586,477.0
1469527539921,1469527543614,18463470564920,474.0
1469527539921,1469527543816,18463672364242,472.0
1469527539921,1469527544286,18464142228565,474.0
1469527539921,1469527544353,18464209148409,477.0
1469527539921,1469527544420,18464277091794,474.0
1469527539921,1469527544555,18464411397055,477.0
1469527539921,1469527544621,18464477313357,474.0
1469527539921,1469527544689,18464545987992,46.0
1469527539921,1469527544756,18464612190649,36.0
1469527539921,1469527544823,18464679473148,81.0
1469527539921,1469527544890,18464746801273,425.0
1469527539921,1469527544957,18464813787419,477.0
1469527539921,1469527545159,18465015469398,474.0
1469527539921,1469527545225,18465081726378,477.0
1469527539921,1469527545360,18465216157940,474.0
1469527539921,1469527545427,18465283513721,477.0
1469527539921,1469527545562,18465418854971,474.0
1469527539921,1469527545630,18465486859190,477.0
1469527539921,1469527545762,18465618843877,474.0
1469527539921,1469527545830,18465686498877,472.0
1469527539921,1469527546100,18465956373617,474.0
1469527539921,1469527546166,18466022788878,477.0
up,up,up
1469527539921,1469527547180,18467036245543,344.0
1469527539921,1469527547308,18467164460335,155.0
1469527539921,1469527547374,18467230505075,13.0
1469527539921,1469527547442,18467299128512,30.0
1469527539921,1469527547509,18467365491324,65.0
1469527539921,1469527547576,18467432160491,103.0
1469527539921,1469527547644,18467500478616,124.0
1469527539921,1469527547709,18467565315074,170.0
1469527539921,1469527547777,18467634038564,291.0
1469527539921,1469527547843,18467700114814,380.0
1469527539921,1469527547911,18467767149397,450.0
1469527539921,1469527547978,18467835004710,477.0
1469527539921,1469527548112,18467968519501,475.0
1469527539921,1469527548249,18468105394293,477.0
1469527539921,1469527548381,18468238002366,474.0
1469527539921,1469527548449,18468305773824,477.0
1469527539921,1469527548584,18468440222627,474.0
1469527539921,1469527548650,18468506819918,472.0
1469527539921,1469527548851,18468707446480,474.0
1469527539921,1469527548927,18468783790126,477.0
down,down,down
1469527539921,1469527549257,18469113243564,474.0
1469527539921,1469527549388,18469245070387,477.0
1469527539921,1469527549658,18469514228563,458.0
1469527539921,1469527549723,18469579507886,276.0
1469527539921,1469527549791,18469647582730,231.0
1469527539921,1469527549858,18469715123511,233.0
1469527539921,1469527549926,18469782276428,236.0
1469527539921,1469527549992,18469848994761,195.0
1469527539921,1469527550060,18469916713980,127.0
1469527539921,1469527550127,18469984052730,36.0
1469527539921,1469527550193,18470049601323,51.0
1469527539921,1469527550262,18470119120386,157.0
1469527539921,1469527550329,18470185623146,257.0
1469527539921,1469527550394,18470250860595,475.0
1469527539921,1469527550864,18470720887470,477.0
1469527539921,1469527550934,18470790895490,475.0
1469527539921,1469527550999,18470855940802,477.0
1469527539921,1469527551135,18470991654865,474.0
1469527539921,1469527551336,18471192565021,472.0
roll,roll,roll
1469527539921,1469527551671,18471527712938,474.0
1469527539921,1469527551738,18471594527782,477.0
1469527539921,1469527552075,18471931287886,474.0
1469527539921,1469527552141,18471997422000,477.0
1469527539921,1469527552344,18472200752521,27.0
1469527539921,1469527552410,18472266654239,311.0
1469527539921,1469527552478,18472334866739,477.0
1469527539921,1469527552746,18472602951010,475.0
1469527539921,1469527552812,18472668473406,477.0
1469527539921,1469527552881,18472737200072,434.0
1469527539921,1469527552947,18472803222260,260.0
1469527539921,1469527553014,18472870396844,455.0
1469527539921,1469527553082,18472938231947,480.0
1469527539921,1469527553148,18473004955854,477.0
1469527539921,1469527553215,18473072006791,482.0
1469527539921,1469527553286,18473142390281,223.0
1469527539921,1469527553349,18473205352156,25.0
1469527539921,1469527553417,18473273800437,477.0
1469527539921,1469527553484,18473340831062,475.0
1469527539921,1469527553753,18473609423197,477.0
1469527539921,1469527553819,18473675658197,474.0
1469527539921,1469527553887,18473743926843,477.0
1469527539921,1469527553954,18473811052416,474.0
1469527539921,1469527554155,18474011861739,472.0
1469527539921,1469527554424,18474280723979,474.0
1469527539921,1469527554558,18474414412208,477.0
1469527539921,1469527554630,18474486553457,474.0
hide,hide,hide
1469527539921,1469527554712,18474568321061,477.0
1469527539921,1469527555162,18475018961269,228.0
1469527539921,1469527555230,18475086880123,16.0
1469527539921,1469527555298,18475154211894,10.0
1469527539921,1469527555364,18475220264030,8.0
1469527539921,1469527555567,18475423278613,5.0
1469527539921,1469527555767,18475623797571,3.0
1469527539921,1469527556036,18475892338769,10.0
1469527539921,1469527556101,18475957909654,22.0
1469527539921,1469527556169,18476025310748,271.0
1469527539921,1469527556236,18476092702311,266.0
1469527539921,1469527556305,18476161669290,475.0
1469527539921,1469527556506,18476362198509,477.0
1469527539921,1469527556572,18476429020383,474.0
1469527539921,1469527556841,18476697800956,472.0
slash,slash,slash
1469527539921,1469527557715,18477571389342,469.0
1469527539921,1469527557780,18477636925227,472.0
1469527539921,1469527557848,18477704289237,385.0
1469527539921,1469527557922,18477778464393,13.0
1469527539921,1469527557986,18477842880071,474.0
up,up,up
1469527539921,1469527559527,18479384078716,472.0
1469527539921,1469527559796,18479652451841,46.0
1469527539921,1469527559862,18479718474966,27.0
