startTime,nowTime,nanoTime,lx
1469509844620,1469509844920,99855446811511,497.0
1469509844620,1469509845031,99855557588855,503.0
1469509844620,1469509845630,99856156924896,497.0
1469509844620,1469509845794,99856321237813,503.0
1469509844620,1469509845849,99856375765313,510.0
1469509844620,1469509845905,99856431352708,516.0
1469509844620,1469509845960,99856486553021,523.0
1469509844620,1469509846015,99856541569427,530.0
1469509844620,1469509846125,99856651543542,523.0
1469509844620,1469509846181,99856707530104,530.0
1469509844620,1469509847922,99858448398541,516.0
1469509844620,1469509848031,99858557650520,523.0
1469509844620,1469509848304,99858830948228,530.0
1469509844620,1469509848414,99858940995624,523.0
1469509844620,1469509848469,99858995850520,530.0
1469509844620,1469509851516,99862042620623,543.0
1469509844620,1469509851898,99862424526925,530.0
1469509844620,1469509852387,99862913552602,543.0
1469509844620,1469509854400,99864926387601,530.0
slash,slash,slash,slash
1469509844620,1469509857717,99868243397496,384.0
1469509844620,1469509857771,99868298005933,46.0
1469509844620,1469509857882,99868408429006,132.0
1469509844620,1469509857937,99868463774683,536.0
1469509844620,1469509858265,99868791343381,523.0
1469509844620,1469509858862,99869389075047,530.0
up,up,up,up
1469509844620,1469509862017,99872543563431,377.0
1469509844620,1469509862072,99872598641348,112.0
1469509844620,1469509862127,99872654232754,53.0
1469509844620,1469509862238,99872764530098,46.0
1469509844620,1469509862292,99872818792754,39.0
1469509844620,1469509862348,99872874345827,33.0
1469509844620,1469509862459,99872985842233,26.0
1469509844620,1469509862514,99873040783015,33.0
1469509844620,1469509862569,99873095640567,39.0
1469509844620,1469509862626,99873152654160,46.0
1469509844620,1469509862680,99873207043275,79.0
1469509844620,1469509862736,99873262332025,159.0
1469509844620,1469509862791,99873317984837,271.0
1469509844620,1469509862846,99873373215150,371.0
1469509844620,1469509862901,99873427697806,457.0
1469509844620,1469509862956,99873482989733,503.0
1469509844620,1469509863011,99873538290150,523.0
1469509844620,1469509863502,99874028859993,530.0
down,down,down,down
1469509844620,1469509867200,99877726723794,483.0
1469509844620,1469509867254,99877781183690,404.0
1469509844620,1469509867310,99877837074054,298.0
1469509844620,1469509867365,99877892055461,198.0
1469509844620,1469509867421,99877947878377,106.0
1469509844620,1469509867476,99878003054836,53.0
1469509844620,1469509867532,99878058414575,26.0
1469509844620,1469509867587,99878113890096,19.0
1469509844620,1469509867752,99878278407127,26.0
1469509844620,1469509867806,99878333054002,33.0
1469509844620,1469509867862,99878388497179,39.0
1469509844620,1469509867974,99878500358846,79.0
1469509844620,1469509868028,99878554387335,99.0
1469509844620,1469509868083,99878609845617,384.0
1469509844620,1469509868139,99878665595877,536.0
1469509844620,1469509868249,99878775932752,523.0
1469509844620,1469509869011,99879537590512,530.0
roll,roll,roll,roll
1469509844620,1469509870807,99881333436813,357.0
1469509844620,1469509870860,99881386687126,53.0
1469509844620,1469509870915,99881442301293,278.0
1469509844620,1469509870971,99881497734522,523.0
1469509844620,1469509871026,99881553115303,536.0
1469509844620,1469509871409,99881935572334,503.0
1469509844620,1469509871463,99881990226813,364.0
1469509844620,1469509871518,99882044687803,192.0
1469509844620,1469509871573,99882100247074,205.0
1469509844620,1469509871629,99882156011709,391.0
1469509844620,1469509871684,99882211284626,516.0
1469509844620,1469509871740,99882266445146,536.0
1469509844620,1469509872066,99882593277646,278.0
1469509844620,1469509872122,99882648480615,39.0
1469509844620,1469509872177,99882704275771,125.0
1469509844620,1469509872233,99882759503636,457.0
1469509844620,1469509872288,99882814538271,536.0
1469509844620,1469509872398,99882924946396,523.0
1469509844620,1469509872507,99883033869209,530.0
hide,hide,hide,hide
1469509844620,1469509874302,99884828661187,477.0
