startTime,nowTime,nanoTime,lx
1469509190100,1469509190400,142929680623388,1288.0
1469509190100,1469509190471,142929751467388,1282.0
1469509190100,1469509190540,142929819985388,1276.0
1469509190100,1469509190610,142929890036388,1272.0
1469509190100,1469509190680,142929960303388,1274.0
1469509190100,1469509190749,142930029599388,1278.0
1469509190100,1469509190819,142930099339388,1284.0
1469509190100,1469509191030,142930310207388,1278.0
1469509190100,1469509191100,142930380151388,1280.0
1469509190100,1469509191169,142930449597388,1276.0
1469509190100,1469509191239,142930519456388,1282.0
1469509190100,1469509191448,142930728558388,1280.0
1469509190100,1469509191519,142930798885388,1282.0
1469509190100,1469509191588,142930868356388,1286.0
1469509190100,1469509191658,142930937874388,1288.0
1469509190100,1469509191727,142931007512388,1278.0
1469509190100,1469509191797,142931077243388,1276.0
slash,slash,slash,slash
1469509190100,1469509191867,142931146834388,1272.0
1469509190100,1469509191937,142931216848388,1280.0
1469509190100,1469509192006,142931286577388,1278.0
1469509190100,1469509192076,142931356443388,1276.0
1469509190100,1469509192146,142931426337388,1274.0
1469509190100,1469509192216,142931496048388,1278.0
1469509190100,1469509192285,142931565697388,1276.0
1469509190100,1469509192499,142931778811388,1278.0
1469509190100,1469509192567,142931847024388,1280.0
1469509190100,1469509192635,142931915443388,1282.0
1469509190100,1469509192705,142931985266388,834.0
1469509190100,1469509192775,142932055169388,836.0
1469509190100,1469509192845,142932124998388,1140.0
1469509190100,1469509192915,142932195257388,1280.0
1469509190100,1469509193124,142932404439388,1274.0
1469509190100,1469509193195,142932474791388,1272.0
1469509190100,1469509193333,142932613691388,1278.0
1469509190100,1469509193404,142932683925388,1280.0
1469509190100,1469509193473,142932753568388,1284.0
1469509190100,1469509193543,142932823722388,1282.0
1469509190100,1469509193613,142932893196388,1286.0
1469509190100,1469509193683,142932963038388,1278.0
1469509190100,1469509193753,142933033655388,1276.0
1469509190100,1469509193893,142933173177388,1282.0
1469509190100,1469509193962,142933242661388,1286.0
1469509190100,1469509194101,142933381641388,1284.0
1469509190100,1469509194241,142933521135388,1286.0
1469509190100,1469509194381,142933660807388,1282.0
1469509190100,1469509194521,142933801422388,1278.0
1469509190100,1469509194591,142933871640388,1272.0
1469509190100,1469509194660,142933940757388,1274.0
1469509190100,1469509194730,142934010322388,1272.0
1469509190100,1469509194939,142934219308388,1274.0
1469509190100,1469509195079,142934359053388,1278.0
1469509190100,1469509195149,142934429237388,1282.0
1469509190100,1469509195219,142934499096388,1288.0
1469509190100,1469509195289,142934568970388,1286.0
1469509190100,1469509195359,142934639097388,1288.0
1469509190100,1469509195428,142934708352388,1280.0
1469509190100,1469509195498,142934777956388,1282.0
1469509190100,1469509195567,142934847678388,1280.0
1469509190100,1469509195707,142934987141388,1278.0
1469509190100,1469509195777,142935057263388,1286.0
1469509190100,1469509195847,142935126998388,1280.0
1469509190100,1469509195917,142935196780388,1274.0
1469509190100,1469509196057,142935337487388,1278.0
1469509190100,1469509196127,142935406924388,1282.0
1469509190100,1469509196196,142935476730388,1284.0
1469509190100,1469509196336,142935615811387,1282.0
1469509190100,1469509196406,142935686241388,1284.0
1469509190100,1469509196475,142935755744388,1290.0
1469509190100,1469509196546,142935825877388,1294.0
1469509190100,1469509196615,142935895739388,1296.0
1469509190100,1469509196686,142935965776388,1292.0
1469509190100,1469509196755,142936035367388,1290.0
1469509190100,1469509196825,142936105153388,1286.0
1469509190100,1469509196899,142936179557388,1288.0
1469509190100,1469509197034,142936313940388,1290.0
1469509190100,1469509197104,142936383984388,1292.0
1469509190100,1469509197173,142936453699388,1298.0
1469509190100,1469509197245,142936525015388,1300.0
1469509190100,1469509197313,142936593315388,1292.0
1469509190100,1469509197383,142936663119388,1284.0
1469509190100,1469509197453,142936732978388,1278.0
1469509190100,1469509197539,142936819484388,1280.0
1469509190100,1469509197593,142936873673388,1282.0
1469509190100,1469509197802,142937082385388,1280.0
1469509190100,1469509197942,142937222381388,1284.0
1469509190100,1469509198012,142937292222388,1286.0
1469509190100,1469509198151,142937431402388,1284.0
1469509190100,1469509198291,142937570902388,1282.0
1469509190100,1469509198430,142937710576388,1284.0
1469509190100,1469509198570,142937850331388,1288.0
1469509190100,1469509198640,142937920275388,1284.0
1469509190100,1469509198780,142938060473388,1286.0
1469509190100,1469509198850,142938130723388,1282.0
1469509190100,1469509198919,142938199049388,1284.0
up,up,up,up
1469509190100,1469509198989,142938269013388,1280.0
1469509190100,1469509199128,142938408696388,1286.0
1469509190100,1469509199199,142938478984388,1288.0
1469509190100,1469509199268,142938548316388,1292.0
1469509190100,1469509199338,142938618192388,1290.0
1469509190100,1469509199408,142938687891388,1288.0
1469509190100,1469509199478,142938757930388,1282.0
1469509190100,1469509199549,142938829002388,1280.0
1469509190100,1469509199618,142938898227388,1286.0
1469509190100,1469509199688,142938968301388,1290.0
1469509190100,1469509199758,142939037896388,1292.0
1469509190100,1469509199827,142939107725388,1296.0
1469509190100,1469509199897,142939177552388,1150.0
1469509190100,1469509199967,142939247556388,836.0
1469509190100,1469509200038,142939318371388,212.0
1469509190100,1469509200106,142939386407388,46.0
