startTime,nowTime,nanoTime,lx
1469531062540,1469534574477,20226087842184,596.0
1469531062540,1469534574656,20226267603684,593.0
1469531062540,1469534574836,20226446789767,591.0
1469531062540,1469534575017,20226628353184,591.0
1469531062540,1469534575195,20226805746351,590.0
1469531062540,20160726210456,Galaxy-S6edge-dyamashita,dyamashita
1469531062540,1469534635532,20287143428629,577.0
1469531062540,1469534635712,20287322825338,577.0
1469531062540,1469534635892,20287502698338,587.0
1469531062540,1469534636071,20287682373088,587.0
1469531062540,1469534636251,20287862250005,584.0
1469531062540,1469534636434,20288045107880,584.0
1469531062540,1469534636610,20288220997213,588.0
1469531062540,1469534636795,20288406416630,591.0
1469531062540,1469534636971,20288582587630,586.0
1469531062540,1469534637151,20288762445547,586.0
1469531062540,1469534637328,20288939087547,588.0
1469531062540,1469534637510,20289121377047,589.0
1469531062540,1469534637687,20289298319381,587.0
1469531062540,1469534637869,20289480321547,586.0
1469531062540,1469534638050,20289661267422,584.0
1469531062540,1469534638235,20289845764797,585.0
1469531062540,1469534638408,20290019272089,584.0
1469531062540,1469534638589,20290200205548,585.0
1469531062540,1469534638766,20290377564714,584.0
1469531062540,1469534638950,20290561189214,583.0
1469531062540,1469534639128,20290739092548,586.0
1469531062540,1469534639304,20290914985465,584.0
1469531062540,1469534639486,20291096981590,583.0
1469531062540,1469534639665,20291275924631,588.0
1469531062540,1469534639845,20291456320382,590.0
1469531062540,1469534640024,20291635098757,587.0
1469531062540,1469534640201,20291812124257,585.0
1469531062540,1469534640380,20291991394507,585.0
1469531062540,1469534640560,20292170936049,587.0
1469531062540,1469534640739,20292350524049,584.0
1469531062540,1469534640918,20292529319965,584.0
1469531062540,1469534641098,20292709301840,582.0
1469531062540,1469534641278,20292889181674,585.0
1469531062540,1469534641458,20293068856341,590.0
1469531062540,1469534641641,20293251989382,589.0
1469531062540,1469534641820,20293431181507,580.0
1469531062540,1469534641997,20293608409258,583.0
slash
1469531062540,1469534642176,20293786676674,585.0
1469531062540,1469534642355,20293966175008,585.0
1469531062540,1469534642535,20294146645258,586.0
1469531062540,1469534642719,20294329741050,576.0
1469531062540,1469534642897,20294507802133,531.0
1469531062540,1469534643077,20294688345675,488.0
1469531062540,1469534643256,20294866756133,472.0
1469531062540,1469534643437,20295048024300,16.0
1469531062540,1469534643616,20295227062842,484.0
1469531062540,1469534643794,20295405091258,512.0
1469531062540,1469534643974,20295585453550,543.0
1469531062540,1469534644156,20295767059217,579.0
1469531062540,1469534644332,20295943555259,588.0
1469531062540,1469534644513,20296124187092,586.0
1469531062540,1469534644695,20296306128342,588.0
1469531062540,1469534644872,20296483197842,584.0
1469531062540,1469534645053,20296664445134,582.0
1469531062540,1469534645231,20296842413426,586.0
1469531062540,1469534645411,20297021846843,588.0
1469531062540,1469534645587,20297198549259,588.0
up
1469531062540,1469534645767,20297377841134,584.0
1469531062540,1469534645947,20297557803718,585.0
1469531062540,1469534646126,20297737582968,587.0
1469531062540,1469534646306,20297917436051,588.0
1469531062540,1469534646488,20298098827968,580.0
1469531062540,1469534646666,20298276890593,580.0
1469531062540,1469534646846,20298456957302,119.0
1469531062540,1469534647027,20298638180885,424.0
1469531062540,1469534647206,20298817408468,508.0
1469531062540,1469534647387,20298998616760,510.0
1469531062540,1469534647565,20299176315177,587.0
1469531062540,1469534647747,20299358195719,587.0
1469531062540,1469534647923,20299534636927,590.0
1469531062540,1469534648103,20299714566427,583.0
1469531062540,1469534648287,20299898511844,587.0
1469531062540,1469534648463,20300074575219,586.0
1469531062540,1469534648645,20300256048261,589.0
1469531062540,1469534648821,20300432473094,584.0
1469531062540,1469534649005,20300615792011,575.0
down
1469531062540,1469534649179,20300789950011,572.0
1469531062540,1469534649358,20300969354344,575.0
1469531062540,1469534649538,20301149119220,577.0
1469531062540,1469534649718,20301328922928,581.0
1469531062540,1469534649898,20301509131303,586.0
