startTime,nowTime,nanoTime,lx
1469534722387,1469537195977,118057127994099,523.0
1469534722387,1469537196033,118057184255817,516.0
1469534722387,1469537197715,118058866327536,510.0
slash
1469534722387,1469537198258,118059409404879,516.0
1469534722387,1469537199073,118060223914670,523.0
1469534722387,1469537199129,118060279545868,516.0
1469534722387,1469537199943,118061094284201,523.0
1469534722387,1469537199999,118061149856545,483.0
1469534722387,1469537200055,118061206320295,33.0
1469534722387,1469537200111,118061261595087,444.0
1469534722387,1469537200166,118061316730555,523.0
1469534722387,1469537200221,118061372474305,516.0
1469534722387,1469537200440,118061591002639,510.0
1469534722387,1469537201038,118062188562170,516.0
slash
1469534722387,1469537203318,118064468873731,503.0
1469534722387,1469537203373,118064523843940,59.0
1469534722387,1469537203428,118064578642637,417.0
1469534722387,1469537203483,118064634288992,510.0
1469534722387,1469537203812,118064963163314,516.0
slash
1469534722387,1469537205980,118067131311803,510.0
1469534722387,1469537206469,118067620341282,516.0
1469534722387,1469537206633,118067784150501,523.0
1469534722387,1469537206688,118067839515501,417.0
1469534722387,1469537206744,118067894975136,46.0
1469534722387,1469537206800,118067950681699,510.0
1469534722387,1469537206856,118068006629407,523.0
1469534722387,1469537206911,118068061845188,516.0
1469534722387,1469537207997,118069147688938,523.0
1469534722387,1469537208052,118069202900969,516.0
slash
1469534722387,1469537208704,118069854998313,510.0
1469534722387,1469537209302,118070452921385,516.0
1469534722387,1469537210063,118071213594250,523.0
1469534722387,1469537210226,118071377256697,530.0
1469534722387,1469537210281,118071432475916,92.0
1469534722387,1469537210337,118071488244562,397.0
1469534722387,1469537210393,118071544076854,523.0
1469534722387,1469537210448,118071599349301,516.0
1469534722387,1469537211480,118072630941124,510.0
slash
1469534722387,1469537212023,118073174312009,516.0
1469534722387,1469537213380,118074530999769,523.0
1469534722387,1469537213544,118074695128832,516.0
1469534722387,1469537213600,118074750590186,59.0
1469534722387,1469537213655,118074806024925,357.0
1469534722387,1469537213711,118074862105706,523.0
1469534722387,1469537213766,118074917127373,516.0
1469534722387,1469537214202,118075353260394,510.0
1469534722387,1469537214800,118075951084144,516.0
slash
1469534722387,1469537216968,118078119500601,510.0
1469534722387,1469537217078,118078229318622,516.0
1469534722387,1469537217134,118078284878570,510.0
1469534722387,1469537217189,118078340518570,66.0
1469534722387,1469537217245,118078395945757,357.0
1469534722387,1469537217302,118078452788361,516.0
1469534722387,1469537217356,118078507159143,510.0
1469534722387,1469537217521,118078671857268,516.0
slash
1469534722387,1469537219798,118080949506225,510.0
1469534722387,1469537220070,118081220958881,516.0
1469534722387,1469537220398,118081548530496,523.0
1469534722387,1469537220453,118081603938464,463.0
1469534722387,1469537220508,118081659462579,66.0
1469534722387,1469537220565,118081715620339,516.0
1469534722387,1469537221975,118083125866641,523.0
1469534722387,1469537222085,118083235551328,516.0
slash
1469534722387,1469537222466,118083617019349,510.0
1469534722387,1469537223064,118084214770911,516.0
1469534722387,1469537223662,118084812704869,523.0
1469534722387,1469537223717,118084868160442,516.0
1469534722387,1469537223827,118084977839036,523.0
1469534722387,1469537223937,118085087807890,516.0
1469534722387,1469537223992,118085143094088,79.0
1469534722387,1469537224048,118085199019453,470.0
1469534722387,1469537224103,118085254417421,523.0
1469534722387,1469537224159,118085310244348,516.0
1469534722387,1469537225191,118086342315077,510.0
1469534722387,1469537225300,118086451184921,516.0
1469534722387,1469537225356,118086507376015,510.0
slash
1469534722387,1469537225846,118086996612525,516.0
1469534722387,1469537226823,118087973673045,523.0
1469534722387,1469537226878,118088029372264,516.0
1469534722387,1469537227423,118088573642055,523.0
1469534722387,1469537227478,118088628643149,530.0
1469534722387,1469537227533,118088684138045,192.0
1469534722387,1469537227588,118088739473253,437.0
1469534722387,1469537227644,118088795495493,523.0
1469534722387,1469537227700,118088851209503,516.0
1469534722387,1469537227973,118089123603253,510.0
1469534722387,1469537228570,118089720885232,516.0
slash
1469534722387,1469537230468,118091619296586,523.0
1469534722387,1469537230524,118091675033460,516.0
1469534722387,1469537230798,118091949014294,510.0
1469534722387,1469537231070,118092220584189,490.0
1469534722387,1469537231124,118092275302679,66.0
1469534722387,1469537231180,118092331021116,516.0
1469534722387,1469537231235,118092386517419,510.0
1469534722387,1469537231291,118092441940544,516.0
1469534722387,1469537231835,118092986220491,523.0
1469534722387,1469537231891,118093042206064,516.0
up
1469534722387,1469537233193,118094344117366,523.0
1469534722387,1469537233248,118094399350334,516.0
1469534722387,1469537233575,118094725788668,510.0
1469534722387,1469537234065,118095216121167,516.0
1469534722387,1469537234337,118095487901480,510.0
1469534722387,1469537234392,118095543146011,112.0
1469534722387,1469537234448,118095598984917,33.0
1469534722387,1469537234504,118095654757886,39.0
1469534722387,1469537234559,118095710103771,59.0
1469534722387,1469537234615,118095766129396,46.0
1469534722387,1469537234671,118095821836740,92.0
1469534722387,1469537234726,118095876789553,172.0
1469534722387,1469537234782,118095933241219,218.0
1469534722387,1469537234837,118095988331792,371.0
1469534722387,1469537234893,118096044249553,516.0
1469534722387,1469537234949,118096099784344,523.0
1469534722387,1469537235059,118096209632730,516.0
1469534722387,1469537236361,118097511632104,510.0
up
1469534722387,1469537236742,118097892898250,516.0
1469534722387,1469537237829,118098979525176,523.0
1469534722387,1469537237884,118099035035229,338.0
1469534722387,1469537237940,118099091032520,46.0
1469534722387,1469537237995,118099146145437,39.0
1469534722387,1469537238051,118099201698770,33.0
1469534722387,1469537238107,118099257661895,39.0
1469534722387,1469537238162,118099312932676,132.0
1469534722387,1469537238218,118099368701426,198.0
1469534722387,1469537238273,118099424312780,238.0
1469534722387,1469537238330,118099480668249,364.0
1469534722387,1469537238385,118099535703145,510.0
1469534722387,1469537238441,118099591735957,523.0
1469534722387,1469537238605,118099755941322,516.0
1469534722387,1469537239094,118100245233666,510.0
1469534722387,1469537239583,118100734222051,516.0
up
1469534722387,1469537241211,118102362290644,523.0
1469534722387,1469537241267,118102417699863,516.0
1469534722387,1469537241540,118102691202883,523.0
1469534722387,1469537241595,118102745865123,212.0
1469534722387,1469537241650,118102800988352,33.0
1469534722387,1469537241760,118102911206060,66.0
1469534722387,1469537241816,118102967324029,46.0
1469534722387,1469537241928,118103078881998,66.0
1469534722387,1469537241983,118103134300175,159.0
1469534722387,1469537242039,118103190090487,231.0
1469534722387,1469537242095,118103246343977,444.0
1469534722387,1469537242151,118103302122935,510.0
1469534722387,1469537242207,118103357563821,516.0
1469534722387,1469537243021,118104171561268,523.0
1469534722387,1469537243077,118104227539966,516.0
1469534722387,1469537244541,118105692190070,510.0
up
1469534722387,1469537245139,118106290448715,516.0
1469534722387,1469537245900,118107051126840,523.0
1469534722387,1469537245955,118107105990278,483.0
1469534722387,1469537246011,118107161962673,92.0
1469534722387,1469537246066,118107217035382,46.0
1469534722387,1469537246122,118107273348663,39.0
1469534722387,1469537246178,118107328807413,46.0
1469534722387,1469537246233,118107383984184,39.0
1469534722387,1469537246289,118107439747934,86.0
1469534722387,1469537246345,118107496150329,185.0
1469534722387,1469537246402,118107552528663,251.0
1469534722387,1469537246456,118107606931684,417.0
1469534722387,1469537246511,118107662429861,516.0
1469534722387,1469537246567,118107718091684,523.0
1469534722387,1469537246786,118107936596371,516.0
1469534722387,1469537247438,118108589511162,510.0
1469534722387,1469537247765,118108916089444,516.0
up
1469534722387,1469537249663,118110814016214,523.0
1469534722387,1469537249718,118110869183870,516.0
1469534722387,1469537249937,118111088003661,523.0
1469534722387,1469537249992,118111143109130,397.0
1469534722387,1469537250048,118111198703193,39.0
1469534722387,1469537250271,118111421917932,46.0
1469534722387,1469537250325,118111475559026,99.0
1469534722387,1469537250380,118111531243401,172.0
1469534722387,1469537250436,118111587442776,225.0
1469534722387,1469537250493,118111643731161,331.0
1469534722387,1469537250548,118111699035484,477.0
1469534722387,1469537250604,118111754952776,516.0
1469534722387,1469537251202,118112352863348,523.0
1469534722387,1469537251257,118112407982463,516.0
up
1469534722387,1469537252993,118114143824962,510.0
1469534722387,1469537253320,118114470524129,516.0
1469534722387,1469537254189,118115340222826,523.0
1469534722387,1469537254353,118115503567149,331.0
1469534722387,1469537254408,118115558812566,39.0
1469534722387,1469537254464,118115614569493,26.0
1469534722387,1469537254519,118115670209806,46.0
1469534722387,1469537254575,118115725897462,66.0
1469534722387,1469537254631,118115781742410,106.0
1469534722387,1469537254687,118115837699962,172.0
1469534722387,1469537254742,118115893412462,212.0
1469534722387,1469537254797,118115948396368,265.0
1469534722387,1469537254853,118116004026212,437.0
1469534722387,1469537254909,118116059613607,516.0
1469534722387,1469537254964,118116114839232,523.0
1469534722387,1469537255131,118116281998191,516.0
1469534722387,1469537255184,118116335028972,523.0
1469534722387,1469537255239,118116390237149,516.0
1469534722387,1469537255676,118116826691055,510.0
1469534722387,1469537256001,118117152363190,516.0
up
1469534722387,1469537257901,118119051841419,523.0
1469534722387,1469537257956,118119107135846,516.0
1469534722387,1469537258610,118119760601679,185.0
1469534722387,1469537258666,118119817068294,39.0
1469534722387,1469537258721,118119872236887,33.0
1469534722387,1469537258885,118120035928918,86.0
1469534722387,1469537258940,118120091269595,165.0
1469534722387,1469537258996,118120146612668,218.0
1469534722387,1469537259051,118120202391679,238.0
1469534722387,1469537259107,118120258071470,331.0
1469534722387,1469537259163,118120313932356,457.0
1469534722387,1469537259219,118120369655429,516.0
1469534722387,1469537259274,118120425088658,523.0
1469534722387,1469537259493,118120643752512,516.0
1469534722387,1469537261068,118122218766366,510.0
1469534722387,1469537261179,118122329886313,516.0
1469534722387,1469537261231,118122381856626,510.0
up
1469534722387,1469537261504,118122654667824,516.0
1469534722387,1469537262428,118123578959282,523.0
1469534722387,1469537262482,118123633411782,516.0
1469534722387,1469537262755,118123906156938,523.0
1469534722387,1469537262866,118124017467615,371.0
1469534722387,1469537262921,118124071621365,46.0
1469534722387,1469537262976,118124126915323,33.0
1469534722387,1469537263032,118124183410896,26.0
1469534722387,1469537263088,118124238522719,39.0
1469534722387,1469537263143,118124294035115,86.0
1469534722387,1469537263199,118124349678292,152.0
1469534722387,1469537263256,118124406528656,198.0
1469534722387,1469537263310,118124461512823,231.0
1469534722387,1469537263366,118124516901781,304.0
1469534722387,1469537263421,118124572467354,417.0
1469534722387,1469537263477,118124628178135,510.0
1469534722387,1469537263533,118124683759698,523.0
1469534722387,1469537263642,118124792957615,516.0
1469534722387,1469537263806,118124957368448,510.0
1469534722387,1469537263862,118125012712771,516.0
1469534722387,1469537263972,118125123080583,510.0
1469534722387,1469537264516,118125666971833,516.0
up
1469534722387,1469537266793,118127944441207,510.0
1469534722387,1469537267120,118128271055999,516.0
1469534722387,1469537267176,118128326531155,477.0
1469534722387,1469537267231,118128382127405,72.0
1469534722387,1469537267287,118128438349176,39.0
1469534722387,1469537267399,118128549774019,26.0
1469534722387,1469537267454,118128604814332,46.0
1469534722387,1469537267510,118128660524957,106.0
1469534722387,1469537267565,118128715985530,172.0
1469534722387,1469537267621,118128772133290,205.0
1469534722387,1469537267676,118128827214592,218.0
1469534722387,1469537267733,118128883972978,318.0
1469534722387,1469537267788,118128939166259,450.0
1469534722387,1469537267844,118128995141311,516.0
1469534722387,1469537267900,118129050745530,523.0
1469534722387,1469537268118,118129268837717,516.0
1469534722387,1469537268607,118129758075998,523.0
1469534722387,1469537268663,118129813665269,516.0
1469534722387,1469537269478,118130628607925,510.0
1469534722387,1469537269858,118131009280268,516.0
up
1469534722387,1469537270402,118131553512143,523.0
1469534722387,1469537270457,118131608487456,516.0
1469534722387,1469537271001,118132151695528,523.0
1469534722387,1469537271057,118132207769226,516.0
1469534722387,1469537271818,118132969172663,523.0
1469534722387,1469537271873,118133023760841,516.0
1469534722387,1469537272037,118133188152559,470.0
1469534722387,1469537272093,118133244391361,72.0
1469534722387,1469537272148,118133299375163,33.0
1469534722387,1469537272204,118133354909486,26.0
1469534722387,1469537272259,118133410225215,33.0
1469534722387,1469537272315,118133465796830,79.0
1469534722387,1469537272372,118133522915476,159.0
1469534722387,1469537272427,118133578342715,198.0
1469534722387,1469537272483,118133633995736,245.0
1469534722387,1469537272539,118133689688809,357.0
1469534722387,1469537272594,118133745244278,497.0
1469534722387,1469537272650,118133800995788,516.0
1469534722387,1469537273627,118134778078132,523.0
1469534722387,1469537273683,118134834004069,516.0
1469534722387,1469537274769,118135919704277,510.0
1469534722387,1469537274824,118135974679642,516.0
1469534722387,1469537274934,118136085402194,510.0
1469534722387,1469537274990,118136140575735,516.0
1469534722387,1469537275099,118136250240631,510.0
1469534722387,1469537275318,118136469265162,516.0
down
1469534722387,1469537276838,118137988718026,523.0
1469534722387,1469537276893,118138044264797,516.0
1469534722387,1469537277817,118138967538338,477.0
1469534722387,1469537277872,118139022545942,311.0
1469534722387,1469537277927,118139078348442,145.0
1469534722387,1469537277984,118139134678703,86.0
1469534722387,1469537278039,118139189697661,59.0
1469534722387,1469537278094,118139245424380,26.0
1469534722387,1469537278205,118139356485994,33.0
1469534722387,1469537278260,118139410901984,152.0
1469534722387,1469537278316,118139466532869,516.0
1469534722387,1469537278804,118139955219900,523.0
1469534722387,1469537278860,118140010955577,516.0
1469534722387,1469537280325,118141475892348,510.0
down
1469534722387,1469537280435,118141585906566,516.0
1469534722387,1469537280545,118141695685368,510.0
1469534722387,1469537280872,118142022535993,516.0
1469534722387,1469537281686,118142837056253,523.0
1469534722387,1469537281960,118143111427295,510.0
1469534722387,1469537282015,118143165612660,391.0
1469534722387,1469537282070,118143220748753,218.0
1469534722387,1469537282125,118143276456514,106.0
1469534722387,1469537282181,118143331808545,53.0
1469534722387,1469537282237,118143387557972,19.0
1469534722387,1469537282346,118143497440628,33.0
1469534722387,1469537282402,118143553020628,79.0
1469534722387,1469537282458,118143608545732,497.0
1469534722387,1469537282514,118143665055784,516.0
1469534722387,1469537283057,118144208268857,510.0
1469534722387,1469537283113,118144263636565,516.0
1469534722387,1469537283385,118144536492972,523.0
1469534722387,1469537283604,118144754544274,516.0
down
1469534722387,1469537284527,118145677697086,523.0
1469534722387,1469537284583,118145734005159,516.0
1469534722387,1469537285126,118146276692815,523.0
1469534722387,1469537285181,118146331766252,516.0
1469534722387,1469537285562,118146712989585,523.0
1469534722387,1469537285618,118146769072189,516.0
1469534722387,1469537286324,118147474811877,490.0
1469534722387,1469537286381,118147531714273,357.0
1469534722387,1469537286436,118147586732137,198.0
1469534722387,1469537286491,118147641678491,106.0
1469534722387,1469537286546,118147696960575,53.0
1469534722387,1469537286602,118147752833179,26.0
1469534722387,1469537286657,118147808380887,19.0
1469534722387,1469537286713,118147863933595,39.0
1469534722387,1469537286770,118147921250522,132.0
1469534722387,1469537286824,118147975402137,516.0
1469534722387,1469537287802,118148953267709,523.0
1469534722387,1469537287857,118149008027241,516.0
1469534722387,1469537288130,118149281007032,523.0
1469534722387,1469537288186,118149336654376,516.0
1469534722387,1469537288840,118149991341772,510.0
down
1469534722387,1469537289055,118150206357501,516.0
1469534722387,1469537289925,118151075740365,523.0
1469534722387,1469537289980,118151130836563,516.0
1469534722387,1469537290253,118151404465417,523.0
1469534722387,1469537290417,118151567786927,510.0
1469534722387,1469537290472,118151623093177,417.0
1469534722387,1469537290528,118151678561458,238.0
1469534722387,1469537290583,118151734444948,106.0
1469534722387,1469537290639,118151789824010,53.0
1469534722387,1469537290695,118151845598073,26.0
1469534722387,1469537290751,118151901668906,19.0
1469534722387,1469537290806,118151957239062,33.0
1469534722387,1469537290917,118152067992240,357.0
1469534722387,1469537290974,118152124787031,516.0
1469534722387,1469537291517,118152668478281,510.0
1469534722387,1469537291572,118152723230364,516.0
1469534722387,1469537291683,118152834236093,510.0
