Time,Lux
1468929652602,260.0
1468929652672,258.0
1468929652812,254.0
1468929652882,256.0
1468929652952,260.0
1468929653022,258.0
1468929653093,254.0
1468929653164,252.0
1468929653302,250.0
1468929653375,252.0
1468929653442,256.0
1468929653512,258.0
1468929653582,260.0
1468929653652,254.0
1468929653722,252.0
1468929653791,244.0
1468929653931,246.0
1468929654071,254.0
1468929654142,256.0
1468929654213,258.0
1468929654351,256.0
1468929654420,252.0
1468929654492,254.0
1468929654561,256.0
1468929654630,258.0
1468929654701,260.0
1468929654772,254.0
1468929654840,256.0
1468929654910,258.0
1468929654981,256.0
1468929655050,254.0
1468929655258,252.0
1468929655328,250.0
1468929655398,258.0
1468929655469,254.0
1468929655538,258.0
1468929655609,254.0
1468929655679,258.0
1468929655747,254.0
1468929655887,256.0
1468929656027,260.0
1468929656097,256.0
1468929656167,254.0
1468929656307,258.0
1468929656447,254.0
1468929656586,252.0
1468929656657,250.0
1468929656796,254.0
1468929656867,256.0
1468929656936,254.0
1468929657005,256.0
1468929657075,260.0
1468929657147,256.0
1468929657217,254.0
1468929657286,250.0
1468929657355,254.0
1468929657425,264.0
1468929657494,262.0
1468929657564,254.0
1468929657635,252.0
1468929657773,256.0
1468929657845,258.0
1468929657915,260.0
1468929657984,258.0
1468929658123,254.0
1468929658332,256.0
1468929658473,250.0
1468929658543,252.0
1468929658612,254.0
1468929658682,256.0
1468929658752,244.0
1468929658821,194.0
1468929658891,150.0
1468929658961,72.0
1468929659031,46.0
1468929659101,4.0
1468929659172,0.0
1468929663506,2.0
1468929663573,0.0
1468929679782,2.0
1468929679850,0.0
1468929683694,2.0
1468929683831,0.0
1468929693614,4.0
1468929693683,10.0
1468929693751,32.0
1468929693820,38.0
1468929693890,52.0
1468929693960,58.0
1468929694030,60.0
1468929694100,62.0
1468929694242,60.0
1468929694310,62.0
1468929694380,60.0
1468929694450,62.0
1468929694520,58.0
1468929694659,60.0
1468929694729,58.0
1468929694799,62.0
1468929694870,60.0
1468929694940,58.0
1468929695010,56.0
1468929695079,60.0
1468929695150,62.0
1468929695289,60.0
1468929695359,64.0
1468929695568,60.0
1468929695846,56.0
1468929695916,60.0
1468929695986,62.0
1468929696056,68.0
1468929696126,64.0
1468929696197,62.0
1468929696337,64.0
1468929696406,66.0
1468929696547,70.0
1468929696686,72.0
1468929696757,70.0
1468929696897,74.0
1468929696966,76.0
1468929697104,74.0
1468929697175,78.0
1468929697245,80.0
1468929697454,76.0
1468929697526,74.0
1468929697594,76.0
1468929697663,80.0
1468929697733,78.0
1468929697803,76.0
1468929697942,74.0
1468929698012,80.0
1468929698152,76.0
1468929698294,80.0
1468929698363,82.0
1468929698432,86.0
1468929698502,88.0
1468929698572,78.0
1468929698642,68.0
1468929698711,72.0
1468929698781,70.0
1468929698851,74.0
1468929698992,78.0
1468929699131,76.0
1468929699200,70.0
1468929699271,72.0
1468929699410,78.0
1468929699480,76.0
1468929699621,74.0
1468929699690,76.0
1468929699758,72.0
1468929699898,76.0
1468929700108,78.0
1468929700319,76.0
1468929700389,78.0
1468929700459,72.0
1468929700668,76.0
1468929700739,80.0
1468929700808,78.0
1468929700879,74.0
1468929700948,68.0
1468929701018,74.0
1468929701088,76.0
1468929701158,78.0
1468929701228,72.0
1468929701298,74.0
1468929701367,76.0
1468929701438,78.0
1468929701576,80.0
1468929701717,78.0
1468929701785,74.0
1468929701996,76.0
1468929702065,80.0
1468929702135,82.0
1468929702274,80.0
1468929702345,78.0
1468929702414,74.0
1468929702484,78.0
1468929702623,82.0
1468929702694,78.0
1468929702833,74.0
1468929702903,72.0
1468929702974,74.0
1468929703043,76.0
1468929703112,74.0
1468929703182,76.0
1468929703252,78.0
1468929703321,76.0
1468929703392,68.0
1468929703461,70.0
1468929703531,74.0
1468929703603,78.0
1468929703742,74.0
1468929703811,70.0
1468929703951,72.0
1468929704091,74.0
1468929704161,72.0
1468929704301,70.0
1468929704371,76.0
1468929704440,78.0
1468929704511,74.0
1468929704580,70.0
1468929704651,74.0
1468929704719,78.0
1468929704789,80.0
1468929704928,76.0
1468929705068,72.0
1468929705138,70.0
1468929705209,76.0
1468929705279,72.0
1468929705348,74.0
1468929705417,70.0
1468929705487,74.0
1468929705556,70.0
1468929705696,68.0
1468929705766,74.0
1468929705906,76.0
1468929705975,72.0
1468929706047,74.0
1468929706117,82.0
1468929706186,80.0
1468929706257,78.0
1468929706326,80.0
1468929706466,82.0
1468929706536,80.0
1468929706606,76.0
1468929706676,74.0
1468929706746,72.0
1468929706885,76.0
1468929706955,78.0
1468929707025,74.0
1468929707165,70.0
1468929707235,74.0
1468929707444,76.0
1468929707515,74.0
1468929707654,72.0
1468929707723,74.0
1468929707862,82.0
1468929707932,78.0
1468929708072,74.0
1468929708144,76.0
1468929708213,72.0
1468929708282,68.0
1468929708353,74.0
1468929708493,76.0
1468929708561,74.0
1468929708631,76.0
1468929708770,74.0
1468929708841,76.0
1468929708980,72.0
1468929709050,70.0
1468929709191,68.0
1468929709261,64.0
1468929709331,68.0
1468929709401,72.0
1468929709470,78.0
1468929709540,76.0
1468929709610,74.0
1468929709679,68.0
1468929709750,72.0
1468929709819,74.0
1468929709890,78.0
1468929710099,80.0
1468929710169,76.0
1468929710239,78.0
1468929710310,74.0
1468929710516,80.0
1468929710586,82.0
1468929710656,84.0
1468929710726,80.0
1468929710795,76.0
1468929710866,74.0
1468929710935,72.0
1468929711005,70.0
1468929711075,74.0
1468929711284,78.0
1468929711494,76.0
1468929711633,72.0
1468929711703,74.0
1468929711844,76.0
1468929711915,74.0
1468929711985,76.0
1468929712055,74.0
1468929712126,72.0
1468929712194,70.0
1468929712264,78.0
1468929712334,82.0
1468929712403,86.0
1468929712473,76.0
1468929712614,70.0
1468929712683,76.0
1468929712754,74.0
1468929712823,76.0
1468929712893,72.0
1468929713032,70.0
1468929713102,74.0
1468929713173,76.0
1468929713242,78.0
1468929713383,80.0
1468929713520,78.0
1468929713591,76.0
1468929713730,74.0
1468929713800,76.0
1468929713870,72.0
1468929714011,78.0
1468929714080,80.0
1468929714150,78.0
1468929714219,76.0
1468929714360,74.0
1468929714429,76.0
1468929714640,72.0
1468929714710,76.0
1468929714780,72.0
1468929714849,70.0
1468929714988,72.0
1468929715058,78.0
1468929715198,74.0
1468929715268,72.0
1468929715338,76.0
1468929715477,78.0
1468929715547,74.0
1468929715616,72.0
1468929715686,70.0
1468929715825,72.0
1468929715895,74.0
1468929715965,72.0
1468929716035,76.0
1468929716106,72.0
1468929716179,76.0
1468929716246,74.0
1468929716316,76.0
1468929716456,72.0
1468929716666,70.0
1468929716735,76.0
1468929716806,78.0
1468929716876,80.0
1468929716945,78.0
1468929717084,72.0
1468929717154,76.0
1468929717225,78.0
1468929717364,76.0
1468929717503,72.0
1468929717574,74.0
1468929717714,76.0
1468929717784,72.0
1468929717853,76.0
1468929717924,78.0
1468929718062,82.0
1468929718134,68.0
1468929718271,72.0
1468929718341,74.0
1468929718412,78.0
1468929718481,74.0
1468929718621,76.0
1468929718761,74.0
1468929718832,76.0
1468929718901,72.0
1468929718970,70.0
1468929719040,72.0
1468929719110,74.0
1468929719180,78.0
1468929719249,80.0
1468929719389,76.0
1468929719461,72.0
1468929719530,70.0
1468929719669,74.0
1468929719879,76.0
1468929719950,68.0
1468929720020,70.0
1468929720087,72.0
1468929720227,76.0
1468929720366,74.0
1468929720506,70.0
1468929720576,72.0
1468929720647,76.0
1468929720718,82.0
1468929720856,78.0
1468929720926,70.0
1468929720995,68.0
1468929721066,72.0
1468929721137,74.0
1468929721206,76.0
1468929721277,72.0
1468929721345,76.0
1468929721415,82.0
1468929721555,84.0
1468929721625,82.0
1468929721696,78.0
1468929721765,76.0
1468929721836,72.0
1468929721905,76.0
1468929721975,78.0
1468929722114,74.0
1468929722184,72.0
1468929722254,74.0
