Time,Lux
1468943549978,2.0
1468943550046,0.0
1468943566160,2.0
1468943566291,0.0
1468943590802,2.0
1468943590869,0.0
1468943633302,2.0
1468943633509,0.0
1468943670548,2.0
1468943670616,0.0
1468943709822,2.0
1468943709890,0.0
1468943732647,2.0
1468943732714,0.0
1468943748186,2.0
1468943748255,0.0
1468943750356,2.0
1468943750564,0.0
1468943777028,2.0
1468943777095,0.0
1468944086752,2.0
1468944086819,0.0
1468944137211,2.0
1468944137279,0.0
1468944138749,2.0
1468944138819,6.0
1468944138888,10.0
1468944138959,26.0
1468944139029,28.0
1468944139099,32.0
1468944139169,34.0
1468944139239,30.0
1468944139309,28.0
1468944139448,26.0
1468944139589,28.0
1468944139659,30.0
1468944139731,34.0
1468944139868,32.0
1468944139939,34.0
1468944140008,36.0
1468944140079,34.0
1468944140149,32.0
1468944140219,28.0
1468944140290,30.0
1468944140430,32.0
1468944140709,28.0
1468944140779,30.0
1468944140918,36.0
1468944140989,30.0
1468944141059,24.0
1468944141129,26.0
1468944141199,24.0
1468944141269,26.0
1468944141340,28.0
1468944141410,34.0
1468944141549,28.0
1468944141690,26.0
1468944141761,32.0
1468944141829,36.0
1468944141899,48.0
1468944141970,52.0
1468944142039,60.0
1468944142109,62.0
1468944142178,58.0
1468944142249,56.0
1468944142319,52.0
1468944142391,58.0
1468944142459,56.0
1468944142529,62.0
1468944142599,64.0
1468944142669,62.0
1468944142739,56.0
1468944142808,60.0
1468944142879,58.0
1468944142949,60.0
1468944143021,64.0
1468944143089,66.0
1468944143158,62.0
1468944143228,58.0
1468944143298,60.0
1468944143369,62.0
1468944143439,60.0
1468944143509,58.0
1468944143650,56.0
1468944143788,58.0
1468944143858,62.0
1468944143928,64.0
1468944144068,62.0
1468944144138,58.0
1468944144208,54.0
1468944144280,56.0
1468944144350,60.0
1468944144419,58.0
1468944144488,60.0
1468944144558,62.0
1468944144697,60.0
1468944144768,58.0
1468944144908,62.0
1468944144977,58.0
1468944145047,60.0
1468944145117,66.0
1468944145187,64.0
1468944145257,60.0
1468944145328,58.0
1468944145468,64.0
1468944145538,62.0
1468944145678,56.0
1468944145818,58.0
1468944145889,60.0
1468944145960,58.0
1468944146031,60.0
1468944146169,62.0
1468944146309,58.0
1468944146589,60.0
1468944146659,64.0
1468944146799,60.0
1468944146869,64.0
1468944146939,62.0
1468944147009,56.0
1468944147219,60.0
1468944147289,58.0
1468944147360,56.0
1468944147430,58.0
1468944147569,62.0
1468944147639,60.0
1468944147779,54.0
1468944147849,58.0
1468944147921,62.0
1468944148129,56.0
1468944148200,60.0
1468944148270,62.0
1468944148339,58.0
1468944148409,60.0
1468944148479,62.0
1468944148549,56.0
1468944148758,60.0
1468944148828,64.0
1468944148900,58.0
1468944148970,60.0
1468944149109,58.0
1468944149179,56.0
1468944149250,60.0
1468944149320,64.0
1468944149458,62.0
1468944149528,60.0
1468944149599,58.0
1468944149669,60.0
1468944149808,66.0
1468944149879,62.0
1468944149950,54.0
1468944150019,58.0
1468944150159,64.0
1468944150229,60.0
1468944150369,62.0
1468944150440,60.0
1468944150509,62.0
1468944150579,64.0
1468944150649,68.0
1468944150789,62.0
1468944150998,58.0
1468944151068,60.0
1468944151139,58.0
1468944151210,64.0
1468944151350,66.0
1468944151488,64.0
1468944151628,66.0
1468944151769,62.0
1468944151909,58.0
1468944152191,60.0
1468944152259,56.0
1468944152328,60.0
1468944152678,62.0
1468944152749,66.0
1468944152819,68.0
1468944152889,64.0
1468944152959,58.0
1468944153029,60.0
1468944153167,62.0
1468944153237,58.0
1468944153307,60.0
1468944153377,58.0
1468944153456,60.0
1468944153587,56.0
1468944153657,58.0
1468944153797,62.0
1468944153937,64.0
1468944154007,60.0
1468944154077,58.0
1468944154217,54.0
1468944154357,58.0
1468944154497,60.0
1468944154637,62.0
1468944154707,60.0
1468944154777,62.0
1468944154847,60.0
1468944154917,58.0
1468944154988,56.0
1468944155059,60.0
1468944155338,64.0
1468944155409,60.0
1468944155618,62.0
1468944155688,60.0
1468944155758,58.0
1468944155827,56.0
1468944155967,58.0
1468944156110,62.0
1468944156178,56.0
1468944156248,64.0
1468944156319,62.0
1468944156389,60.0
1468944156458,56.0
1468944156598,64.0
1468944156669,62.0
1468944156739,64.0
1468944156809,60.0
1468944156880,62.0
1468944156950,64.0
1468944157019,66.0
1468944157089,62.0
1468944157297,60.0
1468944157438,58.0
1468944157509,54.0
1468944157578,60.0
1468944157648,62.0
1468944157718,64.0
1468944157787,62.0
1468944157858,64.0
1468944157998,66.0
1468944158069,64.0
1468944158207,58.0
1468944158277,60.0
1468944158347,62.0
1468944158487,60.0
1468944158629,58.0
1468944158698,60.0
1468944158768,58.0
1468944158839,66.0
1468944158907,64.0
1468944158976,62.0
1468944159117,60.0
1468944159188,62.0
1468944159257,60.0
1468944159327,62.0
1468944159399,58.0
1468944159470,62.0
1468944159537,64.0
1468944159606,62.0
1468944159676,64.0
1468944159747,60.0
1468944159816,56.0
1468944159886,54.0
1468944159956,60.0
1468944160026,64.0
1468944160096,62.0
1468944160236,60.0
1468944160378,64.0
1468944160448,62.0
1468944160587,64.0
1468944160657,68.0
1468944160727,64.0
1468944160797,62.0
1468944160867,58.0
1468944160937,60.0
1468944161076,58.0
1468944161286,56.0
1468944161358,60.0
1468944161635,62.0
1468944161706,60.0
1468944161776,58.0
1468944161846,60.0
1468944161989,64.0
1468944162057,60.0
1468944162126,62.0
1468944162196,60.0
1468944162336,62.0
1468944162406,60.0
1468944162476,62.0
1468944162546,54.0
1468944162617,56.0
1468944162687,54.0
1468944162756,62.0
1468944162826,60.0
1468944162897,62.0
1468944162967,60.0
1468944163037,62.0
1468944163176,64.0
1468944163248,62.0
1468944163317,58.0
1468944163526,60.0
1468944163595,62.0
1468944163735,60.0
1468944163806,56.0
1468944163875,58.0
1468944163945,62.0
1468944164015,60.0
1468944164088,62.0
1468944164227,64.0
1468944164298,62.0
1468944164368,60.0
1468944164436,64.0
1468944164505,66.0
1468944164575,64.0
1468944164646,58.0
1468944164785,56.0
1468944164855,60.0
1468944164926,58.0
1468944164996,62.0
1468944165135,64.0
1468944165345,62.0
1468944165485,58.0
1468944165556,56.0
1468944165625,54.0
1468944165696,60.0
1468944165905,58.0
1468944165975,54.0
1468944166046,60.0
1468944166185,58.0
1468944166324,54.0
1468944166394,58.0
1468944166465,60.0
1468944166535,58.0
1468944166604,56.0
1468944166674,62.0
1468944166744,60.0
1468944166817,64.0
1468944166954,60.0
1468944167024,58.0
1468944167165,56.0
1468944167305,58.0
1468944167375,60.0
1468944167444,62.0
1468944167515,64.0
1468944167586,62.0
1468944167655,66.0
1468944167725,64.0
1468944167794,70.0
1468944167865,68.0
1468944168004,62.0
1468944168144,64.0
1468944168284,60.0
1468944168355,62.0
1468944168425,64.0
1468944168494,60.0
1468944168563,58.0
1468944168633,60.0
1468944168773,62.0
1468944168843,66.0
1468944168913,68.0
1468944168983,60.0
1468944169124,64.0
1468944169264,60.0
1468944169473,62.0
1468944169544,56.0
1468944169685,60.0
1468944169754,58.0
1468944169824,54.0
1468944169893,58.0
1468944170034,62.0
1468944170104,64.0
1468944170175,66.0
1468944170243,62.0
1468944170451,60.0
1468944170522,64.0
1468944170592,66.0
1468944170662,64.0
1468944170732,62.0
1468944170873,58.0
1468944171082,60.0
1468944171152,62.0
1468944171292,56.0
1468944171362,52.0
1468944171433,58.0
1468944171502,62.0
1468944171572,60.0
1468944171712,56.0
1468944171782,54.0
1468944171852,56.0
1468944171923,60.0
1468944172272,56.0
1468944172341,58.0
1468944172412,62.0
1468944172481,64.0
1468944172551,60.0
1468944172621,64.0
1468944172691,62.0
1468944172761,66.0
1468944172831,60.0
1468944172902,58.0
1468944172971,60.0
1468944173110,62.0
1468944173319,64.0
1468944173389,62.0
1468944173459,58.0
1468944173529,60.0
1468944173599,56.0
1468944173669,60.0
1468944173740,58.0
1468944173811,64.0
1468944173881,54.0
1468944173952,60.0
1468944174021,64.0
1468944174091,68.0
1468944174161,62.0
1468944174231,54.0
1468944174301,50.0
1468944174371,58.0
1468944174441,60.0
1468944174511,62.0
1468944174581,60.0
1468944174721,58.0
1468944174791,62.0
1468944174861,64.0
1468944174931,62.0
1468944175001,60.0
1468944175071,58.0
1468944175141,62.0
1468944175211,60.0
1468944175281,58.0
1468944175420,60.0
1468944175490,56.0
1468944175631,54.0
1468944175700,56.0
1468944175839,60.0
1468944175909,58.0
1468944175979,60.0
1468944176049,58.0
1468944176119,60.0
1468944176329,66.0
1468944176470,68.0
1468944176540,64.0
1468944176610,62.0
1468944176749,60.0
1468944176820,62.0
1468944177102,56.0
1468944177169,60.0
1468944177239,58.0
1468944177309,66.0
1468944177379,64.0
1468944177448,66.0
1468944177658,64.0
1468944177729,62.0
1468944177800,64.0
1468944177940,62.0
1468944178009,58.0
1468944178218,56.0
1468944178289,62.0
1468944178358,60.0
1468944178428,62.0
1468944178499,66.0
1468944178569,68.0
1468944178640,66.0
1468944178779,60.0
1468944178919,58.0
1468944178997,60.0
1468944179058,64.0
1468944179129,60.0
1468944179198,58.0
1468944179338,62.0
1468944179407,60.0
1468944179478,64.0
1468944179689,58.0
1468944179828,56.0
1468944179899,58.0
1468944179968,62.0
1468944180247,60.0
1468944180317,56.0
1468944180387,58.0
1468944180457,52.0
1468944180527,56.0
1468944180669,64.0
1468944180740,60.0
1468944180878,56.0
1468944181018,58.0
1468944181157,60.0
1468944181577,56.0
1468944181648,62.0
1468944181718,60.0
1468944181857,62.0
1468944182067,60.0
1468944182138,64.0
1468944182279,60.0
1468944182417,62.0
1468944182487,60.0
1468944182627,54.0
1468944182697,58.0
1468944182767,60.0
1468944182837,62.0
1468944182909,66.0
1468944183048,64.0
1468944183186,60.0
1468944183327,56.0
1468944183397,58.0
1468944183676,54.0
1468944183886,62.0
1468944183957,66.0
1468944184027,64.0
1468944184096,62.0
1468944184167,64.0
1468944184306,66.0
1468944184377,60.0
1468944184447,62.0
1468944184516,56.0
1468944184586,54.0
1468944184657,58.0
1468944184797,60.0
1468944184867,58.0
1468944184936,54.0
1468944185016,56.0
1468944185075,60.0
1468944185146,64.0
1468944185216,68.0
1468944185285,66.0
1468944185355,62.0
1468944185425,60.0
1468944185495,58.0
1468944185565,60.0
1468944185637,58.0
1468944185707,60.0
1468944185846,62.0
1468944185917,64.0
1468944185987,66.0
1468944186057,60.0
1468944186266,62.0
1468944186335,66.0
1468944186476,68.0
1468944186546,60.0
1468944186615,64.0
1468944186685,60.0
1468944186825,54.0
1468944186897,56.0
1468944187037,54.0
1468944187107,56.0
1468944187175,58.0
1468944187246,60.0
1468944187385,64.0
1468944187454,66.0
1468944187664,62.0
1468944187734,54.0
1468944187804,56.0
1468944187874,60.0
1468944188156,66.0
1468944188226,62.0
1468944188295,66.0
1468944188365,64.0
1468944188435,62.0
1468944188645,60.0
1468944188715,64.0
1468944188855,60.0
1468944188925,58.0
1468944189065,60.0
1468944189135,64.0
1468944189206,66.0
1468944189275,70.0
1468944189344,68.0
1468944189415,62.0
1468944189484,56.0
1468944189625,58.0
1468944189695,60.0
1468944189765,56.0
1468944189836,58.0
1468944189975,60.0
1468944190115,62.0
1468944190186,64.0
1468944190255,62.0
1468944190395,60.0
1468944190465,62.0
1468944190535,64.0
1468944190605,62.0
1468944190675,64.0
1468944190814,66.0
1468944190884,64.0
1468944190955,68.0
1468944191026,66.0
1468944191094,64.0
1468944191164,56.0
1468944191234,58.0
1468944191304,62.0
1468944191443,64.0
1468944191584,66.0
1468944191655,64.0
1468944191794,62.0
1468944191933,64.0
1468944192074,62.0
1468944192213,58.0
1468944192493,60.0
1468944192841,58.0
1468944192912,54.0
1468944192982,62.0
1468944193122,64.0
1468944193191,56.0
1468944193261,60.0
1468944193331,64.0
1468944193401,66.0
1468944193471,60.0
1468944193541,58.0
1468944193611,56.0
1468944193683,60.0
1468944193753,56.0
1468944193825,58.0
1468944193963,62.0
1468944194033,64.0
1468944194103,68.0
1468944194173,62.0
1468944194382,58.0
1468944194453,54.0
1468944194523,56.0
1468944194593,54.0
1468944194663,58.0
1468944194733,56.0
1468944194802,60.0
1468944194873,62.0
1468944195012,64.0
1468944195083,66.0
1468944195153,64.0
1468944195223,62.0
1468944195293,64.0
1468944195642,62.0
1468944195783,56.0
1468944195852,60.0
1468944195991,62.0
1468944196062,64.0
1468944196132,62.0
1468944196202,58.0
1468944196271,54.0
1468944196412,56.0
1468944196482,58.0
1468944196551,60.0
1468944196691,58.0
1468944196762,60.0
1468944196831,64.0
1468944196971,62.0
1468944197112,64.0
1468944197252,60.0
1468944197392,62.0
1468944197462,66.0
1468944197533,68.0
1468944197602,66.0
1468944197671,58.0
1468944197741,64.0
1468944197950,60.0
1468944198021,62.0
1468944198090,60.0
1468944198162,58.0
1468944198232,54.0
1468944198301,56.0
1468944198441,60.0
1468944198512,58.0
1468944198582,62.0
1468944198651,60.0
1468944198791,62.0
1468944198861,64.0
1468944198931,66.0
1468944199001,70.0
1468944199072,64.0
1468944199141,62.0
1468944199212,58.0
1468944199351,62.0
1468944199421,60.0
1468944199560,58.0
1468944199630,60.0
1468944199700,62.0
