Time,Lux
1469072569983,2.0
1469072620805,0.0
1469072621679,2.0
1469072622618,0.0
1469072623223,2.0
1469072631952,0.0
1469072632219,2.0
1469072633763,0.0
1469072633966,2.0
1469072684252,0.0
1469072684317,2.0
1469072684989,0.0
1469072686402,2.0
1469072687139,0.0
1469072688280,2.0
1469072715673,0.0
1469072715738,2.0
1469072715808,0.0
1469072715874,2.0
1469072715941,0.0
1469072716010,2.0
1469072716345,0.0
1469072716410,2.0
1469072716548,0.0
1469072716614,2.0
1469072716747,0.0
1469072716814,2.0
1469072717150,0.0
1469072717821,2.0
1469072726012,0.0
1469072726281,2.0
1469072727017,0.0
1469072727088,2.0

