time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida
0,0,0.0,0.0,0.0
3,1,0.0,0.0,0.0
6,2,0.0,0.0,0.0
9,3,0.0,0.0,0.0
12,4,0.0,0.0,0.0
15,5,0.0,0.0,0.0
18,6,0.0,0.0,0.0
21,7,0.0,0.0,0.0
24,8,0.0,0.0,0.0
27,9,0.0,0.0,0.0
30,10,0.0,0.0,0.0
33,11,29.0,24.0,13.894744873046875
36,12,62.0,54.0,23.831573486328125
39,13,62.0,60.0,23.494735717773438
42,14,58.0,64.0,23.15789794921875
45,15,58.0,62.0,23.242111206054688
48,16,62.0,56.0,23.74737548828125
51,17,62.0,62.0,23.74737548828125
54,18,62.0,60.0,23.326309204101563
57,19,62.0,64.0,17.0
60,20,62.0,64.0,23.578948974609375
63,21,62.0,62.0,23.494735717773438
66,22,62.0,54.0,23.326309204101563
69,23,62.0,58.0,23.15789794921875
72,24,62.0,60.0,23.494735717773438
75,25,58.0,60.0,23.15789794921875
78,26,62.0,62.0,23.242111206054688
81,27,62.0,70.0,23.494735717773438
84,28,58.0,58.0,23.494735717773438
87,29,58.0,62.0,23.15789794921875
90,30,58.0,54.0,23.663162231445313
93,31,62.0,60.0,23.326309204101563
96,32,62.0,58.0,23.326309204101563
99,33,62.0,66.0,23.494735717773438
102,34,58.0,62.0,23.242111206054688
105,35,58.0,60.0,23.326309204101563
108,36,58.0,54.0,23.326309204101563
111,37,62.0,62.0,23.494735717773438
114,38,62.0,58.0,23.494735717773438
117,39,58.0,64.0,23.578948974609375
120,40,62.0,62.0,23.326309204101563
123,41,62.0,56.0,23.578948974609375
126,42,62.0,64.0,23.663162231445313
129,43,62.0,64.0,23.578948974609375
132,44,62.0,64.0,23.326309204101563
135,45,62.0,70.0,23.578948974609375
138,46,62.0,56.0,23.494735717773438
141,47,62.0,58.0,23.494735717773438
144,48,62.0,60.0,23.326309204101563
147,49,58.0,58.0,23.326309204101563
150,50,62.0,58.0,23.326309204101563
153,51,62.0,62.0,23.242111206054688
156,52,58.0,54.0,23.15789794921875
159,53,62.0,62.0,23.494735717773438
162,54,58.0,60.0,23.494735717773438
165,55,58.0,58.0,23.242111206054688
168,56,62.0,60.0,23.663162231445313
171,57,62.0,60.0,23.663162231445313
174,58,62.0,52.0,23.494735717773438
177,59,62.0,60.0,23.494735717773438
180,60,62.0,60.0,23.663162231445313
183,61,62.0,54.0,23.74737548828125
186,62,62.0,62.0,23.74737548828125
189,63,62.0,62.0,23.831573486328125
192,64,62.0,64.0,23.915786743164063
195,65,64.0,58.0,24.252639770507813
198,66,64.0,62.0,24.84210205078125
201,67,66.0,66.0,24.926315307617188
204,68,66.0,62.0,24.926315307617188
207,69,66.0,70.0,25.515792846679688
210,70,68.0,66.0,25.852630615234375
213,71,70.0,72.0,26.02105712890625
216,72,70.0,74.0,26.526321411132813
219,73,71.0,72.0,26.947372436523438
222,74,71.0,78.0,27.368423461914063
225,75,72.0,76.0,28.042098999023438
