time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z5-tyamamoto
0,0,0.0,1300.0,15.073684692382813,536.0
3,1,0.0,1300.0,15.073684692382813,536.0
6,2,0.0,1300.0,15.073684692382813,536.0
9,3,0.0,1300.0,15.073684692382813,536.0
12,4,0.0,1300.0,15.073684692382813,536.0
15,5,0.0,1300.0,15.073684692382813,536.0
18,6,0.0,1300.0,15.073684692382813,536.0
21,7,0.0,1300.0,15.073684692382813,536.0
24,8,0.0,1300.0,15.073684692382813,536.0
27,9,0.0,1300.0,15.073684692382813,536.0
30,10,0.0,1300.0,15.073684692382813,536.0
33,11,54.0,54.0,21.97894287109375,46.0
36,12,58.0,62.0,23.494735717773438,39.0
39,13,58.0,56.0,22.905258178710938,39.0
42,14,58.0,62.0,22.989471435546875,39.0
45,15,58.0,66.0,23.073684692382813,39.0
48,16,58.0,62.0,23.242111206054688,39.0
51,17,58.0,58.0,23.15789794921875,39.0
54,18,58.0,58.0,23.242111206054688,39.0
57,19,58.0,58.0,23.242111206054688,39.0
60,20,58.0,62.0,23.15789794921875,39.0
63,21,58.0,62.0,23.326309204101563,39.0
66,22,58.0,58.0,23.326309204101563,39.0
69,23,58.0,62.0,23.15789794921875,39.0
72,24,58.0,58.0,23.242111206054688,39.0
75,25,58.0,64.0,23.242111206054688,39.0
78,26,58.0,62.0,23.242111206054688,39.0
81,27,58.0,58.0,23.15789794921875,39.0
84,28,58.0,58.0,23.242111206054688,39.0
87,29,58.0,58.0,23.073684692382813,39.0
90,30,58.0,64.0,23.15789794921875,39.0
93,31,58.0,56.0,23.242111206054688,39.0
96,32,58.0,60.0,23.494735717773438,39.0
99,33,58.0,60.0,23.326309204101563,39.0
102,34,58.0,60.0,23.242111206054688,39.0
105,35,58.0,62.0,23.15789794921875,39.0
108,36,58.0,62.0,22.989471435546875,39.0
111,37,58.0,64.0,23.242111206054688,39.0
114,38,58.0,54.0,23.073684692382813,39.0
117,39,58.0,60.0,23.15789794921875,39.0
