time,step,Galaxy-S6edge-dyamashita
11,0,0.0
14,1,0.0
17,2,0.0
20,3,0.0
23,4,0.0
26,5,0.0
29,6,0.0
32,7,0.0
35,8,0.0
38,9,0.0
41,10,0.0
44,11,30.0
47,12,36.0
50,13,36.0
53,14,36.0
56,15,36.0
59,16,36.0
62,17,36.0
65,18,36.0
68,19,36.0
71,20,36.0
74,21,36.0
77,22,36.0
80,23,36.0
83,24,36.0
86,25,36.0
89,26,36.0
92,27,36.0
95,28,36.0
98,29,36.0
101,30,36.0
104,31,36.0
107,32,36.0
110,33,36.0
113,34,36.0
116,35,36.0
119,36,36.0
122,37,36.0
125,38,36.0
128,39,36.0
131,40,36.0
134,41,36.0
137,42,36.0
140,43,36.0
143,44,36.0
146,45,36.0
149,46,36.0
152,47,36.0
156,48,36.0
159,49,36.0
162,50,36.0
165,51,36.0
168,52,36.0
171,53,36.0
174,54,36.0
177,55,36.0
180,56,36.0
183,57,36.0
186,58,38.0
189,59,36.0
192,60,36.0
195,61,37.0
198,62,37.0
201,63,37.0
204,64,38.0
207,65,38.0
210,66,38.0
213,67,38.0
216,68,39.0
219,69,39.0
222,70,40.0
225,71,41.0
228,72,41.0
231,73,42.0
234,74,43.0
237,75,44.0
240,76,45.0
243,77,44.0
246,78,46.0
249,79,48.0
252,80,49.0
255,81,50.0
258,82,49.0
261,83,51.0
264,84,52.0
267,85,54.0
270,86,56.0
273,87,56.0
276,88,59.0
279,89,60.0
282,90,61.0
285,91,63.0
288,92,64.0
291,93,66.0
294,94,69.0
297,95,71.0
300,96,71.0
303,97,73.0
306,98,76.0
309,99,80.0
312,100,80.0
315,101,83.0
318,102,85.0
322,103,87.0
325,104,90.0
328,105,92.0
331,106,95.0
334,107,99.0
337,108,99.0
340,109,102.0
343,110,106.0
346,111,109.0
349,112,109.0
352,113,115.0
355,114,118.0
358,115,121.0
361,116,125.0
364,117,128.0
367,118,130.0
370,119,130.0
373,120,134.0
376,121,139.0
379,122,144.0
382,123,143.0
385,124,149.0
388,125,155.0
391,126,158.0
394,127,158.0
397,128,164.0
400,129,167.0
403,130,171.0
406,131,173.0
409,132,179.0
412,133,183.0
415,134,188.0
418,135,191.0
421,136,198.0
424,137,204.0
427,138,209.0
430,139,211.0
433,140,214.0
436,141,217.0
439,142,227.0
442,143,232.0
445,144,236.0
448,145,237.0
451,146,244.0
454,147,247.0
457,148,254.0
460,149,259.0
463,150,262.0
466,151,267.0
469,152,273.0
472,153,277.0
475,154,284.0
478,155,288.0
481,156,
484,157,299.0
487,158,305.0
491,159,313.0
494,160,316.0
497,161,323.0
500,162,330.0
503,163,335.0
506,164,341.0
509,165,345.0
512,166,353.0
515,167,360.0
518,168,361.0
521,169,368.0
524,170,375.0
527,171,382.0
530,172,384.0
533,173,389.0
536,174,398.0
539,175,406.0
542,176,411.0
545,177,417.0
548,178,424.0
551,179,436.0
554,180,442.0
557,181,446.0
560,182,457.0
563,183,459.0
566,184,465.0
569,185,472.0
572,186,479.0
575,187,487.0
578,188,494.0
581,189,506.0
584,190,514.0
587,191,517.0
590,192,527.0
593,193,532.0
596,194,540.0
599,195,548.0
602,196,553.0
605,197,558.0
608,198,567.0
611,199,574.0
614,200,583.0
617,201,587.0
620,202,599.0
623,203,603.0
626,204,617.0
629,205,622.0
632,206,627.0
635,207,637.0
638,208,651.0
641,209,659.0
644,210,658.0
647,211,666.0
650,212,679.0
653,213,683.0
656,214,692.0
660,215,694.0
663,216,706.0
666,217,712.0
669,218,728.0
672,219,732.0
675,220,742.0
678,221,757.0
681,222,759.0
684,223,765.0
687,224,773.0
690,225,783.0
693,226,787.0
696,227,798.0
699,228,807.0
702,229,821.0
705,230,825.0
708,231,832.0
711,232,842.0
714,233,852.0
717,234,861.0
720,235,866.0
723,236,878.0
726,237,887.0
729,238,896.0
732,239,907.0
735,240,915.0
738,241,919.0
741,242,917.0
744,243,918.0
747,244,918.0
750,245,918.0
753,246,918.0
756,247,918.0
759,248,918.0
762,249,918.0
765,250,918.0
768,251,917.0
771,252,917.0
774,253,916.0
777,254,917.0
780,255,917.0
783,256,917.0
786,257,916.0
