Time,Lux
1468946600479,2.0
1468946600619,4.0
1468946600689,2.0
1468946600829,0.0
1468946601950,2.0
1468946602018,4.0
1468946602087,2.0
1468946602227,0.0
1468946604187,2.0
1468946604393,0.0
1468946679597,2.0
1468946679668,0.0
1468946706084,6.0
1468946706154,16.0
1468946706224,28.0
1468946706294,42.0
1468946706364,46.0
1468946706434,50.0
1468946706575,48.0
1468946706645,46.0
1468946706714,48.0
1468946706853,50.0
1468946706924,52.0
1468946706993,50.0
1468946707063,52.0
1468946707133,50.0
1468946707275,48.0
1468946707412,46.0
1468946707553,48.0
1468946707692,54.0
1468946707762,56.0
1468946707832,54.0
1468946707904,52.0
1468946708042,50.0
1468946708112,48.0
1468946708182,54.0
1468946708252,52.0
1468946708392,46.0
1468946708463,50.0
1468946708602,48.0
1468946708673,46.0
1468946708742,44.0
1468946708812,46.0
1468946708951,50.0
1468946709022,52.0
1468946709091,56.0
1468946709162,60.0
1468946709231,64.0
1468946709302,56.0
1468946709371,58.0
1468946709440,60.0
1468946709510,62.0
1468946709581,64.0
1468946709650,58.0
1468946709789,60.0
1468946709859,64.0
1468946709930,62.0
1468946710000,58.0
1468946710140,52.0
1468946710210,54.0
1468946710282,50.0
1468946710349,58.0
1468946710419,62.0
1468946710558,58.0
1468946710628,62.0
1468946710698,64.0
1468946710769,66.0
1468946710840,64.0
1468946710908,60.0
1468946710978,62.0
1468946711048,68.0
1468946711188,66.0
1468946711258,58.0
1468946711327,64.0
1468946711468,62.0
1468946711538,54.0
1468946711677,58.0
1468946711748,60.0
1468946711817,62.0
1468946711956,56.0
1468946712026,58.0
1468946712095,60.0
1468946712304,54.0
1468946712444,56.0
1468946712514,60.0
1468946712586,58.0
1468946712658,56.0
1468946712726,58.0
1468946712795,62.0
1468946712866,58.0
1468946712937,56.0
1468946713007,58.0
1468946713076,66.0
1468946713146,64.0
1468946713217,58.0
1468946713355,60.0
1468946713426,62.0
1468946713494,66.0
1468946713563,64.0
1468946713633,58.0
1468946713702,60.0
1468946713772,62.0
1468946713842,66.0
1468946713912,62.0
1468946713982,56.0
1468946714052,58.0
1468946714123,62.0
1468946714193,64.0
1468946714263,62.0
1468946714403,60.0
1468946714473,62.0
1468946714543,64.0
1468946714613,62.0
1468946714685,58.0
1468946714752,62.0
1468946714822,60.0
1468946714892,58.0
1468946715031,56.0
1468946715101,54.0
