Time,Lux
1469073937653,0.0
1469073938138,6.0
1469073945082,0.0
1469073945299,6.0
1469073951862,13.0
1469073952190,6.0
1469073952296,13.0
1469073952462,6.0
1469073953222,13.0
1469073954036,6.0
1469073955990,0.0
1469073956044,6.0
1469073960496,0.0
1469073961474,6.0
1469073970313,0.0
1469073971184,6.0
1469073972215,0.0
1469073977638,6.0
1469073980347,0.0
1469074003716,6.0
1469074008324,6.0
1469074008601,0.0
1469074009686,6.0
1469074010339,0.0
1469074010445,6.0
1469074011043,0.0
1469074011209,6.0
1469074011809,0.0
1469074012677,6.0
1469074013333,0.0
1469074014473,6.0
1469074015339,0.0
1469074015937,6.0
1469074016100,0.0
1469074016374,6.0
1469074017946,0.0
1469074021095,6.0
1469074028300,0.0
1469074036164,6.0
1469074036818,0.0
1469074037908,6.0
1469074038609,0.0
1469074039045,6.0
1469074039752,0.0
1469074040565,6.0
1469074041165,0.0

