time,step,nexus7-2012-hmurakami,nexus7-2013-haida
0,0,0.0,0.0
3,1,0.0,0.0
6,2,0.0,0.0
9,3,0.0,0.0
12,4,0.0,0.0
15,5,0.0,0.0
18,6,0.0,0.0
21,7,0.0,0.0
24,8,0.0,0.0
27,9,0.0,0.0
30,10,0.0,0.0
33,11,60.0,21.97894287109375
36,12,68.0,23.578948974609375
39,13,74.0,23.578948974609375
42,14,72.0,23.326309204101563
45,15,70.0,23.578948974609375
48,16,74.0,23.578948974609375
51,17,72.0,23.663162231445313
54,18,66.0,23.494735717773438
57,19,68.0,23.663162231445313
60,20,70.0,23.494735717773438
63,21,62.0,23.494735717773438
66,22,74.0,23.578948974609375
69,23,72.0,23.663162231445313
72,24,72.0,23.578948974609375
75,25,70.0,23.663162231445313
78,26,74.0,23.578948974609375
81,27,76.0,23.578948974609375
84,28,70.0,23.74737548828125
87,29,66.0,23.831573486328125
90,30,78.0,23.663162231445313
93,31,64.0,23.494735717773438
96,32,70.0,23.74737548828125
99,33,72.0,23.663162231445313
102,34,72.0,23.74737548828125
105,35,66.0,23.831573486328125
108,36,76.0,23.663162231445313
111,37,80.0,23.663162231445313
114,38,78.0,23.663162231445313
117,39,74.0,23.663162231445313
120,40,74.0,23.74737548828125
123,41,64.0,23.74737548828125
126,42,72.0,23.663162231445313
129,43,68.0,23.74737548828125
132,44,72.0,23.831573486328125
135,45,66.0,23.915786743164063
138,46,74.0,23.74737548828125
141,47,76.0,23.74737548828125
144,48,70.0,23.915786743164063
147,49,72.0,23.831573486328125
150,50,72.0,23.831573486328125
153,51,74.0,23.74737548828125
156,52,74.0,23.831573486328125
159,53,74.0,23.831573486328125
162,54,78.0,23.831573486328125
165,55,74.0,24.0
168,56,76.0,23.915786743164063
171,57,76.0,23.831573486328125
174,58,76.0,24.252639770507813
177,59,74.0,24.0
180,60,70.0,23.915786743164063
183,61,74.0,24.252639770507813
186,62,72.0,24.252639770507813
189,63,74.0,24.5894775390625
192,64,74.0,24.505264282226563
195,65,74.0,24.673690795898438
198,66,76.0,25.094741821289063
201,67,78.0,25.094741821289063
204,68,84.0,25.43157958984375
207,69,88.0,25.6842041015625
210,70,78.0,25.852630615234375
213,71,80.0,26.61053466796875
216,72,88.0,26.778945922851563
219,73,82.0,27.284210205078125
222,74,92.0,27.873687744140625
225,75,92.0,28.800003051757813
228,76,92.0,28.968429565429688
231,77,96.0,30.063156127929688
234,78,94.0,30.399993896484375
237,79,94.0,30.821060180664063
240,80,104.0,31.4105224609375
243,81,104.0,32.168426513671875
246,82,110.0,32.84210205078125
249,83,106.0,33.76841735839844
252,84,104.0,34.52632141113281
255,85,110.0,35.45263671875
258,86,118.0,36.463165283203125
261,87,114.0,37.38948059082031
264,88,120.0,38.23158264160156
267,89,130.0,38.736846923828125
270,90,126.0,39.74737548828125
273,91,126.0,40.757904052734375
276,92,136.0,41.600006103515625
279,93,138.0,43.70526123046875
282,94,132.0,45.05262756347656
285,95,144.0,45.47367858886719
288,96,154.0,46.736846923828125
291,97,158.0,49.010528564453125
294,98,162.0,49.68421936035156
297,99,168.0,50.8631591796875
300,100,170.0,53.22105407714844
303,101,184.0,54.82106018066406
306,102,186.0,56.421051025390625
