time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z5-tyamamoto
11,0,0.0,0.0,0.0,0.0
14,1,0.0,0.0,0.0,0.0
17,2,0.0,0.0,0.0,0.0
20,3,0.0,0.0,0.0,0.0
23,4,0.0,0.0,0.0,0.0
26,5,0.0,0.0,0.0,0.0
29,6,0.0,0.0,0.0,0.0
32,7,0.0,0.0,0.0,0.0
35,8,0.0,0.0,0.0,0.0
38,9,0.0,0.0,0.0,0.0
41,10,0.0,0.0,0.0,0.0
44,11,54.0,56.0,21.473678588867188,46.0
47,12,58.0,66.0,23.15789794921875,39.0
50,13,58.0,62.0,22.989471435546875,39.0
53,14,58.0,60.0,22.905258178710938,39.0
56,15,58.0,58.0,23.15789794921875,39.0
59,16,58.0,58.0,23.073684692382813,39.0
62,17,58.0,60.0,23.15789794921875,39.0
65,18,58.0,58.0,23.073684692382813,39.0
68,19,58.0,60.0,23.073684692382813,39.0
71,20,58.0,58.0,23.242111206054688,39.0
74,21,58.0,58.0,23.15789794921875,39.0
77,22,58.0,58.0,23.073684692382813,39.0
80,23,58.0,66.0,23.15789794921875,39.0
83,24,58.0,62.0,23.242111206054688,39.0
86,25,58.0,62.0,23.326309204101563,39.0
89,26,58.0,56.0,23.242111206054688,39.0
92,27,58.0,62.0,23.15789794921875,39.0
95,28,58.0,52.0,23.242111206054688,39.0
98,29,58.0,56.0,23.15789794921875,39.0
101,30,58.0,62.0,23.15789794921875,39.0
104,31,58.0,60.0,23.15789794921875,39.0
107,32,58.0,64.0,23.242111206054688,39.0
110,33,58.0,54.0,23.242111206054688,39.0
113,34,58.0,56.0,23.15789794921875,39.0
116,35,58.0,60.0,23.242111206054688,39.0
119,36,58.0,64.0,23.15789794921875,39.0
122,37,58.0,64.0,23.073684692382813,39.0
125,38,58.0,62.0,23.15789794921875,39.0
128,39,58.0,64.0,23.073684692382813,39.0
131,40,58.0,64.0,23.242111206054688,39.0
134,41,58.0,60.0,23.242111206054688,39.0
