time,step,Galaxy-S6edge-dyamashita
11,0,0.0
14,1,0.0
17,2,0.0
20,3,0.0
23,4,0.0
26,5,0.0
29,6,0.0
32,7,0.0
35,8,0.0
38,9,0.0
41,10,0.0
44,11,34.0
47,12,36.0
50,13,36.0
53,14,36.0
56,15,36.0
59,16,36.0
62,17,36.0
65,18,36.0
68,19,36.0
71,20,36.0
74,21,36.0
77,22,36.0
80,23,36.0
83,24,36.0
86,25,36.0
89,26,36.0
92,27,36.0
95,28,36.0
98,29,36.0
101,30,36.0
104,31,36.0
107,32,36.0
110,33,36.0
113,34,36.0
116,35,38.0
119,36,36.0
122,37,36.0
125,38,36.0
128,39,36.0
131,40,36.0
134,41,36.0
137,42,36.0
140,43,38.0
143,44,38.0
146,45,36.0
149,46,36.0
152,47,36.0
155,48,36.0
158,49,36.0
161,50,36.0
164,51,36.0
167,52,36.0
170,53,36.0
173,54,36.0
176,55,36.0
179,56,36.0
182,57,36.0
186,58,36.0
189,59,36.0
192,60,37.0
195,61,37.0
198,62,37.0
201,63,37.0
204,64,37.0
207,65,38.0
210,66,38.0
213,67,39.0
216,68,39.0
219,69,39.0
222,70,40.0
225,71,40.0
228,72,41.0
231,73,42.0
234,74,43.0
237,75,44.0
240,76,44.0
243,77,45.0
246,78,46.0
249,79,48.0
252,80,47.0
255,81,49.0
258,82,50.0
261,83,51.0
264,84,51.0
267,85,54.0
270,86,54.0
273,87,56.0
276,88,58.0
279,89,59.0
282,90,60.0
285,91,61.0
288,92,64.0
291,93,66.0
294,94,68.0
297,95,68.0
300,96,71.0
303,97,73.0
306,98,76.0
309,99,76.0
312,100,80.0
315,101,82.0
318,102,84.0
321,103,87.0
324,104,88.0
327,105,91.0
330,106,95.0
333,107,97.0
336,108,97.0
339,109,101.0
342,110,105.0
345,111,105.0
348,112,111.0
351,113,112.0
354,114,115.0
357,115,118.0
360,116,123.0
363,117,123.0
366,118,125.0
369,119,130.0
372,120,135.0
375,121,136.0
378,122,140.0
381,123,143.0
384,124,148.0
387,125,153.0
390,126,153.0
393,127,158.0
396,128,162.0
399,129,167.0
402,130,171.0
405,131,172.0
408,132,176.0
411,133,181.0
414,134,185.0
418,135,190.0
421,136,194.0
424,137,199.0
427,138,204.0
430,139,207.0
433,140,212.0
436,141,215.0
439,142,222.0
442,143,225.0
445,144,227.0
448,145,234.0
451,146,238.0
454,147,245.0
457,148,251.0
460,149,255.0
463,150,256.0
466,151,265.0
469,152,270.0
472,153,275.0
475,154,282.0
478,155,287.0
481,156,293.0
484,157,298.0
487,158,301.0
490,159,308.0
493,160,316.0
496,161,319.0
499,162,323.0
502,163,332.0
505,164,339.0
508,165,344.0
511,166,349.0
514,167,356.0
517,168,358.0
520,169,364.0
523,170,372.0
526,171,374.0
529,172,379.0
532,173,386.0
535,174,393.0
538,175,399.0
541,176,408.0
544,177,416.0
547,178,422.0
550,179,424.0
553,180,434.0
556,181,440.0
559,182,450.0
562,183,456.0
565,184,459.0
568,185,462.0
571,186,475.0
574,187,481.0
577,188,486.0
580,189,496.0
583,190,500.0
586,191,507.0
589,192,514.0
592,193,521.0
595,194,532.0
598,195,540.0
601,196,547.0
604,197,549.0
607,198,557.0
610,199,565.0
613,200,572.0
616,201,580.0
619,202,592.0
622,203,597.0
625,204,607.0
628,205,616.0
631,206,621.0
634,207,633.0
637,208,641.0
640,209,646.0
643,210,651.0
647,211,660.0
650,212,664.0
653,213,672.0
656,214,676.0
659,215,697.0
662,216,700.0
665,217,709.0
668,218,716.0
671,219,722.0
674,220,734.0
677,221,743.0
680,222,753.0
683,223,756.0
686,224,767.0
689,225,777.0
692,226,783.0
695,227,790.0
698,228,803.0
701,229,810.0
704,230,817.0
707,231,826.0
710,232,833.0
713,233,845.0
716,234,852.0
719,235,862.0
722,236,870.0
725,237,880.0
728,238,887.0
731,239,898.0
734,240,906.0
737,241,914.0
740,242,918.0
743,243,918.0
746,244,918.0
749,245,919.0
752,246,918.0
755,247,918.0
758,248,917.0
761,249,919.0
764,250,918.0
767,251,917.0
770,252,917.0
773,253,917.0
776,254,917.0
779,255,917.0
782,256,916.0
