,1,,,2
12801,248.7578888,,11128,181.7263184
12902,250.2736816,,11329,181.1368561
13102,248.421051,,11429,181.7263184
13202,248.0842133,,11630,182.0631561
13403,249.0105133,,11732,181.4736938
13503,248.5894775,,11833,181.3052521
13704,246.3999939,,12033,180.6315613
13804,246.9894562,,12135,181.3894806
14004,247.8315887,,12333,180.2105255
14105,246.6526184,,12438,180.2947235
14305,246.3999939,,12634,180.7157898
14405,245.3894806,,12739,180.8842163
14606,243.621048,,12839,180.5473633
14706,243.9578857,,13034,180.8000031
14907,243.621048,,13142,180.2105255
15007,244.5473633,,13335,178.6105194
15208,244.2947235,,13535,180.8000031
15308,245.2210541,,13735,181.0526276
15508,244.2105255,,13836,181.6420898
15609,245.3894806,,13936,184.0842133
15809,244.4631653,,14136,182.3999939
15909,245.5578918,,14237,180.2947235
16110,245.3052521,,14437,178.1894684
16210,244.378952,,14537,177.5999908
16411,244.9684143,,14739,177.6842041
16511,243.9578857,,14839,178.1052704
16712,245.1368561,,15039,177.9368286
16812,244.5473633,,15139,178.2736664
17012,245.0526276,,15239,178.5263214
17113,244.9684143,,15440,178.6947327
17049,toRight1,,15540,178.2736664
17313,245.5578918,,15841,178.0210571
17413,245.7263184,,16044,178.6947327
17614,245.5578918,,16144,178.3578949
17714,244.5473633,,16245,178.5263214
17916,245.9789429,,16546,178.7789612
18116,245.8105316,,16747,178.2736664
18216,248.421051,,16851,177.6842041
18417,247.663147,,17049,178.0210571
18517,247.0736847,,17049,toRight1
18718,247.663147,,17148,177.3473663
18818,247.9999847,,17248,177.8526306
19018,248.6736755,,17448,179.2841949
19119,247.9157867,,17548,178.3578949
19319,247.578949,,17749,179.7894897
19438,246.9052582,,17849,179.4526367
19623,247.8315887,,18049,181.4736938
19723,247.9999847,,18150,182.3999939
19924,246.5684204,,18350,183.1578979
20024,244.7157898,,18450,183.0736847
20225,239.0737,,18550,182.2315826
20327,169.0947418,,18751,181.6420898
20525,53.05262756,,18851,181.7263184
20626,199.9157867,,19051,182.9052582
20826,236.884201,,19152,182.0631561
20934,246.4842224,,19352,181.3894806
21127,248.1684265,,19452,181.5578918
21227,247.663147,,19552,181.1368561
21428,246.7368469,,19753,175.2420959
21543,247.8315887,,19853,53.13684082
21729,246.5684204,,20053,32.42105103
21833,246.1473846,,20154,127.8315887
22034,244.8000031,,20357,178.5263214
22135,245.5578918,,20457,182.3999939
22335,245.1368561,,20557,183.0736847
22436,244.8000031,,20757,183.494751
22636,245.3894806,,20859,183.1578979
22737,243.8736877,,21058,181.8947296
22937,245.3894806,,21158,182.4842224
23038,245.8947296,,21359,181.7263184
23238,246.1473846,,21459,180.8842163
23339,244.7157898,,21559,180.378952
23544,246.3157806,,21759,179.5368347
23642,245.3052521,,21860,180.6315613
23843,246.1473846,,22065,179.621048
23943,246.0631561,,22161,180.4631653
24243,245.2210541,,22362,180.8842163
24444,245.1368561,,22462,181.4736938
24544,244.042099,,22662,181.3052521
24745,245.3894806,,22762,183.3263092
24845,245.2210541,,22863,181.7263184
25045,245.1368561,,23063,181.8947296
25145,245.3894806,,23163,182.0631561
25267,toRight2,,23364,181.6420898
25370,245.1368561,,23464,180.8000031
25446,243.9578857,,23664,179.9578857
25647,245.7263184,,23764,179.7894897
25747,246.3999939,,23864,179.7052612
25948,245.8947296,,24065,180.042099
26048,246.6526184,,24165,180.1263275
26249,245.3052521,,24365,179.4526367
26366,247.578949,,24465,179.7894897
26550,247.7473755,,24666,178.7789612
26656,247.578949,,24766,180.8000031
26852,248.1684265,,24866,180.378952
27153,246.9052582,,25066,180.042099
27357,246.4842224,,25167,179.7894897
27457,242.7789612,,25267,toRight2
27657,240.0842285,,25377,179.3684235
27758,127.8315887,,25467,179.8736877
27959,68.37895203,,25668,179.621048
28083,228.6315918,,25768,181.0526276
28260,243.7052612,,25968,180.2947235
28364,248.421051,,26069,180.8842163
28561,248.5052795,,26169,181.0526276
28694,248.0842133,,26369,182.0631561
28863,248.1684265,,26469,183.8315887
28974,245.7263184,,26670,183.7473755
29167,244.9684143,,26770,183.8315887
29473,244.6315613,,26970,183.0736847
29591,245.3052521,,27070,179.7894897
29582,toRight3,,27171,159.578949
29774,245.8105316,,27371,45.89474487
29875,245.4736938,,27471,99.28421021
30078,246.5684204,,27672,177.0105286
30199,246.7368469,,27772,182.2315826
30383,246.5684204,,27972,183.9157867
30505,247.0736847,,28072,185.1789551
30689,246.7368469,,28173,184.5052795
30799,246.8210602,,28378,184.0842133
30990,248.2526245,,28483,183.578949
31090,247.3263092,,28679,183.494751
31291,247.663147,,28781,182.0631561
31391,247.8315887,,28981,181.4736938
31592,243.115799,,29081,180.2947235
31692,240,,29181,178.4421082
31893,141.2210541,,29382,179.4526367
31997,69.89474487,,29482,178.1894684
32194,226.1052551,,29582,toRight3
32307,246.5684204,,29687,179.3684235
32497,248.0842133,,29783,178.6105194
32609,247.663147,,29983,179.7894897
32799,247.8315887,,30083,179.7052612
32903,246.1473846,,30284,181.1368561
33100,245.6420898,,30384,181.5578918
33200,245.2210541,,30484,182.3157806
33401,244.042099,,30685,183.7473755
33520,244.8842163,,30785,183.4105225
33490,toRight4,,30985,182.3157806
33703,245.3052521,,31085,181.6420898
33809,245.3894806,,31286,179.7894897
34007,245.1368561,,31386,135.7473755
34107,245.9789429,,31486,36.29473877
34410,246.6526184,,31687,156.2105255
34610,247.578949,,31787,178.1894684
34710,247.0736847,,31987,183.7473755
34911,247.7473755,,32087,183.3263092
35011,249.4315796,,32288,183.578949
35212,247.8315887,,32488,183.1578979
35312,245.8947296,,32689,181.7263184
35513,241.0947418,,32798,181.5578918
35714,190.7368317,,32990,179.2841949
35814,68.63157654,,33094,179.621048
36014,223.8315735,,33290,179.3684235
36114,246.7368469,,33390,180.2105255
36315,248.5894775,,33490,toRight4
36415,247.578949,,33591,180.9684143
36716,245.9789429,,33691,179.9578857
36916,244.5473633,,33791,179.1999969
37042,245.5578918,,33991,179.8736877
37218,245.1368561,,34292,180.9684143
37331,243.3684235,,34393,181.8105316
37503,toRight5,,34594,182.2315826
37520,244.8842163,,34694,183.8315887
37631,246.1473846,,34794,182.9052582
37824,245.8105316,,34994,183.4105225
37945,246.9894562,,35096,180.8000031
38125,246.4842224,,35295,162.7789459
38225,247.3263092,,35399,45.6421051
38426,246.8210602,,35595,171.7052612
38543,246.3999939,,35701,179.1999969
38727,248.0842133,,35801,182.4842224
38833,247.4105225,,35996,183.1578979
39028,247.494751,,36103,182.9052582
39128,243.8736877,,36297,183.2421112
39329,234.1052704,,36406,182.2315826
39457,82.94737244,,36698,180.7157898
39630,230.8210449,,36798,178.1894684
39769,247.494751,,36898,179.1999969
39930,246.4842224,,37098,180.9684143
40069,246.2315826,,37198,180.042099
40231,246.3157806,,37402,180.6315613
40358,246.1473846,,37503,180.8000031
40534,244.8842163,,37503,toRight5
40665,244.5473633,,37703,179.5368347
40834,245.2210541,,37803,179.1999969
40971,244.6315613,,38003,179.7894897
41009,toRight6,,38104,181.2210541
41135,245.0526276,,38204,182.0631561
41276,245.6420898,,38404,181.8105316
41536,246.0631561,,38504,183.0736847
41743,246.6526184,,38705,183.4105225
41878,246.8210602,,38805,181.6420898
42048,247.494751,,39005,180.9684143
42181,248.0842133,,39106,158.9894714
42349,247.0736847,,39206,62.23158264
42463,248.421051,,39406,179.621048
42656,247.3263092,,39506,183.3263092
42756,245.3052521,,39707,182.2315826
42957,240.4210663,,39807,181.8947296
43058,179.5368347,,40007,181.4736938
43259,75.11579895,,40107,182.1473846
43363,233.5157776,,40208,180.378952
43566,243.7894897,,40408,180.1263275
43682,246.9052582,,40508,179.2841949
43868,245.8947296,,40709,180.1263275
44068,246.6526184,,40809,180.4631653
44190,245.6420898,,41009,179.2841949
44372,244.6315613,,41009,toRight6
44481,245.3894806,,41125,179.7894897
44776,245.9789429,,41310,177.9368286
44980,245.0526276,,41410,179.7894897
44917,toRight7,,41510,180.4631653
45093,246.4842224,,41711,181.0526276
45278,245.5578918,,41811,181.6420898
45407,245.8105316,,42011,182.4842224
45578,246.2315826,,42312,182.1473846
45678,248.0842133,,42412,183.3263092
45879,247.9157867,,42512,181.4736938
45987,248.5052795,,42713,180.042099
46184,248.8421173,,42813,109.0526428
46293,248.5052795,,43013,98.94737244
46485,245.5578918,,43114,176.9263
46598,240.7579041,,43314,183.578949
46791,155.621048,,43414,184.0842133
46891,83.957901,,43514,182.9052582
47092,235.0315857,,43715,183.8315887
47192,243.7052612,,43815,182.3999939
47393,246.8210602,,44015,182.1473846
47514,246.7368469,,44115,180.8842163
47702,246.4842224,,44316,179.8736877
47803,245.9789429,,44416,178.6105194
48004,245.3894806,,44716,177.6842041
48105,245.0526276,,44817,178.6105194
48308,244.8842163,,44917,toRight7
48408,245.1368561,,45118,179.2841949
48608,244.8000031,,45319,177.5999908
48628,toRight8,,45419,179.1999969
48710,245.2210541,,45619,179.9578857
49010,244.8000031,,45719,181.6420898
49211,245.0526276,,45823,182.0631561
49315,245.2210541,,46022,181.5578918
49512,246.7368469,,46123,181.4736938
49639,246.5684204,,46323,178.4421082
49814,247.4105225,,46423,118.6526337
49919,248.8421173,,46624,88.08421326
50115,248.5052795,,46724,176.0842285
50236,245.8947296,,46824,182.3999939
50423,244.7157898,,47024,181.5578918
50524,240.1684265,,47125,182.4842224
50723,102.1473694,,47325,181.5578918
50847,98.27368164,,47425,181.0526276
