,1,,,2
143125,243.3684235,,144757,187.7894745
143426,241.1789398,,144850,186.7789459
143526,240.5894623,,145050,189.2210693
143727,238.6526337,,145150,189.0526276
143827,240.6736908,,145351,188.3789368
144027,241.6842041,,145451,188.2105408
144128,242.5263214,,145651,188.7157745
144328,241.4315948,,145751,187.957901
144428,242.7789612,,145852,188.8842163
144629,239.6631622,,146052,188.5473785
144729,237.2210388,,146152,187.7894745
144929,239.4947357,,146352,188.5473785
145030,243.621048,,146653,188.8842163
145230,243.7052612,,146753,187.3684082
145331,243.621048,,146834,toTop1
145531,243.4526367,,146853,187.2842102
145631,241.5999908,,147054,187.705246
145831,242.6947327,,147154,188.8000031
145932,243.1999969,,147354,188.1263123
146132,243.2841949,,147455,189.1368408
146253,241.6842041,,147655,190.2315826
146433,241.5157928,,147755,189.9789429
146534,242.4421082,,147956,190.3157959
146744,240.3368378,,148056,190.6526337
146834,toTop1,,148156,190.4842072
146834,240.9263,,148357,190.8210602
147034,240.2526245,,148469,190.1473694
147138,241.5157928,,148658,191.5789642
147335,241.1789398,,148758,188.042099
147437,243.3684235,,148958,184.2526245
147635,242.7789612,,149058,114.1894836
147836,245.6420898,,149158,39.24211121
147936,246.7368469,,149359,37.55789185
148137,247.578949,,149461,37.6421051
148237,246.2315826,,149660,150.8210602
148437,239.9157715,,149760,189.2210693
148546,211.7052612,,149960,188.9684143
148738,58.86315918,,150161,188.6315765
148838,54.3157959,,150363,189.1368408
149039,115.4526367,,150463,188.5473785
149139,74.3578949,,150663,187.705246
149340,55.41052246,,150765,187.621048
149642,205.8947296,,150847,toTop2
149744,238.4000092,,150966,188.2105408
149944,243.9578857,,151267,188.1263123
150046,243.3684235,,151370,188.3789368
150345,243.8736877,,151471,190.1473694
150546,241.2631531,,151670,190.0631409
150661,240.5052643,,151771,190.3999939
150847,toTop2,,152072,190.0631409
150847,240.8421021,,152273,190.5684357
151147,241.6842041,,152373,189.7263031
151256,242.9473572,,152474,187.0315704
151448,242.5263214,,152674,174.4000092
151554,243.5368347,,152774,75.03158569
151749,245.3052521,,152975,37.05262756
151857,247.494751,,153075,38.82106018
152050,246.7368469,,153275,128.0842133
152160,241.4315948,,153375,187.705246
152350,163.8736877,,153476,190.2315826
152551,53.38948059,,153676,190.0631409
152751,83.03158569,,153776,188.8842163
152851,61.30526733,,154077,188.042099
153052,46.23158264,,154278,187.705246
153152,90.3578949,,154378,187.3684082
153353,205.2210388,,154478,188.042099
153453,237.1368408,,154464,toTop3
153653,243.5368347,,154679,188.2105408
153754,243.7052612,,154979,189.7263031
153854,243.4526367,,155083,189.1368408
153972,242.6105194,,155380,190.3999939
154163,240.0842285,,155581,191.4105225
154293,239.7473755,,155681,190.5684357
154464,238.8210602,,155782,190.9894714
154464,toTop3,,155982,190.8210602
154665,239.9157715,,156086,187.0315704
154865,240.9263,,156284,184.2526245
154965,242.3578949,,156384,78.82106018
155165,243.2841949,,156584,38.73684692
155265,243.4526367,,156685,39.15789795
155466,244.7157898,,156885,59.36842346
155566,245.7263184,,156985,190.9052734
155766,247.4105225,,157099,190.5684357
155867,238.9894714,,157288,189.8105316
156067,82.86315918,,157404,188.7157745
156167,54.40000916,,157697,188.2947388
156368,51.70526123,,157802,188.4631653
156668,50.02105713,,157975,toTop4
156869,68.46316528,,157997,188.2105408
156969,208.6736908,,158097,188.4631653
157169,235.8736725,,158298,187.705246
157269,241.1789398,,158398,189.1368408
157470,243.2841949,,158600,188.8842163
157570,242.6105194,,158700,189.7263031
157770,242.3578949,,158900,190.6526337
157871,240.5052643,,159011,190.7368317
157975,toTop4,,159104,191.1578979
158080,240.4210663,,159302,191.5789642
158172,238.4842072,,159412,191.3263092
158375,239.5789337,,159607,187.1157837
158473,241.0105286,,159703,127.9157867
158673,240.8421021,,159903,38.40000916
158774,242.8631592,,160003,39.74737549
158974,242.6105194,,160204,35.11579895
159075,244.8000031,,160304,60.80000305
159275,246.3157806,,160410,192.5894775
159375,240.7579041,,160605,189.8947449
159575,80.50526428,,160705,189.2210693
159676,52.88421631,,160906,190.1473694
159976,86.82106018,,161025,188.8842163
160177,58.69473267,,161315,188.5473785
160277,93.97895813,,161408,187.957901
160477,218.3578796,,161580,toTop5
160577,237.5578918,,161608,188.2947388
160778,243.621048,,161708,189.2210693
160878,243.4526367,,161909,188.5473785
161079,243.1999969,,162010,189.0526276
161179,242.8631592,,162209,190.3999939
161379,240.8421021,,162314,190.9052734
161480,240.6736908,,162444,190.7368317
161580,toTop5,,162617,190.8210602
161680,241.7684326,,162717,189.6421051
161780,243.0315857,,162917,143.3263092
161980,242.7789612,,163017,37.89474487
162081,242.9473572,,163218,31.24211121
162281,244.1263275,,163318,79.32632446
162381,243.9578857,,163438,184.8421173
162581,243.4526367,,163618,188.6315765
162682,156.1263123,,163732,189.2210693
162882,50.44210815,,163919,188.6315765
162982,49.93684387,,164024,189.0526276
163183,43.36842346,,164220,189.1368408
163283,42.86315918,,164339,188.7157745
163483,145.6842041,,164421,188.3789368
163584,234.6105194,,164622,188.8000031
163785,240.2526245,,164737,188.7157745
163885,243.3684235,,164922,188.2947388
164085,243.2841949,,165057,188.6315765
164386,241.5157928,,165223,189.0526276
164486,238.9894714,,165357,190.6526337
164686,238.4000092,,165488,toTop6
164787,239.0737,,165437,188.6315765
164987,239.5789337,,165624,189.8947449
165087,240.5052643,,165727,189.7263031
165287,240.5894623,,165925,188.6315765
165389,242.8631592,,166029,189.9789429
165488,toTop6,,166326,188.9684143
165588,243.621048,,166426,189.8947449
165688,242.6947327,,166627,190.9052734
165890,242.8631592,,166828,187.2842102
165989,243.115799,,167028,153.7684174
166190,243.3684235,,167129,37.22105408
166290,243.2841949,,167329,31.91578674
166490,242.2736664,,167429,31.07368469
166591,188.042099,,167630,32.33683777
166791,53.22105408,,167730,122.7789459
166991,49.09474182,,167832,185.4315796
167092,63.41052246,,168032,189.6421051
167292,51.45263672,,168132,189.8947449
167392,43.11579895,,168333,189.0526276
167592,76.63157654,,168634,188.9684143
167693,203.3684387,,168736,188.4631653
167893,234.3579102,,168835,189.2210693
167993,241.0105286,,169035,188.3789368
168194,243.2841949,,169135,188.7157745
168294,243.0315857,,169095,toTop7
168594,241.5999908,,169336,188.3789368
168795,241.0105286,,169436,188.9684143
168904,238.8210602,,169636,189.2210693
169095,toTop7,,169736,188.8000031
169095,239.8315735,,169937,189.2210693
169197,239.4947357,,170037,189.8105316
169404,238.9052582,,170137,189.1368408
169496,240.0842285,,170338,190.6526337
169696,242.6947327,,170438,189.9789429
169796,242.9473572,,170638,187.621048
169998,243.1999969,,170738,169.0947418
170098,243.115799,,170939,45.38948059
170298,243.7052612,,171039,40.16842651
170398,197.8947296,,171239,36.54736328
170599,53.30526733,,171339,40.42105103
170699,52.46316528,,171439,175.7473755
171000,78.82106018,,171640,189.7263031
171200,52.71578979,,171740,188.9684143
