diffStartTime,diffEndTime,RatioGestureTime,RatioDeepestRate,Device1Descent,Device1Ascent,Device1DiffDescentAscent,Device1DeepestRate,Device1Deepness0-10,Device1Deepness11-20,Device1Deepness21-30,Device1Deepness31-40,Device1Deepness41-50,Device1Deepness51-60,Device1Deepness61-70,Device1Deepness71-80,Device1Deepness81-90,Device1Deepness91-100,Device2Descent,Device2Ascent,Device2DiffDescentAscent,Device2DeepestRate,Device2Deepness0-10,Device2Deepness11-20,Device2Deepness21-30,Device2Deepness31-40,Device2Deepness41-50,Device2Deepness51-60,Device2Deepness61-70,Device2Deepness71-80,Device2Deepness81-90,Device2Deepness91-100,gesture
-472,-469,1.004991681,0.611111127,-2.76E-06,2.68E-06,-5.44E-06,32.42105103,0,0.2,0.2,0,0,0,0,0.2,0,0.4,-4.43E-06,4.34E-08,-4.47E-06,53.05262756,0,0,0.2,0,0,0,0,0.2,0.2,0.4,toRight
-587,-588,0.998341625,0.671182338,-2.85E-06,2.79E-06,-5.63E-06,45.89474487,0,0,0.2,0,0,0.2,0,0,0.2,0.4,-4.15E-06,4.10E-08,-4.19E-06,68.37895203,0,0,0.2,0,0,0.2,0,0,0,0.6,toRight
-406,-520,0.814634146,0.519277076,-2.33E-06,2.29E-06,-4.62E-06,36.29473877,0,0,0.2,0,0,0,0,0.2,0.2,0.4,-3.62E-06,3.58E-08,-3.66E-06,69.89474487,0,0,0.2,0,0,0.2,0,0,0,0.6,toRight
-417,-519,0.830282862,0.665030696,-2.63E-06,2.59E-06,-5.22E-06,45.6421051,0,0,0.25,0,0,0,0,0,0,0.75,-3.24E-06,3.21E-08,-3.28E-06,68.63157654,0,0,0.2,0,0,0,0,0.2,0,0.6,toRight
-324,-363,0.911363636,0.750253815,-4.00E-06,3.96E-06,-7.96E-06,62.23158264,0,0,0,0.25,0,0,0,0,0.25,0.5,-4.81E-06,4.78E-08,-4.86E-06,82.94737244,0,0,0,0.25,0,0,0,0,0,0.75,toRight
-244,-249,0.987684729,1.317264461,-5.82E-06,5.76E-06,-1.16E-05,98.94737244,0,0,0,0,0,0.25,0.25,0,0,0.5,-4.34E-06,4.29E-08,-4.38E-06,75.11579895,0,0,0,0.25,0,0,0,0.25,0,0.25,toRight
-275,-368,0.811740891,1.049147397,-4.77E-06,4.73E-06,-9.50E-06,88.08421326,0,0,0,0,0.25,0,0.25,0,0,0.5,-3.67E-06,3.64E-08,-3.71E-06,83.957901,0,0,0,0.25,0,0,0.25,0,0,0.5,toRight
-393,-392,1.002,0.465295668,-1.83E-06,1.81E-06,-3.64E-06,45.72631836,0,0,0.25,0,0,0,0,0.25,0,0.5,-3.92E-06,3.88E-08,-3.95E-06,98.27368164,0,0,0,0,0.5,0,0,0,0,0.5,toRight
-1411,-713,2.153719008,0.269138778,-2.74E-07,2.67E-07,-5.41E-07,18.94737244,0,0.090909091,0.090909091,0,0,0,0.090909091,0,0,0.727272727,-2.15E-06,2.14E-08,-2.17E-06,70.40000916,0,0,0.2,0,0.2,0,0,0,0,0.6,toRight
-421,-451,0.952531646,0.705128181,-1.46E-06,1.44E-06,-2.90E-06,50.94737244,0,0,0.2,0,0,0,0,0.2,0.2,0.4,-1.95E-06,1.94E-08,-1.97E-06,72.25263977,0,0,0.2,0,0,0,0.2,0,0,0.6,toRight
-756,-245,2.040733198,0.007017517,-1.32E-08,1.30E-08,-2.61E-08,0.842102051,0.5,0,0,0.125,0,0.125,0,0,0,0.25,-3.77E-06,3.74E-08,-3.81E-06,120,0,0,0,0,0.25,0,0,0.25,0,0.5,upRight
-745,-242,2.676666667,0.06026373,-9.82E-08,9.70E-08,-1.95E-07,5.389480591,0.4,0,0,0,0,0,0.2,0,0,0.4,-4.29E-06,4.28E-08,-4.34E-06,89.43157959,0,0,0,0.333333333,0,0,0,0,0,0.666666667,upRight
-441,-246,1.39,0.03860646,-6.77E-08,6.71E-08,-1.35E-07,3.452636719,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0.166666667,0.333333333,-2.42E-06,2.40E-08,-2.45E-06,89.43157959,0,0,0,0.25,0,0,0,0,0.25,0.25,upRight
-647,-246,2.336666667,0.060631235,-1.13E-07,1.12E-07,-2.25E-07,6.147369385,0.4,0,0,0,0,0,0,0.2,0,0.4,-4.30E-06,4.29E-08,-4.34E-06,101.3894806,0,0,0,0,0.333333333,0,0,0,0,0.333333333,upRight
-552,-354,1.392857143,0.070267094,-1.77E-07,1.75E-07,-3.52E-07,10.18946838,0.333333333,0,0,0,0,0.166666667,0,0.166666667,0,0.333333333,-3.47E-06,3.46E-08,-3.51E-06,145.0105286,0,0,0,0,0,0.25,0,0.25,0,0.5,upRight
436,-366,0.428774929,0.22977325,-1.14E-07,1.13E-07,-2.27E-07,5.978942871,0.2,0,0,0,0.2,0,0,0.2,0,0.4,-2.13E-07,2.11E-09,-2.15E-07,26.02105713,0,0.090909091,0,0,0,0.090909091,0.090909091,0,0,0.727272727,upRight
-778,-477,1.600798403,0.017996885,-2.64E-08,2.62E-08,-5.27E-08,1.936843872,0.5,0,0,0,0,0,0,0,0.166666667,0.333333333,-2.32E-06,2.32E-08,-2.35E-06,107.6210632,0,0,0,0,0.25,0,0,0,0,0.5,upRight
-585,-371,1.426294821,0.159702822,-2.10E-07,2.08E-07,-4.18E-07,14.48420715,0.166666667,0.166666667,0,0,0,0,0,0,0.166666667,0.5,-1.86E-06,1.86E-08,-1.88E-06,90.69474792,0,0,0,0.25,0,0,0,0,0.25,0.5,upRight
-484,-484,1,0.06296299,-1.97E-07,1.96E-07,-3.92E-07,10.02105713,0.25,0,0,0.25,0,0,0,0,0,0.5,-3.11E-06,3.10E-08,-3.14E-06,159.1578979,0,0,0,0,0,0,0.25,0.25,0,0.5,upRight
-489,-489,1,0.05103862,-1.36E-07,1.35E-07,-2.71E-07,7.242111206,0.25,0,0.25,0,0,0,0,0,0,0.5,-2.65E-06,2.64E-08,-2.67E-06,141.8947296,0,0,0,0,0,0.25,0,0,0.25,0.5,upRight
-792,-897,0.869888476,9.346946624,-4.81E-07,4.78E-07,-9.59E-07,38.56842041,0,0,0.166666667,0.166666667,0,0,0.166666667,0,0.166666667,0.333333333,-4.44E-08,4.43E-10,-4.49E-08,4.126312256,0.333333333,0,0,0,0.166666667,0,0,0,0.166666667,0.166666667,downRight
-818,-939,0.833103448,14.69388955,-8.39E-07,8.35E-07,-1.67E-06,60.63157654,0,0,0,0.4,0,0,0,0,0,0.6,-4.72E-08,4.72E-10,-4.77E-08,4.126312256,0.333333333,0,0,0,0,0.166666667,0,0,0.166666667,0.333333333,downRight
-665,-769,0.828099174,15.51994984,-5.19E-07,5.17E-07,-1.04E-06,32.6736908,0,0.25,0,0,0,0,0.25,0,0,0.5,-2.75E-08,2.75E-10,-2.78E-08,2.105270386,0.2,0,0,0,0,0.2,0.2,0,0,0.4,downRight
-666,-567,1.164451827,8.581824172,-4.33E-07,4.30E-07,-8.63E-07,39.74737549,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.166666667,0.333333333,-5.84E-08,5.83E-10,-5.90E-08,4.631576538,0.2,0,0,0.2,0,0,0,0.2,0,0.4,downRight
-673,-673,1,5.61290794,-5.38E-07,5.35E-07,-1.07E-06,43.957901,0,0,0.25,0,0,0,0,0,0.25,0.5,-9.53E-08,9.52E-10,-9.63E-08,7.831573486,0.2,0.2,0,0,0,0.2,0,0,0,0.4,downRight
-972,-778,1.32172471,7.333338823,-3.63E-07,3.61E-07,-7.24E-07,40.75790405,0,0,0.166666667,0.166666667,0,0,0,0,0.166666667,0.5,-6.49E-08,6.48E-10,-6.55E-08,5.557891846,0.2,0,0,0,0,0.2,0,0,0.2,0.2,downRight
-2191,-688,3.500831947,3.47692788,-6.21E-08,6.12E-08,-1.23E-07,19.03158569,0,0.125,0,0,0.0625,0,0,0,0.0625,0.75,-6.17E-08,6.16E-10,-6.23E-08,5.473678589,0.2,0,0.2,0,0.2,0,0,0,0,0.4,downRight
-495,-496,0.99833887,7.749982385,-2.57E-07,2.56E-07,-5.13E-07,23.49473572,0,0.2,0,0,0,0,0.4,0,0,0.4,-3.30E-08,3.29E-10,-3.33E-08,3.031585693,0.2,0,0,0,0,0.2,0.2,0,0,0.2,downRight
-497,-623,0.799043062,10.41861876,-4.80E-07,4.78E-07,-9.58E-07,37.72631836,0,0,0.25,0,0,0,0.25,0,0,0.5,-3.67E-08,3.66E-10,-3.71E-08,3.621047974,0.2,0,0,0,0,0,0.2,0,0,0.4,downRight
-610,-517,1.2319202,1.321228827,-4.98E-07,4.97E-07,-9.95E-07,39.83157349,0,0,0.25,0,0,0.25,0,0,0,0.5,-4.63E-07,4.62E-09,-4.68E-07,30.14736938,0,0.25,0.25,0,0,0,0,0,0,0.5,downRight
