diffStartTime,diffEndTime,RatioGestureTime,RatioDeepestRate,gesture
-472,-469,1.004991681,0.611111127,toRight
-587,-588,0.998341625,0.671182338,toRight
-406,-520,0.814634146,0.519277076,toRight
-417,-519,0.830282862,0.665030696,toRight
-324,-363,0.911363636,0.750253815,toRight
-244,-249,0.987684729,1.317264461,toRight
-275,-368,0.811740891,1.049147397,toRight
-393,-392,1.002,0.465295668,toRight
-1411,-713,2.153719008,0.269138778,toRight
-421,-451,0.952531646,0.705128181,toRight
-756,-245,2.040733198,0.007017517,upRight
-745,-242,2.676666667,0.06026373,upRight
-441,-246,1.39,0.03860646,upRight
-647,-246,2.336666667,0.060631235,upRight
-552,-354,1.392857143,0.070267094,upRight
436,-366,0.428774929,0.22977325,upRight
-778,-477,1.600798403,0.017996885,upRight
-585,-371,1.426294821,0.159702822,upRight
-484,-484,1,0.06296299,upRight
-489,-489,1,0.05103862,upRight
-792,-897,0.869888476,9.346946624,downRight
-818,-939,0.833103448,14.69388955,downRight
-665,-769,0.828099174,15.51994984,downRight
-666,-567,1.164451827,8.581824172,downRight
-673,-673,1,5.61290794,downRight
-972,-778,1.32172471,7.333338823,downRight
-2191,-688,3.500831947,3.47692788,downRight
-495,-496,0.99833887,7.749982385,downRight
-497,-623,0.799043062,10.41861876,downRight
-610,-517,1.2319202,1.321228827,downRight
474,363,0.818627451,1.109090917,toLeft
268,268,1,1.130264395,toLeft
370,282,0.824351297,1.154888789,toLeft
474,374,0.833610649,1.01170977,toLeft
473,462,0.982055465,0.736059478,toLeft
367,367,1,0.954248302,toLeft
467,-1366,0.214652956,2.56393503,toLeft
365,362,0.995041322,0.466549249,toLeft
264,564,1.748129676,0.64799145,toLeft
554,445,0.821311475,0.996354902,toLeft
1036,500,0.42796158,15.35846741,upLeft
511,207,0.498349835,5.334729091,upLeft
420,169,0.661268556,9.050361356,upLeft
601,300,0.571225071,4.399103923,upLeft
100,400,1.49833887,0.890688399,upLeft
401,296,0.826732673,4.756864036,upLeft
692,266,0.319488818,3.803571544,upLeft
571,247,0.4816,4.712643773,upLeft
341,140,0.665557404,4.168583711,upLeft
601,515,0.853492334,16.3947524,upLeft
302,602,1.993377483,0.273694327,downLeft
357,480,1.257322176,0.198910112,downLeft
363,562,1.493796526,0.04891916,downLeft
755,482,0.610556348,0.042666598,downLeft
761,754,0.988505747,0.052458933,downLeft
653,764,1.158345221,0.04388295,downLeft
552,553,1.001663894,0.057951411,downLeft
646,542,0.828099174,0.028061208,downLeft
843,840,0.995744681,0.045378093,downLeft
333,434,1.201596806,0.033879687,downLeft
521,16,0.613618975,0.691472733,toTop
314,-78,0.69682908,0.801457044,toTop
417,-184,0.538402458,0.774410801,toTop
232,-167,0.668053245,0.664012845,toTop
136,-146,0.71884347,0.728880274,toTop
338,-61,0.715609408,0.720702978,toTop
340,139,0.832917706,0.696629017,toTop
237,36,0.832917706,0.729200715,toTop
440,-463,0.437032419,1.399339673,toTop
339,-161,0.643620813,0.6516852,toTop
475,-46,0.653359947,3.470149636,upTop
658,60,0.627182045,0.912350638,upTop
752,-56,0.527761543,4.062856055,upTop
742,-158,0.501108647,4.452831221,upTop
846,44,0.555432373,5.465112016,upTop
744,40,0.561370717,2.012245296,upTop
842,-162,0.499501496,1.87640454,upTop
741,-59,0.556786704,4.940001667,upTop
841,-175,0.496531219,2.35353478,upTop
761,-54,0.548226164,5.564702623,upTop
630,-163,0.62345679,0.116666679,downTop
542,-261,0.555124654,0.14919365,downTop
238,-163,0.714183892,0.121756472,downTop
248,-98,0.741405082,0.168336667,downTop
338,-145,0.678856383,0.043032692,downTop
370,-253,0.585771277,0.157171031,downTop
558,57,0.722283814,0.095145544,downTop
358,-245,0.599069149,0.140043955,downTop
258,-50,0.764705882,0.163895613,downTop
654,-158,0.552370452,0.308943281,downTop
-144,-217,0.943975441,0.697542624,toBottom
-246,356,1.545784225,0.379585186,toBottom
-39,-236,0.803393214,0.733438451,toBottom
62,-235,0.752911814,0.734197661,toBottom
1566,-334,0.297856615,1.808580656,toBottom
-132,-436,0.747298421,0.724960311,toBottom
-42,-337,0.670758929,1.05164316,toBottom
64,-241,0.724480578,1.048484772,toBottom
-39,-541,0.582709892,0.984779084,toBottom
-142,-444,0.748960931,0.915470359,toBottom
-132,-233,0.928011404,0.021538322,upBottom
-230,-425,0.805389222,0.124203796,upBottom
-28,-242,0.789370079,0.086821701,upBottom
-130,-330,0.833748961,0.09046851,upBottom
-25,-426,0.666389351,0.088028162,upBottom
-325,-324,1.000998004,0.107142794,upBottom
-513,-415,1.057511737,0.070739507,upBottom
-317,-408,0.924543947,0.110155048,upBottom
-216,-422,0.842748092,0.067823248,upBottom
-317,-317,1,0.049423495,upBottom
84,-419,0.665558511,2.434342704,downBottom
-118,-620,0.642450142,1.812260659,downBottom
-115,781,1.593377483,1.983050301,downBottom
-128,-630,0.582709892,2.692307906,downBottom
-132,-532,0.715302491,13.26317145,downBottom
-130,-835,0.586024662,5.72499581,downBottom
-128,-523,0.768056371,4.400003294,downBottom
-118,-725,0.643779343,8.884604798,downBottom
-116,-612,0.708920188,18.60606959,downBottom
-104,-504,0.733688415,2.499999513,downBottom
