,nexus7-2012-hmurakami
4442,526.0
4442,536.0
4559,552.0
4643,568.0
4643,588.0
4743,600.0
4743,608.0
4843,620.0
4843,622.0
4944,624.0
4944,620.0
5046,616.0
5144,624.0
5244,622.0
5344,624.0
5344,620.0
5445,622.0
5445,624.0
5545,620.0
5545,626.0
5646,622.0
5745,620.0
5745,618.0
5845,622.0
5845,620.0
5951,622.0
6046,628.0
6146,626.0
6146,628.0
6246,626.0
6246,624.0
6347,620.0
6347,618.0
6447,614.0
6447,618.0
6547,626.0
6647,622.0
6647,624.0
6747,620.0
6747,622.0
6848,624.0
6848,622.0
6948,626.0
6948,622.0
7048,626.0
7048,624.0
7148,620.0
7248,618.0
7348,628.0
7449,626.0
7449,622.0
7649,624.0
7649,628.0
7749,626.0
7749,624.0
7950,628.0
8050,622.0
8150,620.0
8150,602.0
8250,584.0
8250,586.0
8350,590.0
8350,600.0
8451,586.0
8451,554.0
8551,434.0
8551,308.0
8651,286.0
8651,320.0
8752,574.0
8752,624.0
8863,628.0
8863,626.0
9152,628.0
9252,624.0
9453,626.0
9453,630.0
9553,626.0
9653,624.0
9754,622.0
9754,626.0
9954,624.0
10054,626.0
10054,620.0
10167,622.0
10255,626.0
10255,624.0
10364,628.0
10455,630.0
10455,626.0
10556,624.0
10556,622.0
10656,618.0
10756,620.0
10756,622.0
10856,616.0
10856,620.0
10956,618.0
10956,620.0
11157,618.0
11257,622.0
11257,624.0
11358,626.0
11358,624.0
11462,622.0
11462,620.0
11563,618.0
11563,616.0
11662,614.0
11758,618.0
11859,620.0
11959,624.0
12059,626.0
12059,624.0
12160,622.0
12260,618.0
12360,624.0
12460,626.0
12561,628.0
12661,630.0
12862,628.0
12862,626.0
12965,630.0
12965,626.0
13062,628.0
13162,632.0
13278,628.0
13362,630.0
13362,628.0
13463,626.0
13463,602.0
13563,512.0
13563,420.0
13663,282.0
13663,206.0
13763,204.0
13763,292.0
13863,412.0
13863,460.0
13964,554.0
13964,594.0
14064,600.0
14064,616.0
14164,620.0
14164,626.0
14265,624.0
14365,622.0
14465,624.0
14465,626.0
14565,624.0
14666,630.0
14666,626.0
14781,628.0
14866,626.0
14967,628.0
15168,626.0
15368,624.0
15468,622.0
15568,620.0
15669,616.0
15769,622.0
15869,620.0
15869,616.0
15969,618.0
16170,624.0
16270,622.0
16270,618.0
16470,616.0
16470,620.0
16571,624.0
16571,620.0
16671,616.0
16771,618.0
16871,620.0
16871,622.0
16971,620.0
16971,618.0
17072,616.0
17072,618.0
17172,620.0
17172,624.0
17272,626.0
17272,622.0
17372,620.0
17372,616.0
17479,618.0
17479,620.0
17580,622.0
17580,620.0
17679,622.0
17773,620.0
17873,618.0
17873,620.0
17973,616.0
17973,622.0
18074,626.0
18074,624.0
18374,626.0
18474,624.0
18474,626.0
18576,628.0
18576,626.0
18676,628.0
18676,630.0
18776,624.0
18776,618.0
18879,616.0
18879,620.0
18979,624.0
18979,626.0
19080,628.0
19176,630.0
19377,628.0
19377,634.0
19477,630.0
19477,634.0
19577,630.0
19577,632.0
19677,628.0
19677,622.0
19778,624.0
19778,622.0
19878,624.0
19878,630.0
19979,628.0
19979,630.0
20079,628.0
20079,622.0
20180,626.0
20280,630.0
20280,628.0
20382,624.0
20482,622.0
20482,624.0
20582,620.0
20682,622.0
20682,618.0
20798,620.0
20885,618.0
20983,630.0
20983,628.0
21083,630.0
21083,626.0
21183,628.0
21183,626.0
21283,624.0
21283,620.0
21384,618.0
21484,620.0
21584,618.0
21584,620.0
21684,624.0
21684,626.0
21784,624.0
21784,626.0
21885,622.0
22085,618.0
22185,620.0
22386,616.0


