,nexus7-2012-hmurakami
218323,634.0
218323,632.0
218421,630.0
218421,628.0
218621,630.0
218722,628.0
218822,630.0
218822,632.0
218931,636.0
219022,632.0
219223,636.0
219323,634.0
219323,630.0
219423,628.0
219523,626.0
219523,628.0
219623,630.0
219623,634.0
219724,632.0
219824,630.0
219824,628.0
220024,630.0
220024,634.0
220125,636.0
220125,638.0
220232,636.0
220232,634.0
220331,632.0
220437,634.0
220531,632.0
220625,636.0
220625,634.0
220726,630.0
220726,634.0
220826,632.0
220826,630.0
220926,628.0
220926,632.0
221026,634.0
221226,632.0
221327,638.0
221327,636.0
221427,638.0
221427,636.0
221527,634.0
221527,628.0
221627,630.0
221672,toRight1
221734,634.0
221734,630.0
221834,628.0
222028,630.0
222128,632.0
222128,636.0
222329,634.0
222329,636.0
222429,638.0
222529,640.0
222630,638.0
222630,640.0
222731,638.0
222731,636.0
222833,634.0
222933,630.0
223033,628.0
223033,618.0
223136,616.0
223136,614.0
223236,590.0
223236,556.0
223336,434.0
223336,306.0
223437,240.0
223437,230.0
223548,356.0
223548,490.0
223648,578.0
223737,632.0
223737,626.0
223837,628.0
223837,632.0
223937,636.0
224038,638.0
224338,636.0
224438,632.0
224539,636.0
224639,634.0
224739,632.0
224840,630.0
224840,628.0
225040,630.0
225040,632.0
225148,634.0
225282,toLeft1
225341,632.0
225441,626.0
225441,628.0
225642,632.0
225642,634.0
225842,636.0
225842,642.0
225945,638.0
225945,636.0
226050,634.0
226050,636.0
226150,632.0
226250,630.0
226343,632.0
226443,634.0
226443,638.0
226543,636.0
226643,630.0
226643,578.0
226744,470.0
226744,362.0
226844,248.0
226844,208.0
226944,230.0
226944,314.0
227044,418.0
227044,484.0
227144,554.0
227144,590.0
227245,612.0
227245,630.0
227349,636.0
227445,640.0
227445,638.0
227645,634.0
227645,630.0
227749,632.0
227846,630.0
227946,634.0
228047,630.0
228147,632.0
228247,634.0
228247,636.0
228348,638.0
228448,632.0
228448,630.0
228549,628.0
228649,626.0
228749,628.0
228749,632.0
228850,636.0
228850,634.0
228950,636.0
228950,638.0

