,nexus7-2013-haida
219667,208.3368377685547
219867,208.67369079589844
219968,209.09474182128906
220168,209.17893981933594
220268,208.16842651367188
220469,208.92630004882813
220569,209.09474182128906
220769,208.84210205078125
220870,208.67369079589844
221070,208.84210205078125
221170,209.26315307617188
221371,209.17893981933594
221471,208.50526428222656
221672,toRight1
221672,208.0
221772,208.75790405273438
222072,209.09474182128906
222273,207.83157348632813
222375,208.75790405273438
222573,208.3368377685547
222678,208.84210205078125
222874,202.18946838378906
222980,179.53683471679688
223175,80.33685302734375
223281,185.178955078125
223475,208.75790405273438
223585,207.915771484375
223776,208.4210662841797
223889,208.92630004882813
224076,207.915771484375
224191,208.50526428222656
224377,208.75790405273438
224493,209.3473663330078
224678,208.25262451171875
224803,208.67369079589844
225082,208.084228515625
225282,toLeft1
225282,209.17893981933594
225482,208.50526428222656
225606,208.16842651367188
225783,209.4315948486328
225983,208.58946228027344
226184,208.3368377685547
226284,207.83157348632813
226484,208.16842651367188
226585,208.25262451171875
226785,209.3473663330078
226885,209.01052856445313
227086,99.53684997558594
227186,71.49473571777344
227386,202.52630615234375
227487,207.6631622314453
227687,208.4210662841797
227787,208.25262451171875
227988,209.3473663330078
228088,208.58946228027344
228289,208.75790405273438
228389,209.17893981933594
228590,209.4315948486328
228690,208.75790405273438
228891,208.25262451171875
228991,209.59999084472656

