,nexus7-2013-haida
204980,247.91578674316406
6800,247.99998474121094
7000,249.178955078125
7108,247.74737548828125
7301,247.99998474121094
7401,249.178955078125
7602,248.25262451171875
7902,248.08421325683594
8003,248.25262451171875
8203,247.8315887451172
8309,247.99998474121094
8504,247.66314697265625
8604,247.4105224609375
8804,247.8315887451172
8913,248.3368377685547
9105,247.8315887451172
9205,248.50527954101562
9406,249.01051330566406
9517,247.99998474121094
9706,248.3368377685547
9809,248.25262451171875
10007,247.0736846923828
10142,248.16842651367188
10308,247.8315887451172
10422,247.57894897460938
10611,247.91578674316406
10732,247.66314697265625
10911,248.3368377685547
11028,248.9263153076172
11213,247.8315887451172
11317,247.99998474121094
11514,247.4105224609375
11641,247.2421112060547
11816,248.16842651367188
11938,248.67367553710938
12117,247.74737548828125
12238,248.67367553710938
12418,248.16842651367188
12528,247.91578674316406
12718,248.16842651367188
13020,247.4105224609375
13126,248.3368377685547
13322,245.47369384765625
13428,240.25262451171875
13625,239.15789794921875
13735,208.50526428222656
13927,48.0
14227,232.1684112548828
14428,247.8315887451172
14628,247.99998474121094
14729,249.178955078125
14929,247.91578674316406
15231,247.32630920410156
15331,249.5157928466797
15532,248.42105102539062
15632,248.16842651367188
15835,249.01051330566406
15935,248.08421325683594
16135,247.4947509765625
16437,247.99998474121094
16537,247.91578674316406
16737,247.0736846923828
16938,247.74737548828125
17039,248.3368377685547
17347,248.7578887939453
17548,247.8315887451172
17648,248.50527954101562
17848,249.178955078125
17948,248.16842651367188
18149,247.99998474121094
18449,247.15789794921875
18550,246.9894561767578
18750,247.4947509765625
18851,241.59999084472656
19051,238.98947143554688
19151,223.32630920410156
19351,70.73684692382812
19452,77.47369384765625
19652,221.1368408203125
19753,246.73684692382812
19953,247.8315887451172
20053,246.73684692382812
20254,247.0736846923828
20354,246.48422241210938
20554,247.74737548828125
20655,248.08421325683594
20855,247.4947509765625
20955,246.9894561767578
21156,247.8315887451172
21259,247.57894897460938
21459,247.4105224609375
21766,247.66314697265625
21865,248.3368377685547
22065,247.91578674316406
22165,248.08421325683594
22366,247.99998474121094
22466,247.2421112060547
22667,248.5894775390625
22768,248.42105102539062
22968,247.4105224609375
23076,244.46316528320312
23270,244.63156127929688
23370,247.32630920410156
23570,247.4947509765625
23671,247.57894897460938
23871,246.90525817871094
23971,245.8947296142578
24172,245.13685607910156
24272,221.1368408203125
24473,164.8000030517578
24575,106.02105712890625
24774,67.45263671875
24874,145.17893981933594
25075,232.1684112548828
25175,247.74737548828125
25375,248.42105102539062
25476,247.4105224609375
25676,248.08421325683594
25776,247.99998474121094
25977,248.08421325683594
26077,247.66314697265625
26282,249.34735107421875
26378,248.16842651367188
26578,248.3368377685547
26678,247.91578674316406
26879,248.16842651367188
26980,247.74737548828125
27180,246.9894561767578
27290,248.3368377685547
27481,249.5157928466797
27581,247.57894897460938
27788,248.08421325683594
27982,247.2421112060547
28082,248.3368377685547
28291,247.2421112060547
28385,247.15789794921875
28585,247.57894897460938
28685,248.16842651367188
28886,247.66314697265625
29186,248.25262451171875
29290,248.8421173095703
29487,247.32630920410156
29587,248.3368377685547
29788,248.25262451171875
29888,247.91578674316406
30089,248.42105102539062
30190,248.50527954101562
30390,247.74737548828125
30491,248.3368377685547
30691,249.01051330566406
30808,248.08421325683594
30991,247.91578674316406
31092,249.09474182128906
31316,248.3368377685547
31393,247.57894897460938
31593,249.5157928466797
31695,248.42105102539062
31896,248.3368377685547
31998,247.91578674316406
32199,248.08421325683594
32501,248.42105102539062
32602,247.91578674316406
32802,248.3368377685547
32908,247.32630920410156
33103,248.42105102539062
33205,248.3368377685547
33407,248.50527954101562
33509,249.09474182128906
33710,248.3368377685547
33815,247.66314697265625
34012,247.74737548828125
34115,247.91578674316406
34317,248.25262451171875
34417,248.42105102539062
34619,247.8315887451172
34720,247.99998474121094
34921,248.16842651367188
35023,248.42105102539062
35221,247.91578674316406
35322,249.178955078125
35524,248.08421325683594
35624,247.74737548828125
35825,248.3368377685547
35943,247.66314697265625
36126,249.6842041015625
36226,248.08421325683594
36430,248.9263153076172
36533,247.91578674316406
36735,247.99998474121094
36835,249.26315307617188
37036,247.91578674316406
37138,248.9263153076172
37339,246.90525817871094
37444,247.8315887451172
37641,248.42105102539062
37742,249.178955078125
37943,248.50527954101562
38044,247.99998474121094
38245,249.01051330566406
38348,247.74737548828125
38548,247.66314697265625
38652,247.4105224609375
38850,247.99998474121094
38952,247.0736846923828
39150,247.66314697265625
39254,247.8315887451172
39455,247.91578674316406
39656,247.8315887451172
39759,247.66314697265625
39959,248.50527954101562
40060,248.42105102539062
40261,247.66314697265625
40364,246.9894561767578
40564,247.8315887451172
40666,248.16842651367188
40866,247.74737548828125
40968,247.2421112060547
41169,247.4105224609375
41269,247.2421112060547

