,nexus7-2013-amiyoshi
38755,186.3578796
38855,191.4947357
39056,188.7157745
39156,186.3578796
39359,191.4105225
39457,189.9789429
39657,185.4315796
39757,190.7368317
39857,192.1684265
40058,187.53685
40158,190.0631409
40358,192.7578888
40458,187.7894745
40659,188.7157745
40759,192.9263306
40859,187.4526367
41059,188.3789368
41160,192.7578888
41360,188.1263123
41460,187.7894745
41660,193.0947266
41766,190.0631409
41861,187.1157837
42061,192.8421021
42162,189.9789429
42363,186.6105194
42467,191.7473602
42665,190.8210602
42769,187.2000122
42967,190.5684357
43070,192.4210358
43168,186.6947327
43369,190.9052734
43469,192.3368378
43670,188.1263123
43771,188.8842163
43974,193.0105286
44074,188.8842163
44174,188.9684143
44375,193.8526306
44476,189.7263031
44676,188.5473785
44778,194.7789307
44980,191.2421112
45081,189.1368408
45181,193.3473663
45382,192.4210358
45482,188.2947388
45683,191.4947357
45787,192.5052643
45987,185.5157928
46087,186.3578796
46288,180.5473633
46392,86.3157959
46488,68.63157654
46689,167.578949
46792,183.9999847
46992,186.9473724
47092,192
47296,187.957901
47399,187.2000122
47496,191.8315735
47697,189.2210693
47798,186.4421082
47998,191.0736694
48102,191.3263092
48302,187.2000122
48404,191.915802
48502,193.1789398
48703,188.2105408
48807,191.2421112
49007,194.5263214
49107,188.6315765
49307,190.3999939
49412,194.1894684
49508,188.8842163
49709,190.0631409
49809,193.8526306
50010,189.2210693
50118,184.9263153
50310,187.4526367
50411,120.9263153
50611,41.01052856
50718,129.2631531
50819,182.3157806
51015,185.3473511
51120,190.8210602
51316,192
51426,187.0315704
51617,189.2210693
51724,192.4210358
51824,187.2000122
52021,188.3789368
52126,192.5052643
52322,189.9789429
52432,188.1263123
52625,193.2631683
52730,192.3368378
52831,189.2210693
53029,193.3473663
53329,188.8000031
53438,192.1684265
53631,195.5368347
53736,190.0631409
53840,190.2315826
54040,195.0315857
54142,189.9789429
54342,189.8105316
54447,193.6000061
54643,190.3999939
54746,184.421051
54946,188.6315765
55048,186.6105194
55149,107.4526367
55349,79.91578674
55453,138.1894684
55649,181.3052521
55750,187.621048
55951,193.7684174
56055,189.8105316
56154,188.2105408
56356,192.8421021
56459,188.6315765
56656,187.2000122
56760,192.3368378
56960,191.3263092
57067,187.957901
57161,192.5052643
57361,193.2631683
57461,189.6421051
57662,193.1789398
57767,195.8736877
57965,189.8947449
58067,191.1578979
58166,195.8736877
58366,190.3157959
58476,190.1473694
58667,194.5263214
58770,190.3157959
58968,189.2210693
59071,193.9368591
59268,189.6421051
59373,184.0842133
59482,173.9789429
59669,84.63157654
59776,67.53684998
59970,161.1789398
60079,190.8210602
60272,187.2000122
60380,190.8210602
60487,194.9473724
60674,188.6315765
60787,189.0526276
60977,193.0105286
61089,189.2210693
61279,188.3789368
61387,192.8421021
61494,191.3263092
61680,189.1368408
61790,194.5263214
61986,194.2736969
62092,189.8947449
62288,194.0210571
62393,195.7052612
62502,190.3999939
62689,192.4210358
62796,195.0315857
62991,189.2210693
63095,190.6526337
63300,195.5368347
63401,188.8000031
63603,185.6842041
63703,178.1052704
63805,88.33685303
64005,90.69474792
64106,174.2315674
64306,188.5473785
64407,188.2947388
64607,192.2526398
64709,193.2631683
64810,186.9473724
65008,190.8210602
65111,192.3368378
65308,187.4526367
65413,188.5473785
65612,192.4210358
65712,188.1263123
65816,187.621048
66013,193.0105286
66128,189.0526276
66314,187.705246
66421,191.7473602
66617,190.5684357
66718,187.3684082
66918,192.4210358
67029,192.5052643
67122,187.53685
67322,191.4947357
67427,193.9368591
67624,187.2000122
67729,189.9789429
67925,193.3473663
68038,189.1368408
68134,188.2105408
68328,193.3473663
68436,191.2421112
68632,188.1263123
68738,192.5894775
68933,192.084198
69044,188.2947388
69141,191.8315735
69336,193.7684174
69460,187.7894745
69637,190.1473694
69758,194.1894684
69938,189.7263031
70138,193.7684174
70339,191.4105225
70467,188.6315765
70640,193.0947266
70765,186.3578796
70941,97.6000061
71069,138.1052704
71169,152.3368378
71342,181.2210541
71459,189.2210693
71644,191.7473602
71776,187.2842102
71945,187.957901
72047,192.3368378
72245,189.7263031
72379,187.1157837
72480,192.1684265
72648,190.0631409
72782,187.2842102
72949,191.4105225
73054,193.6000061
73251,189.1368408
73386,191.2421112
73487,193.8526306
73654,189.6421051
73789,190.1473694
73954,194.8631592
74061,191.5789642
74257,188.7157745
74393,193.3473663
74494,186.8631744
74661,114.7789459
74792,137.9368439
74962,154.9473724
75083,181.3894806
75263,189.1368408
75396,191.4105225
75497,188.042099
75667,188.7157745
75799,193.0947266
75968,189.6421051
76073,187.3684082
76270,191.6631622
76400,191.4947357
76571,188.1263123
76674,192.5052643
76775,193.6842041
76973,190.2315826
77085,191.3263092
77275,195.0315857
77475,188.8000031
77675,188.7157745
77776,194.3578949
77876,190.3157959
78077,183.3263092
78177,107.3684235
78378,145.1789398
78478,147.4526367
78679,180.8000031
78779,191.4947357
78879,186.8631744
79080,188.6315765
79180,193.6842041
79381,188.8000031
79481,188.2105408
79682,192.6736908
79782,191.1578979
79982,189.6421051
80083,193.5157928
80183,193.7684174
80383,188.6315765
80483,192.4210358
80684,194.4420929
80784,189.1368408
80984,190.5684357
81087,194.3578949
81187,190.1473694
81387,131.4526367
81487,120.6736908
81688,177.9368286
81788,184.2526245
81988,188.1263123
82094,190.4842072
82192,186.3578796
82393,189.8947449
82494,193.6000061
82696,189.8105316
82797,187.2842102
82997,192.8421021
83100,191.915802
83199,188.2947388
83400,192.2526398
83500,194.9473724
83700,189.7263031
83801,188.7157745
84001,194.6105347
84109,190.3157959
84202,188.042099
84402,194.0210571
84503,188.3789368
84703,107.0315857
84804,149.6421051
85004,189.7263031
85105,185.1789551
85305,187.2000122
85405,190.8210602
85505,186.2736816
85706,188.1263123
85806,192.3368378
86007,190.1473694
86109,186.8631744
86308,192.2526398
86408,190.5684357
86508,186.8631744
86709,190.1473694
86809,191.7473602
87010,186.2736816
87117,188.3789368
87311,192.5894775
87411,189.1368408
87511,188.8000031
87712,193.4315643
87812,189.2210693
88012,188.5473785
88113,191.8315735
88313,190.3999939
88415,185.8526459
88626,152.7578888
88715,37.6421051
88816,23.07368469
89016,18.86315918
89130,11.11578369
89317,9.263153076
89418,7.831573486
89635,6.147369385
89718,23.24211121
89919,163.2842102
90019,188.4631653
90136,182.9052582
90319,186.5263214
90420,193.7684174
90641,190.8210602
90720,190.2315826
90820,194.5263214
91021,191.1578979
91133,188.8842163
91321,193.0947266
91421,191.0736694
91622,186.8631744
91722,190.8210602
91822,191.4105225
92023,186.3578796
92137,190.0631409
92328,192.5052643
92429,186.3578796
92636,187.705246
92731,180.9684143
92932,86.06315613
93033,23.57894897
93144,17.26315308
93336,13.13684082
93437,11.45263672
93645,8.757888794
93739,23.83157349
93939,180.5473633
94040,188.5473785
94150,189.8105316
94341,187.8736877
94441,193.0947266
94650,193.7684174
94745,188.9684143
94945,193.4315643
95047,196.46315
95156,188.2105408
95347,190.4842072
95448,192.4210358
95650,187.4526367
95752,187.705246
95952,192.7578888
96054,187.3684082
96163,147.0315857
96355,69.81053162
96457,15.91578674
96657,9.010528564
96759,6.736846924
96959,6.231582642
97066,5.894729614
97261,5.473678589
97361,31.74737549
97461,199.7473755
97662,185.6842041
97766,191.7473602
97966,189.1368408
98066,189.8105316
98267,194.3578949
98369,191.4947357
98470,189.9789429
98671,194.2736969
98771,191.5789642
98971,188.3789368
99071,191.1578979
99272,192
99376,186.4421082
99476,189.2210693
99677,188.8000031
99778,159.2421112
99979,105.2631683
100081,21.22105408
100281,9.43157959
100381,7.663162231
100581,6.063156128
100682,4.884216309
100985,187.957901
101085,191.6631622
101286,189.1368408
101386,192.9263306
101489,194.6105347
101691,189.0526276
101792,191.2421112
101993,194.5263214
102098,187.957901
102297,187.8736877
102397,191.8315735
102598,188.3789368
102709,186.5263214
102800,190.4842072
103000,164.2947388
103101,45.22105408
103301,7.410522461
103403,7.242111206
103604,6.821060181
103714,17.01052856
103906,170.1894684
104007,184.6736755
104108,188.1263123
104311,193.7684174
104409,190.5684357
104610,189.1368408
104720,194.0210571
104811,192.5052643
105011,189.8947449
105111,192.1684265
105315,191.2421112
105417,185.0947418
105618,188.6315765
105720,195.0315857
105820,190.7368317
106021,191.4947357
106121,195.2842255
106323,192.2526398
106424,190.7368317
106625,194.4420929
106727,192.6736908
106927,188.8842163
107028,192.1684265
107129,193.8526306
107329,188.7157745
107430,190.3157959
107631,193.0947266
107734,190.1473694
107933,188.042099
108034,193.2631683
108135,190.7368317
108335,187.1157837
108435,191.2421112
108636,191.4947357
108736,186.3578796
108937,189.8947449
109037,191.1578979
109137,187.7894745
109337,186.3578796
109437,189.8947449
109638,143.1578979
