,nexus7-2013-amiyoshi
38755,186.35787963867188
38855,191.49473571777344
39056,188.7157745361328
39156,186.35787963867188
39359,191.4105224609375
39457,189.97894287109375
39657,185.43157958984375
39757,190.73683166503906
39857,192.16842651367188
40058,187.53684997558594
40158,190.06314086914062
40358,192.7578887939453
40458,187.7894744873047
40659,188.7157745361328
40759,192.92633056640625
40859,187.45263671875
41059,188.37893676757812
41160,192.7578887939453
41360,188.12631225585938
41460,187.7894744873047
41660,193.0947265625
41766,190.06314086914062
41861,187.11578369140625
42061,192.84210205078125
42162,189.97894287109375
42363,186.6105194091797
42467,191.7473602294922
42665,190.82106018066406
42769,187.20001220703125
42967,190.5684356689453
43070,192.42103576660156
43168,186.69473266601562
43369,190.9052734375
43469,192.3368377685547
43670,188.12631225585938
43771,188.88421630859375
43974,193.01052856445312
44074,188.88421630859375
44174,188.96841430664062
44375,193.85263061523438
44476,189.72630310058594
44676,188.54737854003906
44778,194.7789306640625
44980,191.2421112060547
45081,189.1368408203125
45181,193.3473663330078
45382,192.42103576660156
45482,188.29473876953125
45683,191.49473571777344
45787,192.50526428222656
45987,185.5157928466797
46087,186.35787963867188
46288,180.54736328125
46392,86.3157958984375
46488,68.63157653808594
46689,167.57894897460938
46792,183.99998474121094
46992,186.94737243652344
47092,192.0
47296,187.95790100097656
47399,187.20001220703125
47496,191.83157348632812
47697,189.2210693359375
47798,186.44210815429688
47998,191.07366943359375
48102,191.32630920410156
48302,187.20001220703125
48404,191.91580200195312
48502,193.17893981933594
48703,188.21054077148438
48807,191.2421112060547
49007,194.5263214111328
49107,188.63157653808594
49307,190.39999389648438
49412,194.18946838378906
49508,188.88421630859375
49709,190.06314086914062
49809,193.85263061523438
50010,189.2210693359375
50118,184.9263153076172
50310,187.45263671875
50411,120.92631530761719
50611,41.010528564453125
50718,129.26315307617188
50819,182.31578063964844
51015,185.34735107421875
51120,190.82106018066406
51316,192.0
51426,187.0315704345703
51617,189.2210693359375
51724,192.42103576660156
51824,187.20001220703125
52021,188.37893676757812
52126,192.50526428222656
52322,189.97894287109375
52432,188.12631225585938
52625,193.26316833496094
