,nexus7-2013-haida
39043,252.63157653808594
39228,256.2526550292969
39334,252.21054077148438
39529,251.53684997558594
39630,251.368408203125
39829,256.5052490234375
39934,258.02105712890625
40130,252.21054077148438
40236,251.368408203125
40430,258.02105712890625
40631,258.4421081542969
40741,253.30526733398438
40931,250.77894592285156
41032,257.6842041015625
41332,252.04209899902344
41533,250.86317443847656
41634,256.5894775390625
41834,258.61053466796875
41935,252.88421630859375
42135,251.28421020507812
42238,256.4210510253906
42436,256.5894775390625
42579,251.20001220703125
42741,248.67367553710938
42844,251.0315704345703
43042,253.30526733398438
43147,251.7052459716797
43350,249.26315307617188
43450,248.25262451171875
43651,252.7157745361328
43789,253.89474487304688
43952,247.4947509765625
44054,245.726318359375
44253,250.35787963867188
44380,251.368408203125
44554,244.88421630859375
44688,243.9578857421875
44855,245.8947296142578
44962,248.5894775390625
45156,247.74737548828125
45265,238.73684692382812
45456,232.9263153076172
45566,238.90525817871094
45758,119.66316223144531
45892,54.90525817871094
46059,208.16842651367188
46174,246.39999389648438
46360,254.23158264160156
46464,250.6105194091797
46763,250.77894592285156
46763,253.64210510253906
46964,256.2526550292969
47166,254.9052734375
47365,250.69473266601562
47466,251.20001220703125
47666,255.7473602294922
47766,258.1052551269531
47967,249.26315307617188
48068,249.09474182128906
48168,254.39999389648438
48373,251.95790100097656
48574,245.8947296142578
48774,245.22105407714844
48874,247.74737548828125
49075,249.178955078125
49175,247.4947509765625
49282,243.9578857421875
49386,243.03158569335938
49584,238.4842071533203
49686,239.915771484375
49886,195.11578369140625
50004,58.52632141113281
50186,186.86317443847656
50387,249.43157958984375
50591,247.91578674316406
50691,247.74737548828125
50890,253.38946533203125
50890,256.0
51193,251.53684997558594
51292,251.11578369140625
51493,250.77894592285156
51594,254.4842071533203
51795,254.6526336669922
51895,250.18948364257812
52096,249.5157928466797
52196,254.9052734375
52498,247.74737548828125
52698,244.8000030517578
52799,249.26315307617188
52999,249.09474182128906
53100,244.71578979492188
53301,243.45263671875
53401,245.13685607910156
53602,247.8315887451172
53903,243.70526123046875
54003,239.6631622314453
54204,238.4842071533203
54305,241.26315307617188
54505,231.6631622314453
54606,97.178955078125
54806,120.92631530761719
54906,209.3473663330078
55107,241.17893981933594
55208,245.3052520751953
55408,248.42105102539062
55509,251.11578369140625
55709,250.69473266601562
55809,247.4105224609375
56010,246.65261840820312
56210,251.0315704345703
56311,253.5579071044922
56511,249.43157958984375
56611,249.01051330566406
56812,253.89474487304688
56912,254.39999389648438
57113,247.2421112060547
57213,245.3052520751953
57413,248.67367553710938
57514,248.9263153076172
57714,242.8631591796875
