,nexus7-2013-amiyoshi
8344,182.3999939
8543,181.6420898
8643,178.1894684
8844,181.7263184
8944,183.9157867
9144,177.8526306
9245,181.1368561
9345,184.6736755
9545,178.6947327
9645,181.0526276
9846,184.421051
9946,180.378952
10146,180.2105255
10247,183.8315887
10347,180.5473633
10547,178.1894684
10647,183.7473755
10848,181.6420898
10948,179.1999969
11148,182.9052582
11248,182.2315826
11349,179.1999969
11562,182.4842224
11650,184.5052795
11851,178.6947327
11951,181.3052521
12151,184.5052795
12251,179.4526367
12452,179.5368347
12552,183.9999847
12653,178.7789612
12853,177.8526306
12954,181.8947296
13154,178.6105194
13260,175.9157715
13455,178.6105194
13555,177.9368286
13655,174.8210602
13856,179.7052612
13956,180.2947235
14158,174.9894714
14267,177.7684326
14458,180.6315613
14559,176.2526245
14660,177.6842041
14860,180.6315613
14962,177.4315948
15162,176.4210663
15271,180.1263275
15464,177.6842041
15566,174.7368469
15666,180.6315613
15867,180.4631653
15969,175.3263092
16169,178.6947327
16280,178.1894684
16470,92.96842957
16573,57.51579285
16781,40.16842651
16875,185.3473511
16976,176.2526245
17177,181.6420898
17286,177.4315948
17478,176.1684265
17580,180.2947235
17788,178.1894684
17881,175.1578979
17982,180.4631653
18183,181.0526276
18293,177.3473663
18485,181.2210541
18587,182.3157806
18794,178.1894684
18887,180.1263275
18987,181.8947296
19188,177.4315948
19296,176.9263
19492,180.7157898
19594,176.5052643
19794,115.115799
19894,51.19999695
20094,51.70526123
20194,31.74737549
20495,178.6105194
20600,174.3157959
20796,177.5157928
20896,181.3894806
20997,176.1684265
21197,179.3684235
21322,182.4842224
21498,179.5368347
21599,178.5263214
21817,183.1578979
21899,179.1999969
22100,176.8421021
22200,181.3052521
22322,178.6105194
22501,176.2526245
22602,180.4631653
22823,179.4526367
22902,171.957901
23103,96.92631531
23203,27.19999695
23404,16.58947754
23504,16.25263977
23830,175.3263092
23908,176
24106,181.4736938
24206,178.5263214
24311,177.0947418
24508,181.8105316
24608,179.8736877
24809,176.9263
24918,181.1368561
25110,180.2947235
25215,174.8210602
25315,178.3578949
25511,181.0526276
25637,176.8421021
25814,177.8526306
25914,181.7263184
26115,176.5894623
26215,176.4210663
26324,85.72631836
26517,6.063156128
26617,4.29473877
26817,19.87368774
26929,158.8210602
27119,174.9052582
27231,179.4526367
27421,179.5368347
27532,175.3263092
27633,177.5999908
27824,181.0526276
27934,175.3263092
28125,176.1684265
28237,181.0526276
28428,177.8526306
28536,176.3368378
28640,181.3894806
28833,178.6947327
28936,176.1684265
29134,179.5368347
29244,167.8315735
29437,23.41052246
29545,13.05262756
29738,19.78947449
29938,174.1473694
30139,180.2105255
30247,175.8315735
30440,176.8421021
30547,180.6315613
30649,177.5999908
30840,176.3368378
30940,183.1578979
31142,180.2947235
31243,177.3473663
31447,181.3052521
31562,181.3894806
31659,176.8421021
31852,181.2210541
31954,183.663147
32158,178.2736664
32267,181.8105316
32459,184.0842133
32566,179.7052612
32760,180.378952
32868,184.3368378
32974,180.4631653
33163,179.621048
33273,184.1684265
33465,180.8842163
33575,178.7789612
33766,183.9157867
33876,180.8842163
33980,177.0105286
34167,179.8736877
34277,179.9578857
34470,175.8315735
34571,178.6947327
34772,181.1368561
34878,175.4105377
34989,177.6842041
35175,180.1263275
35286,176.6736908
35478,176.4210663
35588,180.2105255
35781,177.2631531
35882,175.3263092
35982,132.8000031
36182,73.17895508
36282,64
36483,59.87368774
36597,69.30526733
36788,158.3999939
36897,177.8526306
36997,180.4631653
37189,175.2420959
37300,179.5368347
37492,180.7157898
