,nexus7-2013-amiyoshi
8344,182.39999389648438
8543,181.64208984375
8643,178.18946838378906
8844,181.726318359375
8944,183.91578674316406
9144,177.85263061523438
9245,181.13685607910156
9345,184.67367553710938
9545,178.69473266601562
9645,181.05262756347656
9846,184.42105102539062
9946,180.3789520263672
10146,180.2105255126953
10247,183.8315887451172
10347,180.54736328125
10547,178.18946838378906
10647,183.74737548828125
10848,181.64208984375
10948,179.1999969482422
11148,182.90525817871094
11248,182.23158264160156
11349,179.1999969482422
11562,182.48422241210938
11650,184.50527954101562
11851,178.69473266601562
11951,181.3052520751953
12151,184.50527954101562
12251,179.45263671875
12452,179.53683471679688
12552,183.99998474121094
12653,178.77896118164062
12853,177.85263061523438
12954,181.8947296142578
13154,178.6105194091797
13260,175.915771484375
13455,178.6105194091797
13555,177.93682861328125
13655,174.82106018066406
13856,179.70526123046875
13956,180.2947235107422
14158,174.98947143554688
14267,177.7684326171875
14458,180.63156127929688
14559,176.25262451171875
14660,177.6842041015625
14860,180.63156127929688
14962,177.4315948486328
15162,176.4210662841797
15271,180.12632751464844
15464,177.6842041015625
15566,174.73684692382812
15666,180.63156127929688
15867,180.46316528320312
15969,175.32630920410156
16169,178.69473266601562
16280,178.18946838378906
16470,92.96842956542969
16573,57.51579284667969
16781,40.168426513671875
16875,185.34735107421875
16976,176.25262451171875
17177,181.64208984375
17286,177.4315948486328
17478,176.16842651367188
17580,180.2947235107422
17788,178.18946838378906
17881,175.15789794921875
17982,180.46316528320312
18183,181.05262756347656
18293,177.3473663330078
18485,181.22105407714844
18587,182.31578063964844
18794,178.18946838378906
18887,180.12632751464844
18987,181.8947296142578
19188,177.4315948486328
19296,176.92630004882812
19492,180.71578979492188
19594,176.50526428222656
19794,115.11579895019531
19894,51.19999694824219
20094,51.70526123046875
20194,31.74737548828125
20495,178.6105194091797
20600,174.3157958984375
20796,177.5157928466797
20896,181.3894805908203
20997,176.16842651367188
21197,179.36842346191406
21322,182.48422241210938
21498,179.53683471679688
21599,178.5263214111328
21817,183.15789794921875
21899,179.1999969482422
22100,176.84210205078125
22200,181.3052520751953
22322,178.6105194091797
22501,176.25262451171875
22602,180.46316528320312
22823,179.45263671875
22902,171.95790100097656
23103,96.92631530761719
23203,27.199996948242188
23404,16.5894775390625
23504,16.252639770507812
23830,175.32630920410156
23908,176.0
24106,181.47369384765625
24206,178.5263214111328
24311,177.09474182128906
24508,181.81053161621094
24608,179.87368774414062
24809,176.92630004882812
24918,181.13685607910156
25110,180.2947235107422
25215,174.82106018066406
25315,178.35789489746094
25511,181.05262756347656
25637,176.84210205078125
25814,177.85263061523438
25914,181.726318359375
26115,176.58946228027344
26215,176.4210662841797
26324,85.726318359375
26517,6.0631561279296875
26617,4.29473876953125
26817,19.873687744140625
26929,158.82106018066406
27119,174.90525817871094
27231,179.45263671875
27421,179.53683471679688
27532,175.32630920410156
27633,177.59999084472656
27824,181.05262756347656
27934,175.32630920410156
28125,176.16842651367188
28237,181.05262756347656
28428,177.85263061523438
28536,176.3368377685547
28640,181.3894805908203
28833,178.69473266601562
28936,176.16842651367188
29134,179.53683471679688
29244,167.83157348632812
29437,23.4105224609375
29545,13.052627563476562
29738,19.789474487304688
29938,174.14736938476562
30139,180.2105255126953
30247,175.83157348632812
30440,176.84210205078125
30547,180.63156127929688
30649,177.59999084472656
30840,176.3368377685547
30940,183.15789794921875
31142,180.2947235107422
31243,177.3473663330078
31447,181.3052520751953
31562,181.3894805908203
31659,176.84210205078125
31852,181.22105407714844
31954,183.66314697265625
32158,178.27366638183594
32267,181.81053161621094
32459,184.08421325683594
32566,179.70526123046875
32760,180.3789520263672
32868,184.3368377685547
32974,180.46316528320312
33163,179.6210479736328
33273,184.16842651367188
33465,180.88421630859375
33575,178.77896118164062
33766,183.91578674316406
33876,180.88421630859375
33980,177.01052856445312
34167,179.87368774414062
34277,179.9578857421875
34470,175.83157348632812
34571,178.69473266601562
34772,181.13685607910156
34878,175.41053771972656
34989,177.6842041015625
35175,180.12632751464844
35286,176.67369079589844
35478,176.4210662841797
35588,180.2105255126953
35781,177.26315307617188
35882,175.32630920410156
35982,132.8000030517578
36182,73.178955078125
36282,64.0
36483,59.873687744140625
36597,69.30526733398438
36788,158.39999389648438
36897,177.85263061523438
36997,180.46316528320312
