,nexus7-2013-haida
6291,249.26315307617188
6391,250.94737243652344
6592,247.4105224609375
6792,245.55789184570312
6892,251.0315704345703
7093,252.88421630859375
7193,248.7578887939453
7394,246.65261840820312
7494,250.18948364257812
7694,251.7052459716797
7795,250.273681640625
7995,246.39999389648438
8096,247.99998474121094
8296,251.87368774414062
8397,251.7052459716797
8597,248.50527954101562
8697,246.0631561279297
8897,251.6210479736328
8998,253.5579071044922
9198,247.32630920410156
9310,247.4105224609375
9501,254.3157958984375
9601,255.91580200195312
9815,249.34735107421875
9902,248.7578887939453
10104,255.91580200195312
10211,256.33685302734375
10405,249.5157928466797
10506,248.16842651367188
10707,254.3157958984375
10819,254.6526336669922
11008,247.2421112060547
11118,246.48422241210938
11309,253.5579071044922
11409,253.72630310058594
11609,250.0210418701172
11710,248.25262451171875
11910,251.0315704345703
12010,252.8000030517578
12211,249.178955078125
12317,245.3894805908203
12512,244.96841430664062
12612,245.3052520751953
12813,244.8000030517578
12913,241.09474182128906
13115,240.16842651367188
13223,244.88421630859375
13415,246.39999389648438
13517,238.82106018066406
13721,239.07369995117188
13836,245.81053161621094
14023,246.39999389648438
14124,240.58946228027344
14324,238.73684692382812
14525,245.47369384765625
14633,246.56842041015625
14826,239.6631622314453
14930,238.3157958984375
15127,245.47369384765625
15237,246.39999389648438
15429,239.915771484375
15529,239.5789337158203
15732,244.63156127929688
15843,246.0631561279297
16037,238.4842071533203
16147,210.77896118164062
16338,153.9368438720703
16451,172.71578979492188
16638,171.87368774414062
16751,132.3789520263672
16941,220.37893676757812
17073,248.67367553710938
17242,247.57894897460938
17342,243.28419494628906
17542,242.27366638183594
17642,245.13685607910156
17843,243.6210479736328
17959,241.26315307617188
18148,242.8631591796875
18263,249.01051330566406
18450,249.34735107421875
18550,245.47369384765625
18751,244.54736328125
18870,247.8315887451172
19052,247.4105224609375
19171,240.4210662841797
19353,235.7052764892578
19454,110.3157958984375
19655,126.9052734375
19778,172.54736328125
19957,211.78948974609375
20090,189.72630310058594
20258,123.95790100097656
20364,211.36842346191406
20562,235.11578369140625
20685,242.69473266601562
20864,245.97894287109375
20984,240.16842651367188
21167,241.01052856445312
21270,247.4947509765625
21470,248.50527954101562
21574,242.69473266601562
21770,241.26315307617188
21893,247.4947509765625
22075,248.08421325683594
22276,241.59999084472656
22396,239.915771484375
22580,245.47369384765625
22699,87.32632446289062
22880,62.48420715332031
23002,95.74737548828125
23181,114.44210815429688
23281,102.82106018066406
23484,92.0421142578125
23600,125.22105407714844
23786,230.14735412597656
23900,240.92630004882812
24094,239.41053771972656
24201,238.82106018066406
24394,245.8947296142578
24501,248.16842651367188
24697,243.1999969482422
24807,240.75790405273438
24999,243.70526123046875
25099,245.8947296142578
25300,243.78948974609375
25411,240.67369079589844
25601,241.5157928466797
25704,245.8947296142578
25903,245.05262756347656
26004,208.92630004882812
26205,34.61053466796875
26319,74.52632141113281
26508,83.95790100097656
26614,84.29473876953125
26811,74.02105712890625
26923,193.93685913085938
27112,242.27366638183594
27212,235.11578369140625
27413,235.95790100097656
27525,245.47369384765625
27716,247.2421112060547
27816,241.3473663330078
28017,240.25262451171875
28142,244.54736328125
28319,245.55789184570312
28432,242.27366638183594
28621,240.50526428222656
28735,244.12632751464844
28928,244.63156127929688
29037,123.53684997558594
29229,80.75790405273438
29330,86.82106018066406
29531,97.01052856445312
29653,102.48420715332031
29832,131.87368774414062
29940,216.25262451171875
30136,239.5789337158203
30236,242.69473266601562
30438,239.41053771972656
30640,237.81053161621094
30754,245.81053161621094
30941,247.91578674316406
31053,242.18946838378906
31244,240.16842651367188
31345,245.97894287109375
31549,246.39999389648438
31663,241.5157928466797
31849,240.3368377685547
31961,246.1473846435547
32152,248.8421173095703
32253,244.63156127929688
32453,242.35789489746094
32566,245.55789184570312
32758,248.7578887939453
32869,246.0631561279297
33061,244.8000030517578
33161,246.48422241210938
33362,247.57894897460938
33475,244.88421630859375
33665,243.36842346191406
33778,242.69473266601562
33969,246.0631561279297
34080,246.48422241210938
34271,240.4210662841797
34382,238.90525817871094
34572,243.53683471679688
34673,240.67369079589844
34875,151.83157348632812
34988,23.4105224609375
35178,11.284210205078125
35279,7.6631622314453125
35479,5.0526275634765625
35594,4.29473876953125
35789,9.347366333007812
35894,47.66316223144531
36094,63.578948974609375
36194,117.47369384765625
36395,105.85263061523438
36496,127.15789794921875
36696,177.09474182128906
36801,227.1999969482422
37002,243.03158569335938
37108,245.726318359375
37304,241.6842041015625
37404,239.83157348632812
37604,244.12632751464844
37704,245.13685607910156
37905,192.2526397705078
38008,36.37895202636719
38208,17.852630615234375
38408,13.810531616210938
38514,14.56842041015625
38714,19.031585693359375
39015,130.273681640625
39115,138.35789489746094
39316,143.91578674316406
39421,142.98947143554688
39622,137.17893981933594
39727,123.03158569335938
39922,149.81053161621094
40024,209.85263061523438
40227,245.13685607910156
40529,240.0
40631,240.16842651367188
40831,245.81053161621094
40934,243.36842346191406
41134,197.726318359375
41234,77.38948059082031
41435,26.8631591796875
41535,16.084213256835938
41735,11.11578369140625
41841,13.221054077148438
42042,44.715789794921875
42345,105.60000610351562
42448,130.273681640625
42647,154.94737243652344
42752,155.6210479736328
42950,132.71578979492188
43053,125.97895812988281
43254,138.02105712890625
43355,230.56842041015625
43555,240.67369079589844
43657,239.49473571777344
43858,244.88421630859375
43961,246.23158264160156
44159,237.64210510253906
44262,219.7894744873047
44463,206.82106018066406
44566,86.14736938476562
44776,27.536849975585938
44970,20.54736328125
45070,18.105270385742188
45271,10.526321411132812
45382,3.45263671875
45574,11.031585693359375
45674,55.578948974609375
45875,79.74737548828125
45975,111.57894897460938
46176,137.60000610351562
46277,153.85263061523438
46477,148.71578979492188
46577,124.71578979492188
46781,165.55789184570312
46883,232.5894775390625
47084,246.73684692382812
47187,240.50526428222656
47387,237.72633361816406
47488,245.05262756347656
47688,246.0631561279297
47788,238.40000915527344
