,nexus7-2013-amiyoshi
116788,195.4526215
116927,198.9894867
5799,201.0105438
5899,196.042099
6100,195.3684235
6200,200.505249
6300,200.0842133
6501,194.6947327
6601,196.9684296
6801,200.6736908
6904,197.8105164
7102,195.3684235
7205,198.3157959
7306,201.2631531
7502,196.378952
7803,200.2526245
7910,200.6736908
8103,197.9789581
8212,200.1684113
8319,204.378952
8504,203.1157837
8615,198.7368469
8905,202.0210571
9005,205.6421051
9206,200.505249
9306,197.3052673
9406,199.7473755
9607,201.5157776
9708,197.3894806
9908,195.1999969
10008,201.0105438
10209,201.1789398
10309,196.46315
10410,197.2210541
10610,201.2631531
10710,200.421051
10911,196.46315
11012,198.5684204
11213,202.3579102
11313,199.3263245
11413,196.2105255
11613,200.0000153
11713,202.0210571
11914,196.378952
12014,194.6105347
12214,160.5894775
12314,84.63157654
12515,72.75790405
12615,78.56842041
12715,63.32632446
12916,91.19999695
13016,175.0737
13216,197.3052673
13316,201.3473816
13525,198.8210449
13620,196.6315918
13720,199.2421112
13921,202.6105194
14021,197.4736786
14221,197.5578918
14322,201.0947418
14522,201.8526154
14622,197.3894806
14723,198.0631561
14923,203.1999969
15024,199.7473755
15224,197.6421204
15324,199.1578827
15524,203.5368347
15625,198.8210449
15725,197.0526276
15926,200.8421021
16026,201.7684174
16226,198.3157959
16327,197.9789581
16527,201.6842194
16627,199.3263245
16728,195.1999969
16928,181.0526276
17029,75.45263672
17229,37.97894287
17330,37.30526733
17530,43.70526123
17630,158.9052582
17731,195.3684235
17932,194.4420929
18032,200.0842133
18232,200.8421021
18333,197.2210541
18533,197.3052673
18633,201.2631531
18934,196.9684296
19035,197.2210541
19236,202.0210571
19336,199.7473755
19536,197.2210541
19637,198.9052582
19837,202.6105194
19938,199.3263245
20039,196.9684296
20238,199.8315735
20339,200.8421021
20540,197.3052673
20639,172.4631653
20840,118.5684204
20940,93.13684082
21045,89.26316833
21241,77.72631836
21342,123.7052612
21545,189.0526276
21643,195.1999969
21843,198.6526489
21943,201.1789398
22054,198.3157959
22246,195.1157837
22348,200.0000153
22556,202.3579102
22649,197.3894806
22850,197.2210541
22952,201.6000061
23062,201.2631531
23253,196.9684296
23355,197.7263184
23563,202.6105194
23656,200.5894775
23857,196.7999878
23958,198.5684204
24069,201.5157776
24261,193.6000061
24362,109.9789581
24571,73.51579285
24664,62.73684692
24864,55.15789795
24968,164.5473633
25084,200.0842133
25267,198.5684204
25370,195.0315857
25578,198.6526489
25671,201.2631531
25871,198.6526489
25973,196.042099
26083,200.0842133
26274,201.5157776
26375,196.7999878
26582,197.4736786
26676,201.6000061
26877,198.4842072
26977,196.294754
27092,200.336853
27281,202.0210571
27382,197.9789581
27590,196.9684296
27684,201.1789398
27885,201.2631531
27986,196.46315
28186,169.0947418
28287,80.6736908
28388,82.77894592
28594,72
28689,155.2842102
28889,200.2526245
28990,196.2105255
29191,196.294754
29291,200.7578888
29391,198.8210449
29606,196.2105255
29693,198.6526489
29893,201.8526154
29993,198.5684204
30206,197.2210541
30306,200.7578888
30406,201.8526154
30607,197.3052673
30707,197.8947296
30907,202.1052704
31009,198.9894867
31210,196.1263123
31311,200.336853
31412,201.4315796
31613,198.3157959
31719,196.7157898
31915,201.5157776
32018,200.7578888
32217,196.9684296
32319,197.4736786
32419,202.1894684
32619,200.9263153
32719,196.7157898
32922,200.1684113
33024,202.0210571
33224,196.042099
33327,129.6842041
33428,84.12631226
33628,83.11579895
33730,90.86315918
33931,146.6947327
34031,178.0210571
34232,199.1578827
34334,196.378952
34432,199.8315735
34633,202.1052704
34734,196.7999878
34936,197.3052673
35036,201.2631531
35236,201.0947418
35336,197.0526276
35437,198.3157959
35637,202.3579102
35737,199.2421112
35938,196.378952
36038,199.2421112
36239,202.6947479
36339,196.7157898
36439,149.5578918
36640,93.05264282
36741,85.05264282
36941,82.44210815
37041,113.2631683
37241,174.5684052
37342,197.8105164
37542,197.6421204
37645,198.4842072
37744,201.7684174
37945,198.9052582
38045,196.8842163
38246,200.2526245
38346,201.8526154
38547,197.8105164
38649,196.7157898
38748,201.2631531
38948,201.6000061
39049,196.7999878
39249,197.8105164
39350,201.9368439
39550,199.1578827
39650,197.3052673
39750,198.3157959
39950,200.336853
40050,164.6315765
40254,104.6736908
40360,86.40000916
40555,83.11579895
40689,83.957901
40755,124.1263123
40956,186.7789459
41056,200.505249
41256,196.294754
41367,197.9789581
41560,202.1894684
41668,198.9894867
41770,196.5473633
41962,199.1578827
42071,202.0210571
42264,197.7263184
42373,196.9684296
42566,201.2631531
42675,201.1789398
42777,197.1368256
42970,198.6526489
43075,202.0210571
43271,199.3263245
43376,190.3157959
43571,117.7263184
43672,93.81053162
43787,90.02105713
43977,90.18948364
44087,134.3999939
44278,194.2736969
44388,198.3999939
44579,196.46315
44690,200.6736908
44886,201.5157776
44986,196.8842163
45091,196.378952
45287,201.6000061
45395,200.9263153
45588,197.0526276
45698,198.6526489
45893,203.3684387
45993,200.0842133
46098,196.6315918
46294,199.8315735
46403,202.1052704
46595,196.294754
46705,117.3894806
46901,84.88421631
47002,81.93684387
47108,80.6736908
47303,87.83158875
47409,165.3052673
47603,197.1368256
47711,196.294754
47907,196.6315918
48007,201.3473816
48107,201.0105438
48308,195.6210632
48408,197.6421204
48609,201.7684174
48718,198.2315826
48909,196.2105255
49014,198.6526489
49121,201.6842194
49312,197.2210541
49423,196.294754
49614,199.3263245
49726,201.2631531
49916,196.8842163
50016,197.3052673
50126,201.0947418
50320,199.7473755
50429,196.5473633
50625,197.3052673
50734,201.3473816
50929,200.2526245
51029,195.2842255
51137,143.0736847
51331,20.71578979
51440,5.13684082
51631,5.052627563
51742,57.34736633
51934,188.2947388
52043,197.0526276
52144,196.6315918
52337,201.2631531
52446,200.2526245
52637,196.294754
52748,197.7263184
52938,200.6736908
53038,200.0000153
53240,196.7999878
53358,198.9894867
53440,201.4315796
53646,198.1473541
53745,196.042099
53946,201.3473816
54046,200.8421021
54246,195.6210632
54347,81.85263062
54447,4.210525513
54647,1.936843872
54747,21.89474487
54948,185.0105133
55048,202.5263062
55248,200.1684113
55349,197.3894806
55449,199.1578827
55649,201.8526154
55756,198.2315826
55950,195.1157837
56055,200.5894775
56651,197
56777,21.13684082
56877,196.7999878
57052,200.0000153
57177,177.1789398
57280,9.515792847
57453,1.178939819
57571,2.86315918
57754,44.80000305
57885,204.1263123
58056,196.7157898
58184,201.9368439
58285,200.336853
58457,195.3684235
58587,199.2421112
58758,201.6000061
58863,197.3894806
59060,196.46315
59188,202.1894684
59293,201.5157776
59462,196.6315918
59597,196.7157898
59763,201.3473816
59870,200.336853
60066,196.6315918
60170,197.6421204
60270,96.16842651
60469,6.484207153
60572,4.800003052
60770,6.989471436
60875,73.68421936
61072,197.0526276
61176,196.9684296
61277,201.9368439
61574,200.9263153
61675,196.7999878
61876,196.7157898
61976,201.2631531
