,nexus7-2013-haida
118212,271.915771484375
6956,269.3052673339844
7157,267.11578369140625
7257,266.35791015625
7457,272.7579040527344
7557,274.02105712890625
7758,269.97894287109375
7858,267.6210632324219
8059,267.8736877441406
8159,272.7579040527344
8359,275.1158142089844
8460,269.1368408203125
8661,268.9684143066406
8761,269.726318359375
8961,274.3578796386719
9064,274.4421081542969
9262,268.54736328125
9367,267.8736877441406
9563,268.4631652832031
9668,272.9263000488281
9874,274.8631591796875
9993,268.79998779296875
10174,268.4631652832031
10376,268.54736328125
10478,274.1894836425781
10679,272.7579040527344
10799,270.06317138671875
10979,267.45263671875
11100,242.8631591796875
11281,163.70526123046875
11407,124.46316528320312
11583,113.09474182128906
11719,126.23158264160156
11887,129.60000610351562
11987,130.35789489746094
12191,131.11578369140625
12319,134.56842041015625
12493,135.57894897460938
12593,134.56842041015625
12794,150.39999389648438
12919,192.92633056640625
13095,253.81053161621094
13196,268.8841857910156
13397,267.8736877441406
13508,273.0105285644531
13699,274.3578796386719
13812,267.7894592285156
14002,267.3684387207031
14115,269.97894287109375
14304,271.915771484375
14419,274.7789611816406
14605,267.2842102050781
14722,267.45263671875
14905,271.2420959472656
15030,273.0947570800781
15206,274.52630615234375
15317,268.37896728515625
15508,267.3684387207031
15626,274.7789611816406
15810,274.6947326660156
15910,272.25262451171875
16112,258.52630615234375
16242,100.0421142578125
16413,95.91578674316406
16536,126.48420715332031
16713,123.95790100097656
16816,121.93684387207031
17015,124.21052551269531
17139,127.07368469238281
17315,129.09474182128906
17437,130.5263214111328
17618,197.22105407714844
17725,261.38946533203125
17922,268.7157897949219
18025,269.726318359375
18224,268.8841857910156
18347,267.9578857421875
18525,266.6947326660156
18638,272.5894775390625
18827,273.8526306152344
19030,270.2315673828125
19151,267.5368347167969
19334,266.9473571777344
19453,273.0105285644531
19635,274.1894836425781
19756,270.7368469238281
19936,267.70526123046875
20043,208.4210662841797
20243,136.9263153076172
20365,129.09474182128906
20543,125.64210510253906
20664,126.9052734375
