BD,DB,2635626588,47.326324462890625480.0,DB,2635626588,47.326324462890625480.0
AD,AD,3213132698,782.039.4105224609375,AD,3213132698,782.039.4105224609375
AB,AB,3573936418,1062.0766.0,AB,3573936418,1062.0766.0
AC,DCA,381114001340051,31.073684692382813202.52630615234375778.0,DCA,381114001340051,31.073684692382813202.52630615234375778.0
DB,DB,4584446345,4.968414306640625696.0,DB,4584446345,4.968414306640625696.0
BC,BC,5467255373,622.0210.1052703857422,BC,5467255373,622.0210.1052703857422
CA,CA,5778458201,248.75788879394531066.0,CA,5778458201,248.75788879394531066.0
CB,CB,6099261293,14.063156127929688412.0,CB,6099261293,14.063156127929688412.0
DA,DA,6393064519,78.400009155273441002.0,DA,6393064519,78.400009155273441002.0
CD,ACD,646196740867554,318.013.97894287109375134.56842041015625,ACD,646196740867554,318.013.97894287109375134.56842041015625
BA,,,,,,
DC,DC,7259473321,186.7789459228515699.45263671875,DC,7259473321,186.7789459228515699.45263671875

